MANEUVER_ID;BERTH;TYPE;DOCK_ANGLE;UNDOCK_ANGLE
1;1;1;116;294
2;1;2;294;116
3;2;1;280.7;101
4;2;2;101;280.7
5;3;1;280.7;101
6;3;2;101;280.7
7;4;1;280.7;101
8;4;2;101;280.7
9;5;1;280.7;101
10;5;2;101;280.7
11;6;1;;
12;6;2;;
13;7;1;;
14;7;2;;
15;8;1;;
16;8;2;;
17;9;1;350;167
18;9;2;167;350
19;10;1;350;167
20;10;2;167;350
21;11;1;350;167
22;11;2;167;350
23;12;1;350;167
24;12;2;167;350
25;13;1;350;167
26;13;2;167;350
27;14;1;350;167
28;14;2;167;350
29;15;1;350;167
30;15;2;167;350
31;16;1;145;326
32;16;2;326;145
33;17;1;145;326
34;17;2;326;145
35;18;1;143;323
36;18;2;323;143
37;19;1;143;323
38;19;2;323;143
39;20;1;143;323
40;20;2;323;143
41;21;1;143;323
42;21;2;323;143
43;22;1;143;323
44;22;2;323;143
45;23;1;143;323
46;23;2;323;143
47;24;1;143;323
48;24;2;323;143
49;25;1;143;323
50;25;2;323;143
51;26;1;143;323
52;26;2;323;143
53;27;1;143;323
54;27;2;323;143
55;28;2;167;343
56;28;1;343;167
57;29;2;191;11
58;29;1;11;191
59;30;2;191;11
60;30;1;11;191
61;31;2;145;326
62;31;1;326;145
63;32;2;100.5;280
64;32;1;280;100.5
65;33;2;100.5;280
66;33;1;280;100.5
67;34;1;100.5;280
68;34;2;280;100.5
69;35;1;157;335
70;35;2;335;157
71;36;1;290;112
72;36;2;112;290
73;37;1;290;112
74;37;2;112;290
75;38;1;290;112
76;38;2;112;290
77;39;1;290;112
78;39;2;112;290
79;40;1;187;9
80;40;2;9;187
81;41;1;173;354
82;41;2;354;173
83;42;1;90;267
84;42;2;267;90
85;43;1;90;267
86;43;2;267;90
87;44;1;90;267
88;44;2;267;90
89;45;1;90;267
90;45;2;267;90
91;46;1;116;294
92;46;2;294;116
93;47;1;116;294
94;47;2;294;116
95;48;1;65.5;246
96;48;2;246;65.5
97;49;1;184;4
98;49;2;4;184
99;50;1;337;157
100;50;2;157;337
101;51;1;157;337
102;51;2;337;157
103;52;1;138;318
104;52;2;318;138
105;53;1;138;318
106;53;2;318;138
107;54;1;138;318
108;54;2;318;138
109;55;1;138;318
110;55;2;318;138
111;56;1;174;353
112;56;2;353;174
113;57;1;157;337
114;57;2;337;157
115;58;1;138;318
116;58;2;318;138
117;59;1;157;337
118;59;2;337;157
119;60;1;175;355
120;60;2;355;175
121;61;1;24;204
122;61;2;204;24
123;62;1;24;204
124;62;2;204;24
125;63;1;175;355
126;63;2;355;175
127;64;1;106;285
128;64;2;285;106
129;65;1;175;355
130;65;2;355;175
131;66;1;;
132;66;2;;
133;67;1;;
134;67;2;;
135;68;1;166;346
136;68;2;346;166
137;69;1;166;346
138;69;2;346;166
139;70;1;76.4;256
140;70;2;256;76.4
141;71;1;150;330
142;71;2;330;150
143;72;1;150;330
144;72;2;330;150
145;73;1;143;323
146;73;2;323;143
147;74;1;145;326
148;74;2;326;145
149;75;1;350;167
150;75;2;167;350
151;76;1;150;330
152;76;2;330;150
153;77;1;116;294
154;77;2;294;116
155;78;1;150;330
156;78;2;330;150
157;79;1;65.5;246
158;79;2;246;65.5
159;80;1;143;323
160;80;2;323;143
161;81;1;280.7;101
162;81;2;101;280.7
163;82;1;280.7;101
164;82;2;101;280.7
165;83;1;280.7;101
166;83;2;101;280.7
167;84;1;326;0
168;84;2;0;0
169;85;1;326;0
170;85;2;0;0
171;86;1;290;112
172;86;2;112;290
173;87;1;290;112
174;87;2;112;290
175;88;1;290;112
176;88;2;112;290
177;89;1;290;112
178;89;2;112;290
179;90;1;350;167
180;90;2;167;350
