ROUTE_ID;SEGMENT;POINT;X;Y;IS_BERTH_ROUTE
0;1;FUNDEADOURO;-24.04959;-46.35094;False
0;2;FUNDEADOURO;-24.04959;-46.35094;False
1;1;FUNDEADOURO;-24.01266;-46.35094;False
1;2;PONTO1;-24.00493;-46.34433;False
1;3;PONTO2;-23.99978;-46.33521;False
1;4;PONTO3;-23.99558;-46.325;False
1;5;PONTO4;-23.99403;-46.31528;False
1;2;SEG2;-23.99323053375113;-46.30842508886263;False
2;1;SEG2;-23.99323053375113;-46.30842508886263;False
2;2;SEG3;-23.9911069;-46.29662369999999;False
3;1;SEG3;-23.9911069;-46.29662369999999;False
3;2;SEG4;-23.9857093;-46.28985360000001;False
4;1;SEG4;-23.9857093;-46.28985360000001;False
4;2;SEG5;-23.9763183;-46.2887378;False
5;1;SEG5;-23.9763183;-46.2887378;False
5;2;SEG6;-23.9699716;-46.2930989;False
6;1;SEG6;-23.9699716;-46.2930989;False
6;2;SEG7;-23.9600892;-46.30148880000001;False
7;1;SEG7;-23.9600892;-46.30148880000001;False
7;2;SEG8;-23.9483566;-46.3090026;False
8;1;SEG8;-23.9483566;-46.3090026;False
8;2;SEG9;-23.9419635;-46.3104618;False
9;1;SEG9;-23.9419635;-46.3104618;False
9;2;SEG10;-23.9340599;-46.3120496;False
10;1;SEG10;-23.9340599;-46.3120496;False
10;2;SEG11;-23.9289409;-46.31662009999999;False
11;1;SEG11;-23.9289409;-46.31662009999999;False
11;2;SEG12;-23.9268202;-46.3298809;False
12;1;SEG12;-23.9268202;-46.3298809;False
12;2;SEG13;-23.920073;-46.34449359999999;False
13;1;SEG13;-23.920073;-46.34449359999999;False
13;2;SEG14;-23.9176407;-46.3565528;False
14;1;SEG14;-23.9176407;-46.3565528;False
14;2;SEG15;-23.9148553;-46.36972630000001;False
15;1;SEG15;-23.9148553;-46.36972630000001;False
15;2;SEG16;-23.91231;-46.3752434;False
16;1;SEG16;-23.91231;-46.3752434;False
16;2;SEG17;-23.88006; -46.37615;False
17;1;SEG4;-23.9857093;-46.28985360000001;True
17;2;BERÇO ARM 39;-23.9837892;-46.2915193;True
18;1;SEG4;-23.9857093;-46.28985360000001;True
18;2;BERÇO ARM 38;-23.9808583;-46.29089700000001;True
19;1;SEG4;-23.9857093;-46.28985360000001;True
19;2;BERÇO ARM 37;-23.9777409;-46.2912833;True
20;1;SEG4;-23.9857093;-46.28985360000001;True
20;2;BERÇO CUTRALE;-23.9795856;-46.2866988;True
21;1;SEG4;-23.9857093;-46.28985360000001;True
21;2;BERÇO DOW;-23.9821687;-46.2868451;True
22;1;SEG5;-23.9763183;-46.2887378;True
22;2;BERÇO ARM 35P1;-23.9730422;-46.29405240000001;True
23;1;SEG5;-23.9763183;-46.2887378;True
23;2;BERÇO TEG;-23.9751326;-46.2872022;True
24;1;SEG5;-23.9763183;-46.2887378;True
24;2;BERÇO TEAG;-23.9730887;-46.2880766;True
25;1;SEG5;-23.9763183;-46.2887378;True
25;2;BERÇO TERMAG;-23.9709154;-46.2889535;True
26;1;SEG5;-23.9763183;-46.2887378;True
26;2;BERÇO TGG;-23.9686556;-46.29008;True
27;1;SEG6;-23.9699716;-46.2930989;True
27;2;BERÇO ARM 35P2;-23.9712678;-46.2955223;True
28;1;SEG6;-23.9699716;-46.2930989;True
28;2;BERÇO ARM 34;-23.9694597;-46.2971063;True
29;1;SEG6;-23.9699716;-46.2930989;True
29;2;BERÇO ARM 33;-23.9677735;-46.2984152;True
30;1;SEG6;-23.9699716;-46.2930989;True
30;2;BERÇO ARM 32;-23.9655956;-46.3001679;True
31;1;SEG6;-23.9699716;-46.2930989;True
31;2;BERÇO ARM 31;-23.9639837;-46.30153580000001;True
32;1;SEG6;-23.9699716;-46.2930989;True
32;2;BERÇO ARM 30;-23.962268;-46.3029628;True
33;1;SEG6;-23.9699716;-46.2930989;True
33;2;BERÇO TECON 3;-23.9659051;-46.2921571;True
34;1;SEG6;-23.9699716;-46.2930989;True
34;2;BERÇO TECON 2;-23.9632727;-46.29471589999999;True
35;1;SEG6;-23.9699716;-46.2930989;True
35;2;BERÇO TECON 1.2;-23.961092;-46.29687759999999;True
36;1;SEG6;-23.9699716;-46.2930989;True
36;2;BERÇO TECON 1.1;-23.9592067;-46.2986509;True
37;1;SEG7;-23.9600892;-46.30148880000001;True
37;2;BERÇO ARM 29;-23.9606503;-46.304218;True
38;1;SEG7;-23.9600892;-46.30148880000001;True
38;2;BERÇO OUT 1;-23.95844;-46.30584;True
39;1;SEG7;-23.9600892;-46.30148880000001;True
39;2;BERÇO OUT 2;-23.956605;-46.30710950000001;True
40;1;SEG7;-23.9600892;-46.30148880000001;True
40;2;BERÇO OUT 3;-23.9548206;-46.3081609;True
41;1;SEG7;-23.9600892;-46.30148880000001;True
41;2;BERÇO ARM 25;-23.952438;-46.3098238;True
42;1;SEG7;-23.9600892;-46.30148880000001;True
42;2;BERÇO ARM 23;-23.9505065;-46.31119709999999;True
43;1;SEG7;-23.9600892;-46.30148880000001;True
43;2;BERÇO TEV;-23.9577735;-46.300029;True
44;1;SEG8;-23.9483566;-46.3090026;True
44;2;BERÇO ARM 22/23;-23.9486337;-46.3117872;True
45;1;SEG8;-23.9483566;-46.3090026;True
45;2;BERÇO ARM 20/21;-23.9461627;-46.3121949;True
46;1;SEG8;-23.9483566;-46.3090026;True
46;2;BERÇO ARM 19;-23.9436603;-46.3126241;True
47;1;SEG9;-23.9419635;-46.3104618;True
47;2;BERÇO ARM 16/17;-23.9413506;-46.31297390000001;True
48;1;SEG9;-23.9419635;-46.3104618;True
48;2;BERÇO ARM 13/14;-23.9378566;-46.31362839999999;True
49;1;SEG9;-23.9419635;-46.3104618;True
49;2;BERÇO ARM 12A;-23.9360131;-46.3139074;True
50;1;SEG10;-23.9340599;-46.3120496;True
50;2;BERÇO DPW 4;-23.9254491;-46.31305740000001;True
51;1;SEG10;-23.9340599;-46.3120496;True
51;2;BERÇO DPW 3;-23.9254785;-46.3151924;True
52;1;SEG11;-23.9289409;-46.31662009999999;True
52;2;BERÇO DPW 2;-23.9254295;-46.317821;True
53;1;SEG11;-23.9289409;-46.31662009999999;True
53;2;BERÇO DPW 1;-23.9254491;-46.3209538;True
54;1;SEG12;-23.9268202;-46.3298809;True
54;2;BERÇO VAL;-23.9282538;-46.3331632;True
55;1;SEG12;-23.9268202;-46.3298809;True
55;2;BERÇO CORTE;-23.9277145;-46.3350515;True
56;1;SEG12;-23.9268202;-46.3298809;True
56;2;BERÇO CS 01;-23.9244913;-46.3416697;True
