ID;SHORT_NAME;MARKET_CATEGORY
1;TRANSPETRO;GLG
2;STOLTHAVEN;GLG
3;VOPAK;GLG
4;ULTRACARGO;GLG
5;ECOPORTO;CGNC
6;BUNGE;GSA - I
7;NITA;GSA - I
8;COFCO;GSA - E
9;ELDORADO;CGNC
10;ELEVACOES;GSA - E
11;COPESUCAR;GSA - E
12;CONCAIS;PASSAGEIROS
13;HIDROVIAS;GSM - I
14;TGRAO;GSA - E
15;CITROSUCO;GLG
16;NST;GLG
17;BRACELL;CGNC
18;TES;GSA - E
19;XXXIX;GSA - E
20;ADM;GSA - E
21;BTP;CGC
22;SANTOSBR;CGC
23;TEV;RORO
24;TGG;GSA - E
25;TERMAG;GSM - I
26;TEAG;GSA - E
27;TEG;GSA - E
28;FIBRIA;CGNC
29;AGEO_TERMINAIS;GLG
30;AGEO_NORTE;GLG
31;GRANEL;GLG
32;ADONAI;GLG
33;TIPLAM;GSM - I
34;CUTRALE;GLG
35;DOW;GLG
36;SAIPEM;CGNC
37;USIMINAS;GSM - E
38;DPW;CGC
39;TRSP;GLG
40;OUTROS_ECOPORTO;CGNC
41;OUTROS_BARNABE;CGNC
42;OUTROS_PONTA;CGNC
43;OUTROS_SANTOSBR;CGNC
44;OUTROS_MACUCO;CGNC
45;OUTROS_OUT;CGNC
46;OUTROS_PAQUETA;CGNC
47;OUTROS_SABOO;CGNC
48;OUTROS_LIBRA;CGNC
49;OUTROS_ALAMOA;CGNC
50;RUMO;GSA - E
51;ARAUCO;CGNC
52;STS;GLG
53;TECON10;CGC
54;AUTORIDADE_MACUCO;CGNC
55;AUTORIDADE_OUT;CGNC
56;AUTORIDADE_PONTA;CGNC
57;AUTORIDADE_SABOO;CGNC
58;DPW CELULOSE;CGNC
