ARRIVAL_ID;LOA;BEAM;DRAFT;BERTH;CATEGORY;DETAILED_CATEGORY;PROCESS_TIME
4;230.0;46.0;7.5;39;CARGO;N/A;900
68;250.0;46.0;12.0;BTP-2;CARGO;N/A;900
121;210.0;46.0;9.5;30;CARGO;N/A;900
132;260.0;46.0;10.5;EMB-1;CARGO;N/A;900
154;270.0;46.0;10.5;EMB-1;CARGO;N/A;900
190;190.0;46.0;8.0;35.1;CARGO;N/A;900
194;210.0;46.0;9.0;35.1;CARGO;N/A;900
217;200.0;46.0;10.5;34;CARGO;N/A;900
250;290.0;46.0;8.5;31/32;PASSENGER;N/A;900
251;290.0;46.0;8.5;out/02;PASSENGER;N/A;900
302;230.0;46.0;10.0;TC 2;CARGO;N/A;900
327;260.0;46.0;11.0;TC 1.2;CARGO;N/A;900
334;210.0;46.0;10.0;TC 2;CARGO;N/A;900
360;220.0;46.0;10.0;TC 3;CARGO;N/A;900
369;230.0;46.0;10.0;TC 1.2;CARGO;N/A;900
373;260.0;46.0;10.5;TC 1.1;CARGO;N/A;900
380;160.0;46.0;8.5;AL 2;CARGO;DANGEROUS;900
428;230.0;46.0;7.5;TIPLAM 3;CARGO;N/A;900
435;230.0;46.0;7.5;TIPLAM 2;CARGO;N/A;900
