berth_resource;TEMPO_OCUPADO;TEMPO_RESERVADO;VISITAS;SCENARIO_ID
BERÇO AL 01;1873,5599999999995;81,92999999999999;45;2SemDragagem2030
BERÇO AL 02;1940,25;69,11;39;2SemDragagem2030
BERÇO AL 03;1817,9199999999996;52,08;31;2SemDragagem2030
BERÇO AL 04;1236,2399999999998;36,15;22;2SemDragagem2030
BERÇO ARAUCO 1;1516,2800000000002;30,32;14;2SemDragagem2030
BERÇO ARAUCO 2;1291,58;28,18;13;2SemDragagem2030
BERÇO ARAUCO 3;626,1500000000001;13,01;6;2SemDragagem2030
BERÇO ARM 12A;2053,3099999999995;37,5;25;2SemDragagem2030
BERÇO ARM 13/14;2059,1100000000006;32,33;22;2SemDragagem2030
BERÇO ARM 16/17;1986,3400000000001;58,5;39;2SemDragagem2030
BERÇO ARM 19;1987,9099999999999;55,269999999999996;39;2SemDragagem2030
BERÇO ARM 20/21;2013,5299999999997;52,379999999999995;37;2SemDragagem2030
BERÇO ARM 22/23;2013,52;31,39;29;2SemDragagem2030
BERÇO ARM 23;96,42000000000007;1,0;1;2SemDragagem2030
BERÇO ARM 29;2058,3399999999997;26,630000000000003;20;2SemDragagem2030
BERÇO ARM 30;2045,3600000000001;13,71;15;2SemDragagem2030
BERÇO ARM 31;2046,2600000000004;27,5;22;2SemDragagem2030
BERÇO ARM 32;54,83000000000004;2,5;2;2SemDragagem2030
BERÇO ARM 35P1;795,3400000000001;9,34;8;2SemDragagem2030
BERÇO ARM 35P2;1120,1500000000003;13,75;11;2SemDragagem2030
BERÇO ARM 37;2002,0200000000004;35,74;33;2SemDragagem2030
BERÇO ARM 38;2075,33;19,51;18;2SemDragagem2030
BERÇO ARM 39;1346,9099999999999;23,830000000000002;22;2SemDragagem2030
BERÇO Ageo I;1333,2500000000002;33,82;22;2SemDragagem2030
BERÇO BTP 1;1836,4799999999996;60,52;62;2SemDragagem2030
BERÇO BTP 2;1711,639999999999;58,650000000000006;56;2SemDragagem2030
BERÇO BTP 3;1714,4300000000005;47,64;57;2SemDragagem2030
BERÇO CUTRALE;1879,3199999999997;22,770000000000003;21;2SemDragagem2030
BERÇO DOW;283,5699999999998;7,5;10;2SemDragagem2030
BERÇO DPW 1;1921,0000000000005;46,63;79;2SemDragagem2030
BERÇO DPW 2;1918,1600000000003;41,64;70;2SemDragagem2030
BERÇO DPW 3;1596,0700000000002;99,76;63;2SemDragagem2030
BERÇO DPW 4;1099,9099999999996;25,310000000000002;16;2SemDragagem2030
BERÇO IB BC;924,3900000000002;25,349999999999998;16;2SemDragagem2030
BERÇO IB OE;687,23;15,92;11;2SemDragagem2030
BERÇO IB SP;452,25;12,66;8;2SemDragagem2030
BERÇO OUT 1;13,579999999999927;1,34;1;2SemDragagem2030
BERÇO OUT 2;386,66999999999996;9,34;7;2SemDragagem2030
BERÇO OUT 3;74,17000000000007;1,33;1;2SemDragagem2030
BERÇO SAIPEM 1;889,5099999999999;14,65;16;2SemDragagem2030
BERÇO SAIPEM 2;426,0799999999999;11,950000000000001;13;2SemDragagem2030
BERÇO SAIPEM 3;219,48999999999992;4,59;5;2SemDragagem2030
BERÇO TEAG;2043,0699999999997;23,33;20;2SemDragagem2030
BERÇO TECON 1.1;1755,5700000000002;57,5;71;2SemDragagem2030
BERÇO TECON 1.2;1739,3700000000008;52,5;69;2SemDragagem2030
BERÇO TECON 2;1999,0599999999997;20,0;69;2SemDragagem2030
BERÇO TECON 3;1967,2199999999996;18,75;70;2SemDragagem2030
BERÇO TEG;1969,1399999999999;26,86;23;2SemDragagem2030
BERÇO TERMAG;2055,4300000000003;17,49;21;2SemDragagem2030
BERÇO TEV;1734,3199999999997;84,02000000000001;63;2SemDragagem2030
BERÇO TGG;1891,73;45,529999999999994;39;2SemDragagem2030
BERÇO TIPLAM 1;1624,3900000000008;50,21;21;2SemDragagem2030
BERÇO TIPLAM 2;1985,3999999999994;71,87;28;2SemDragagem2030
BERÇO TIPLAM 3;1985,1800000000003;69,71000000000001;27;2SemDragagem2030
BERÇO TIPLAM 4;1488,4300000000003;33,32;16;2SemDragagem2030
BERÇO TRSP;1009,0800000000002;26,82;14;2SemDragagem2030
BERÇO USIMINAS 3;961,4099999999996;17,68;8;2SemDragagem2030
BERÇO USIMINAS 4;469,08000000000015;9,0;4;2SemDragagem2030
