SCENARIO_ID;ARRIVAL_ID;BEAM;LENGTH;DRAFT;IS_NEW_PANAMAX;IS_PASSENGER;IS_RORO;ARRIVAL_D;ARRIVAL_H;METOCEAN_QUEUE_TIME;BERTH_QUEUE_TIME;CHANNEL_QUEUE_TIME;TOTAL_QUEUE_TIME;TERMINAL;BERTH_ID;BERTH;IN_SEG1_ARR_D;IN_SEG1_ARR_H;IN_SEG1_DP_D;IN_SEG1_DP_H;IN_SEG2_ARR_D;IN_SEG2_ARR_H;IN_SEG2_DP_D;IN_SEG2_DP_H;IN_SEG3_ARR_D;IN_SEG3_ARR_H;IN_SEG3_DP_D;IN_SEG3_DP_H;IN_SEG4_ARR_D;IN_SEG4_ARR_H;IN_SEG4_DP_D;IN_SEG4_DP_H;IN_SEG5_ARR_D;IN_SEG5_ARR_H;IN_SEG5_DP_D;IN_SEG5_DP_H;IN_SEG6_ARR_D;IN_SEG6_ARR_H;IN_SEG6_DP_D;IN_SEG6_DP_H;IN_SEG7_ARR_D;IN_SEG7_ARR_H;IN_SEG7_DP_D;IN_SEG7_DP_H;IN_SEG8_ARR_D;IN_SEG8_ARR_H;IN_SEG8_DP_D;IN_SEG8_DP_H;IN_SEG9_ARR_D;IN_SEG9_ARR_H;IN_SEG9_DP_D;IN_SEG9_DP_H;IN_SEG10_ARR_D;IN_SEG10_ARR_H;IN_SEG10_DP_D;IN_SEG10_DP_H;IN_SEG11_ARR_D;IN_SEG11_ARR_H;IN_SEG11_DP_D;IN_SEG11_DP_H;IN_SEG12_ARR_D;IN_SEG12_ARR_H;IN_SEG12_DP_D;IN_SEG12_DP_H;IN_SEG13_ARR_D;IN_SEG13_ARR_H;IN_SEG13_DP_D;IN_SEG13_DP_H;IN_SEG14_ARR_D;IN_SEG14_ARR_H;IN_SEG14_DP_D;IN_SEG14_DP_H;IN_SEG15_ARR_D;IN_SEG15_ARR_H;IN_SEG15_DP_D;IN_SEG15_DP_H;IN_SEG16_ARR_D;IN_SEG16_ARR_H;IN_SEG16_DP_D;IN_SEG16_DP_H;IN_SEG17_ARR_D;IN_SEG17_ARR_H;IN_SEG17_DP_D;IN_SEG17_DP_H;BERTH_ARR_D;BERTH_ARR_H;OPERATION_START_D;OPERATION_START_H;OPERATION_END_D;OPERATION_END_H;BERTH_DP_D;BERTH_DP_H;OUT_SEG17_ARR_D;OUT_SEG17_ARR_H;OUT_SEG17_DP_D;OUT_SEG17_DP_H;OUT_SEG16_ARR_D;OUT_SEG16_ARR_H;OUT_SEG16_DP_D;OUT_SEG16_DP_H;OUT_SEG15_ARR_D;OUT_SEG15_ARR_H;OUT_SEG15_DP_D;OUT_SEG15_DP_H;OUT_SEG14_ARR_D;OUT_SEG14_ARR_H;OUT_SEG14_DP_D;OUT_SEG14_DP_H;OUT_SEG13_ARR_D;OUT_SEG13_ARR_H;OUT_SEG13_DP_D;OUT_SEG13_DP_H;OUT_SEG12_ARR_D;OUT_SEG12_ARR_H;OUT_SEG12_DP_D;OUT_SEG12_DP_H;OUT_SEG11_ARR_D;OUT_SEG11_ARR_H;OUT_SEG11_DP_D;OUT_SEG11_DP_H;OUT_SEG10_ARR_D;OUT_SEG10_ARR_H;OUT_SEG10_DP_D;OUT_SEG10_DP_H;OUT_SEG9_ARR_D;OUT_SEG9_ARR_H;OUT_SEG9_DP_D;OUT_SEG9_DP_H;OUT_SEG8_ARR_D;OUT_SEG8_ARR_H;OUT_SEG8_DP_D;OUT_SEG8_DP_H;OUT_SEG7_ARR_D;OUT_SEG7_ARR_H;OUT_SEG7_DP_D;OUT_SEG7_DP_H;OUT_SEG6_ARR_D;OUT_SEG6_ARR_H;OUT_SEG6_DP_D;OUT_SEG6_DP_H;OUT_SEG5_ARR_D;OUT_SEG5_ARR_H;OUT_SEG5_DP_D;OUT_SEG5_DP_H;OUT_SEG4_ARR_D;OUT_SEG4_ARR_H;OUT_SEG4_DP_D;OUT_SEG4_DP_H;OUT_SEG3_ARR_D;OUT_SEG3_ARR_H;OUT_SEG3_DP_D;OUT_SEG3_DP_H;OUT_SEG2_ARR_D;OUT_SEG2_ARR_H;OUT_SEG2_DP_D;OUT_SEG2_DP_H;OUT_SEG1_ARR_D;OUT_SEG1_ARR_H;OUT_SEG1_DP_D;OUT_SEG1_DP_H;NON_PRODUCTIVE_TIME_SPENT
2SemDragagem2030;3544;23.0;225.0;0.0;0;0;0;1;16:40;0.17;1.0;0.0;1.17;ADM;30;BERÇO ARM 39;1;17:50;1;18:10;1;18:10;1;18:15;1;18:15;1;18:20;1;18:20;1;18:55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;18:55;1;18:55;4;00:25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2SemDragagem2030;3545;23.0;155.0;10.25;0;0;0;1;15:46;0.0;0.0;0.17;0.17;ADONAI;77;BERÇO IB OE;1;16:00;1;16:20;1;16:20;1;16:25;1;16:25;1;16:30;1;16:30;1;16:35;1;16:35;1;16:40;1;16:40;1;16:45;1;16:45;1;16:50;1;16:50;1;16:55;1;16:55;1;17:00;1;17:00;1;17:05;1;17:05;1;17:10;1;17:10;1;17:25;;;;;;;;;;;;;;;;;;;;;1;17:25;1;17:25;3;12:30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2SemDragagem2030;3546;36.0;225.0;0.0;0;0;0;1;13:35;0.0;1.5;0.0;1.5;BRACELL;27;BERÇO ARM 35P2;1;15:05;1;15:25;1;15:25;1;15:30;1;15:30;1;15:35;1;15:35;1;15:40;1;15:40;1;15:45;1;15:45;1;16:20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;16:20;1;16:20;6;00:10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2SemDragagem2030;3547;23.0;225.0;0.0;0;0;0;1;16:44;0.08;3.0;0.08;3.17;COFCO;9;BERÇO ARM 12A;1;19:55;1;20:15;1;20:15;1;20:20;1;20:20;1;20:25;1;20:25;1;20:30;1;20:30;1;20:35;1;20:35;1;20:40;1;20:40;1;20:45;1;20:45;1;20:50;1;20:50;1;21:25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;21:25;1;21:25;7;22:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2SemDragagem2030;3548;23.0;225.0;0.0;0;0;0;1;16:46;0.0;0.17;0.08;0.25;COFCO;10;BERÇO ARM 13/14;1;17:05;1;17:25;1;17:25;1;17:30;1;17:30;1;17:35;1;17:35;1;17:40;1;17:40;1;17:45;1;17:45;1;17:50;1;17:50;1;17:55;1;17:55;1;18:00;1;18:00;1;18:35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;18:35;1;18:35;4;17:30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2SemDragagem2030;3549;23.0;195.0;0.0;0;0;0;1;14:48;0.0;0.0;0.0;0.0;COPESUCAR;14;BERÇO ARM 20/21;1;14:50;1;15:10;1;15:10;1;15:15;1;15:15;1;15:20;1;15:20;1;15:25;1;15:25;1;15:30;1;15:30;1;15:35;1;15:35;1;15:40;1;15:40;1;16:15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;16:15;1;16:15;3;12:05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2SemDragagem2030;3550;23.0;215.0;10.25;0;0;0;1;15:41;0.0;0.5;0.0;0.5;DPW - CGC;42;BERÇO DPW 1;1;16:15;1;16:35;1;16:35;1;16:40;1;16:40;1;16:45;1;16:45;1;16:50;1;16:50;1;16:55;1;16:55;1;17:00;1;17:00;1;17:05;1;17:05;1;17:10;1;17:10;1;17:15;1;17:15;1;17:20;1;17:20;1;17:35;;;;;;;;;;;;;;;;;;;;;;;;;1;17:35;1;17:35;2;08:45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2SemDragagem2030;3551;23.0;255.0;11.75;0;0;0;1;15:41;0.0;3.0;0.0;3.0;DPW - CGC;43;BERÇO DPW 2;1;18:45;1;19:05;1;19:05;1;19:10;1;19:10;1;19:15;1;19:15;1;19:20;1;19:20;1;19:25;1;19:25;1;19:30;1;19:30;1;19:35;1;19:35;1;19:40;1;19:40;1;19:45;1;19:45;1;19:50;1;19:50;1;20:25;;;;;;;;;;;;;;;;;;;;;;;;;1;20:25;1;20:25;2;16:50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2SemDragagem2030;3552;36.0;225.0;0.0;0;0;0;1;14:36;0.0;0.0;2.92;2.92;ELDORADO;21;BERÇO ARM 31;1;17:35;1;17:55;1;17:55;1;18:00;1;18:00;1;18:05;1;18:05;1;18:10;1;18:10;1;18:15;1;18:15;1;18:50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;18:50;1;18:50;3;11:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2SemDragagem2030;3553;23.0;175.0;0.0;0;0;0;1;15:44;0.0;1.58;0.0;1.58;ELEVACOES;13;BERÇO ARM 19;1;17:20;1;17:40;1;17:40;1;17:45;1;17:45;1;17:50;1;17:50;1;17:55;1;17:55;1;18:00;1;18:00;1;18:05;1;18:05;1;18:10;1;18:10;1;18:45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;18:45;1;18:45;3;07:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
