Day;arrivals;attended;saldo_dia;queue;SCENARIO_ID
1;23;19,0;4,0;4,0;2SemDragagem2030
2;22;15,0;7,0;11,0;2SemDragagem2030
3;17;6,0;11,0;22,0;2SemDragagem2030
4;33;23,0;10,0;32,0;2SemDragagem2030
5;30;21,0;9,0;41,0;2SemDragagem2030
6;33;19,0;14,0;55,0;2SemDragagem2030
7;25;20,0;5,0;60,0;2SemDragagem2030
8;22;13,0;9,0;69,0;2SemDragagem2030
9;24;21,0;3,0;72,0;2SemDragagem2030
10;18;18,0;0,0;72,0;2SemDragagem2030
11;31;20,0;11,0;83,0;2SemDragagem2030
12;31;24,0;7,0;90,0;2SemDragagem2030
13;32;15,0;17,0;107,0;2SemDragagem2030
14;26;21,0;5,0;112,0;2SemDragagem2030
15;23;24,0;-1,0;111,0;2SemDragagem2030
16;22;15,0;7,0;118,0;2SemDragagem2030
17;19;22,0;-3,0;115,0;2SemDragagem2030
18;31;20,0;11,0;126,0;2SemDragagem2030
19;29;17,0;12,0;138,0;2SemDragagem2030
20;31;18,0;13,0;151,0;2SemDragagem2030
21;27;24,0;3,0;154,0;2SemDragagem2030
22;23;21,0;2,0;156,0;2SemDragagem2030
23;22;17,0;5,0;161,0;2SemDragagem2030
24;19;15,0;4,0;165,0;2SemDragagem2030
25;31;19,0;12,0;177,0;2SemDragagem2030
26;30;21,0;9,0;186,0;2SemDragagem2030
27;32;24,0;8,0;194,0;2SemDragagem2030
28;25;19,0;6,0;200,0;2SemDragagem2030
29;23;18,0;5,0;205,0;2SemDragagem2030
30;23;20,0;3,0;208,0;2SemDragagem2030
31;17;10,0;7,0;215,0;2SemDragagem2030
32;15;17,0;-2,0;213,0;2SemDragagem2030
33;15;14,0;1,0;214,0;2SemDragagem2030
34;22;15,0;7,0;221,0;2SemDragagem2030
35;17;21,0;-4,0;217,0;2SemDragagem2030
36;22;21,0;1,0;218,0;2SemDragagem2030
37;19;17,0;2,0;220,0;2SemDragagem2030
38;18;12,0;6,0;226,0;2SemDragagem2030
39;15;22,0;-7,0;219,0;2SemDragagem2030
40;15;20,0;-5,0;214,0;2SemDragagem2030
41;20;14,0;6,0;220,0;2SemDragagem2030
42;17;18,0;-1,0;219,0;2SemDragagem2030
43;23;16,0;7,0;226,0;2SemDragagem2030
44;19;21,0;-2,0;224,0;2SemDragagem2030
45;18;10,0;8,0;232,0;2SemDragagem2030
46;14;13,0;1,0;233,0;2SemDragagem2030
47;15;7,0;8,0;241,0;2SemDragagem2030
48;20;3,0;17,0;258,0;2SemDragagem2030
49;19;28,0;-9,0;249,0;2SemDragagem2030
50;23;10,0;13,0;262,0;2SemDragagem2030
51;19;17,0;2,0;264,0;2SemDragagem2030
52;17;20,0;-3,0;261,0;2SemDragagem2030
53;15;22,0;-7,0;254,0;2SemDragagem2030
54;15;13,0;2,0;256,0;2SemDragagem2030
55;22;20,0;2,0;258,0;2SemDragagem2030
56;17;19,0;-2,0;256,0;2SemDragagem2030
57;23;21,0;2,0;258,0;2SemDragagem2030
58;19;14,0;5,0;263,0;2SemDragagem2030
59;17;10,0;7,0;270,0;2SemDragagem2030
60;14;11,0;3,0;273,0;2SemDragagem2030
61;16;23,0;-7,0;266,0;2SemDragagem2030
62;11;15,0;-4,0;262,0;2SemDragagem2030
63;11;15,0;-4,0;258,0;2SemDragagem2030
64;16;14,0;2,0;260,0;2SemDragagem2030
65;24;19,0;5,0;265,0;2SemDragagem2030
66;28;16,0;12,0;277,0;2SemDragagem2030
67;21;20,0;1,0;278,0;2SemDragagem2030
68;21;16,0;5,0;283,0;2SemDragagem2030
69;12;19,0;-7,0;276,0;2SemDragagem2030
70;12;13,0;-1,0;275,0;2SemDragagem2030
71;16;16,0;0,0;275,0;2SemDragagem2030
72;24;18,0;6,0;281,0;2SemDragagem2030
73;29;15,0;14,0;295,0;2SemDragagem2030
74;20;21,0;-1,0;294,0;2SemDragagem2030
75;21;21,0;0,0;294,0;2SemDragagem2030
76;12;18,0;-6,0;288,0;2SemDragagem2030
77;12;20,0;-8,0;280,0;2SemDragagem2030
78;16;16,0;0,0;280,0;2SemDragagem2030
79;23;15,0;8,0;288,0;2SemDragagem2030
80;29;18,0;11,0;299,0;2SemDragagem2030
81;20;15,0;5,0;304,0;2SemDragagem2030
82;21;14,0;7,0;311,0;2SemDragagem2030
83;12;17,0;-5,0;306,0;2SemDragagem2030
84;12;19,0;-7,0;299,0;2SemDragagem2030
85;16;14,0;2,0;301,0;2SemDragagem2030
86;24;13,0;11,0;312,0;2SemDragagem2030
87;29;24,0;5,0;317,0;2SemDragagem2030
88;20;15,0;5,0;322,0;2SemDragagem2030
89;22;22,0;0,0;322,0;2SemDragagem2030
90;13;18,0;-5,0;317,0;2SemDragagem2030
91;12;0,0;12,0;329,0;2SemDragagem2030
92;16;0,0;16,0;345,0;2SemDragagem2030
