SCENARIO_ID;ARRIVAL_ID;METOCEAN_QUEUE_TIME;BERTH_QUEUE_TIME;CHANNEL_QUEUE_TIME;TOTAL_QUEUE_TIME
2SemDragagem2030;3544;0.0;0.5;0.0;0.5
2SemDragagem2030;3545;0.0;0.0;2.5;2.5
2SemDragagem2030;3546;0.0;5.33;0.0;5.33
2SemDragagem2030;3547;0.08;2.92;0.08;3.08
2SemDragagem2030;3548;0.0;3.58;0.08;3.67
2SemDragagem2030;3549;0.17;5.75;0.0;5.92
2SemDragagem2030;3550;0.0;2.17;1.67;3.83
2SemDragagem2030;3551;0.0;0.0;0.0;0.0
2SemDragagem2030;3552;0.0;0.0;6.33;6.33
2SemDragagem2030;3553;0.0;0.25;0.0;0.25
2SemDragagem2030;3554;19.08;68.83;0.0;87.92
2SemDragagem2030;3555;0.0;0.0;0.0;0.0
2SemDragagem2030;3556;3.0;36.83;0.0;39.83
2SemDragagem2030;3557;0.0;0.0;0.0;0.0
2SemDragagem2030;3558;67.83;0.25;0.0;68.08
2SemDragagem2030;3559;0.0;0.67;0.0;0.67
2SemDragagem2030;3560;0.0;1.17;0.0;1.17
2SemDragagem2030;3561;1.33;25.5;0.0;26.83
2SemDragagem2030;3562;0.0;2.17;0.0;2.17
2SemDragagem2030;3563;0.0;3.0;0.0;3.0
2SemDragagem2030;3564;0.0;0.92;0.0;0.92
2SemDragagem2030;3565;0.0;0.17;0.0;0.17
2SemDragagem2030;3566;0.0;0.33;0.0;0.33
2SemDragagem2030;3567;0.0;0.67;0.0;0.67
2SemDragagem2030;3568;0.0;1.25;0.0;1.25
2SemDragagem2030;3569;39.67;0.0;0.0;39.67
2SemDragagem2030;3570;39.83;2.33;1.17;43.33
2SemDragagem2030;3571;48.08;7.25;1.92;57.25
2SemDragagem2030;3572;0.0;0.0;0.0;0.0
2SemDragagem2030;3573;15.75;43.0;0.0;58.75
2SemDragagem2030;3574;40.25;99.42;0.0;139.67
2SemDragagem2030;3575;0.0;0.0;0.0;0.0
2SemDragagem2030;3576;0.0;0.83;0.0;0.83
2SemDragagem2030;3577;1.42;15.67;0.0;17.08
2SemDragagem2030;3578;0.0;1.25;0.0;1.25
2SemDragagem2030;3579;2.5;42.17;0.0;44.67
2SemDragagem2030;3580;0.0;0.0;0.0;0.0
2SemDragagem2030;3581;0.0;0.0;0.0;0.0
2SemDragagem2030;3582;0.0;2.25;0.0;2.25
2SemDragagem2030;3583;0.08;0.08;0.0;0.17
2SemDragagem2030;3584;39.0;85.25;0.0;124.25
2SemDragagem2030;3585;0.33;4.17;0.0;4.5
