SCENARIO_ID;ARRIVAL_ID;LOA;BEAM;DRAFT;TERMINAL_ID;TERMINAL_MARKET_CATEGORY;BERTH;CATEGORY;DETAILED_CATEGORY;PROCESS_TIME
2SemDragagem2030;3544;225.0;23.0;0.0;9;GSA - E;BERÇO ARM 39;CARGO;N/A;3210
2SemDragagem2030;3545;155.0;23.0;10.25;10;GL;BERÇO IB OE;CARGO;N/A;2585
2SemDragagem2030;3546;225.0;36.0;0.0;12;CGNC;BERÇO ARM 35P2;CARGO;N/A;6230
2SemDragagem2030;3547;225.0;23.0;0.0;16;GSA - E;BERÇO ARM 13/14;CARGO;N/A;8715
2SemDragagem2030;3548;225.0;23.0;0.0;16;GSA - E;BERÇO ARM 12A;CARGO;N/A;4255
2SemDragagem2030;3549;195.0;23.0;0.0;17;GSA - E;BERÇO ARM 20/21;CARGO;N/A;2630
2SemDragagem2030;3550;215.0;23.0;10.25;21;CGC;BERÇO DPW 1;CARGO;N/A;910
2SemDragagem2030;3551;255.0;23.0;11.75;21;CGC;BERÇO DPW 2;CARGO;N/A;1225
2SemDragagem2030;3552;225.0;36.0;0.0;23;CGNC;BERÇO ARM 31;CARGO;N/A;2450
2SemDragagem2030;3553;175.0;23.0;0.0;24;GSA - E;BERÇO ARM 16/17;CARGO;N/A;2215
2SemDragagem2030;3554;225.0;23.0;0.0;24;GSA - E;BERÇO ARM 16/17;CARGO;N/A;3400
2SemDragagem2030;3555;205.0;32.2;0.0;24;GSA - E;BERÇO ARM 19;CARGO;N/A;2530
2SemDragagem2030;3556;205.0;32.2;0.0;24;GSA - E;BERÇO ARM 16/17;CARGO;N/A;2725
2SemDragagem2030;3557;255.0;23.0;11.75;31;CGC;BERÇO TECON 2;CARGO;N/A;1065
2SemDragagem2030;3558;339.0;43.0;14.0;31;CGC;BERÇO TECON 3;CARGO;N/A;1720
2SemDragagem2030;3559;185.0;23.0;10.75;32;GL;BERÇO AL 02;CARGO;N/A;4625
2SemDragagem2030;3560;195.0;23.0;9.25;37;RORO;BERÇO TEV;CARGO;RO-RO;1345
2SemDragagem2030;3561;195.0;23.0;9.25;37;RORO;BERÇO TEV;CARGO;RO-RO;1435
2SemDragagem2030;3562;225.0;23.0;0.0;41;GSA - E;BERÇO TIPLAM 2;CARGO;N/A;3995
2SemDragagem2030;3563;225.0;23.0;0.0;41;GSA - E;BERÇO TIPLAM 3;CARGO;N/A;3920
2SemDragagem2030;3564;195.0;23.0;10.25;42;GSM - I;BERÇO TIPLAM 1;CARGO;N/A;5245
2SemDragagem2030;3565;185.0;23.0;0.0;43;GL;BERÇO AL 01;CARGO;N/A;2145
2SemDragagem2030;3566;185.0;23.0;10.75;47;GL;BERÇO AL 03;CARGO;N/A;3820
2SemDragagem2030;3567;225.0;36.0;0.0;1;CGNC;BERÇO ARAUCO 1;CARGO;N/A;6190
2SemDragagem2030;3568;155.0;23.0;9.75;11;GL;BERÇO Ageo I;CARGO;N/A;2825
2SemDragagem2030;3569;275.0;23.0;13.75;13;CGC;BERÇO BTP 1;CARGO;N/A;1075
2SemDragagem2030;3570;305.0;23.0;13.75;13;CGC;BERÇO BTP 3;CARGO;N/A;1355
2SemDragagem2030;3571;325.0;23.0;13.75;13;CGC;BERÇO BTP 2;CARGO;N/A;1550
2SemDragagem2030;3572;205.0;23.0;0.0;15;GL;BERÇO ARM 29;CARGO;N/A;4705
2SemDragagem2030;3573;225.0;23.0;0.0;16;GSA - E;BERÇO ARM 12A;CARGO;N/A;4645
2SemDragagem2030;3574;225.0;23.0;0.0;16;GSA - E;BERÇO ARM 12A;CARGO;N/A;4380
2SemDragagem2030;3575;275.0;23.0;12.25;21;CGC;BERÇO DPW 1;CARGO;N/A;1215
2SemDragagem2030;3576;275.0;23.0;12.25;21;CGC;BERÇO DPW 2;CARGO;N/A;1195
2SemDragagem2030;3577;175.0;23.0;0.0;24;GSA - E;BERÇO ARM 19;CARGO;N/A;2085
2SemDragagem2030;3578;195.0;23.0;11.25;27;GSM - I;BERÇO ARM 22/23;CARGO;N/A;4635
2SemDragagem2030;3579;225.0;36.0;0.0;29;CGNC;BERÇO ARM 31;CARGO;N/A;12315
2SemDragagem2030;3580;265.0;23.0;12.75;31;CGC;BERÇO TECON 2;CARGO;N/A;1080
