Day;MARKET_CATEGORY;arrivals;attended;saldo_dia;queue;SCENARIO_ID
1;CGC;6,0;5,0;1,0;1,0;2SemDragagem20302
2;CGC;7,0;3,0;4,0;5,0;2SemDragagem20302
3;CGC;9,0;3,0;6,0;11,0;2SemDragagem20302
4;CGC;7,0;8,0;-1,0;10,0;2SemDragagem20302
5;CGC;9,0;6,0;3,0;13,0;2SemDragagem20302
6;CGC;8,0;10,0;-2,0;11,0;2SemDragagem20302
7;CGC;10,0;9,0;1,0;12,0;2SemDragagem20302
8;CGC;9,0;5,0;4,0;16,0;2SemDragagem20302
9;CGC;6,0;7,0;-1,0;15,0;2SemDragagem20302
10;CGC;9,0;5,0;4,0;19,0;2SemDragagem20302
11;CGC;5,0;11,0;-6,0;13,0;2SemDragagem20302
12;CGC;7,0;8,0;-1,0;12,0;2SemDragagem20302
13;CGC;8,0;8,0;0,0;12,0;2SemDragagem20302
14;CGC;10,0;7,0;3,0;15,0;2SemDragagem20302
15;CGC;10,0;10,0;0,0;15,0;2SemDragagem20302
16;CGC;9,0;9,0;0,0;15,0;2SemDragagem20302
17;CGC;11,0;7,0;4,0;19,0;2SemDragagem20302
18;CGC;6,0;8,0;-2,0;17,0;2SemDragagem20302
19;CGC;9,0;11,0;-2,0;15,0;2SemDragagem20302
20;CGC;6,0;8,0;-2,0;13,0;2SemDragagem20302
21;CGC;9,0;7,0;2,0;15,0;2SemDragagem20302
22;CGC;9,0;8,0;1,0;16,0;2SemDragagem20302
23;CGC;5,0;8,0;-3,0;13,0;2SemDragagem20302
24;CGC;10,0;7,0;3,0;16,0;2SemDragagem20302
25;CGC;5,0;8,0;-3,0;13,0;2SemDragagem20302
26;CGC;7,0;9,0;-2,0;11,0;2SemDragagem20302
27;CGC;8,0;9,0;-1,0;10,0;2SemDragagem20302
28;CGC;13,0;6,0;7,0;17,0;2SemDragagem20302
29;CGC;8,0;8,0;0,0;17,0;2SemDragagem20302
30;CGC;6,0;6,0;0,0;17,0;2SemDragagem20302
31;CGC;10,0;3,0;7,0;24,0;2SemDragagem20302
32;CGC;7,0;5,0;2,0;26,0;2SemDragagem20302
