SCENARIO_ID;SEGMENT_ID;MONTH;HOURS_0_VESSELS;HOURS_1_VESSEL;HOURS_2_VESSELS;HOURS_3_VESSELS;HOURS_4_VESSELS;HOURS_5_VESSELS;HOURS_5PLUS_VESSELS
2SemDragagem20302;1;2025-08;392.08;315.5;36.42;0.0;0.0;0.0;0.0
2SemDragagem20302;1;2025-09;404.33;286.0;29.67;0.0;0.0;0.0;0.0
2SemDragagem20302;1;2025-10;370.33;294.67;31.0;0.0;0.0;0.0;0.0
2SemDragagem20302;2;2025-08;636.0;106.08;1.92;0.0;0.0;0.0;0.0
2SemDragagem20302;2;2025-09;629.33;89.08;1.58;0.0;0.0;0.0;0.0
2SemDragagem20302;2;2025-10;606.58;87.33;2.08;0.0;0.0;0.0;0.0
2SemDragagem20302;3;2025-08;650.33;93.67;0.0;0.0;0.0;0.0;0.0
2SemDragagem20302;3;2025-09;635.17;84.83;0.0;0.0;0.0;0.0;0.0
2SemDragagem20302;3;2025-10;607.5;88.5;0.0;0.0;0.0;0.0;0.0
2SemDragagem20302;4;2025-08;628.5;115.5;0.0;0.0;0.0;0.0;0.0
2SemDragagem20302;4;2025-09;616.83;103.17;0.0;0.0;0.0;0.0;0.0
2SemDragagem20302;4;2025-10;587.33;108.67;0.0;0.0;0.0;0.0;0.0
2SemDragagem20302;5;2025-08;633.08;110.92;0.0;0.0;0.0;0.0;0.0
2SemDragagem20302;5;2025-09;618.42;101.58;0.0;0.0;0.0;0.0;0.0
2SemDragagem20302;5;2025-10;593.83;102.17;0.0;0.0;0.0;0.0;0.0
2SemDragagem20302;6;2025-08;591.33;136.17;16.5;0.0;0.0;0.0;0.0
2SemDragagem20302;6;2025-09;584.08;121.42;14.5;0.0;0.0;0.0;0.0
2SemDragagem20302;6;2025-10;552.25;128.42;15.33;0.0;0.0;0.0;0.0
2SemDragagem20302;7;2025-08;655.42;87.33;1.25;0.0;0.0;0.0;0.0
2SemDragagem20302;7;2025-09;638.0;80.5;1.5;0.0;0.0;0.0;0.0
2SemDragagem20302;7;2025-10;610.75;83.92;1.33;0.0;0.0;0.0;0.0
2SemDragagem20302;8;2025-08;664.67;78.5;0.83;0.0;0.0;0.0;0.0
2SemDragagem20302;8;2025-09;646.5;73.25;0.25;0.0;0.0;0.0;0.0
2SemDragagem20302;8;2025-10;621.0;74.83;0.17;0.0;0.0;0.0;0.0
2SemDragagem20302;9;2025-08;674.25;69.0;0.75;0.0;0.0;0.0;0.0
2SemDragagem20302;9;2025-09;656.33;63.5;0.17;0.0;0.0;0.0;0.0
2SemDragagem20302;9;2025-10;629.08;66.33;0.58;0.0;0.0;0.0;0.0
2SemDragagem20302;10;2025-08;670.42;73.58;0.0;0.0;0.0;0.0;0.0
2SemDragagem20302;10;2025-09;652.08;67.92;0.0;0.0;0.0;0.0;0.0
2SemDragagem20302;10;2025-10;622.25;73.75;0.0;0.0;0.0;0.0;0.0
2SemDragagem20302;11;2025-08;671.58;65.83;6.58;0.0;0.0;0.0;0.0
2SemDragagem20302;11;2025-09;655.33;58.58;6.08;0.0;0.0;0.0;0.0
2SemDragagem20302;11;2025-10;627.08;59.5;9.42;0.0;0.0;0.0;0.0
2SemDragagem20302;12;2025-08;686.5;57.5;0.0;0.0;0.0;0.0;0.0
2SemDragagem20302;12;2025-09;674.58;45.42;0.0;0.0;0.0;0.0;0.0
2SemDragagem20302;12;2025-10;646.58;49.42;0.0;0.0;0.0;0.0;0.0
2SemDragagem20302;13;2025-08;668.17;71.42;4.42;0.0;0.0;0.0;0.0
2SemDragagem20302;13;2025-09;657.67;53.42;8.92;0.0;0.0;0.0;0.0
2SemDragagem20302;13;2025-10;622.42;65.67;7.92;0.0;0.0;0.0;0.0
2SemDragagem20302;14;2025-08;696.67;47.33;0.0;0.0;0.0;0.0;0.0
2SemDragagem20302;14;2025-09;676.42;43.58;0.0;0.0;0.0;0.0;0.0
2SemDragagem20302;14;2025-10;651.92;44.08;0.0;0.0;0.0;0.0;0.0
2SemDragagem20302;15;2025-08;718.42;25.5;0.08;0.0;0.0;0.0;0.0
2SemDragagem20302;15;2025-09;705.42;14.58;0.0;0.0;0.0;0.0;0.0
2SemDragagem20302;15;2025-10;681.25;14.75;0.0;0.0;0.0;0.0;0.0
2SemDragagem20302;16;2025-08;719.67;24.0;0.33;0.0;0.0;0.0;0.0
2SemDragagem20302;16;2025-09;696.83;23.0;0.17;0.0;0.0;0.0;0.0
2SemDragagem20302;16;2025-10;674.58;21.17;0.25;0.0;0.0;0.0;0.0
2SemDragagem20302;17;2025-08;710.58;32.92;0.5;0.0;0.0;0.0;0.0
2SemDragagem20302;17;2025-09;688.33;31.42;0.25;0.0;0.0;0.0;0.0
2SemDragagem20302;17;2025-10;667.33;28.42;0.25;0.0;0.0;0.0;0.0
