SCENARIO_ID;N_VESSELS;MONTH;HOURS
2SemDragagem2035;0;2025-08;82.25
2SemDragagem2035;1;2025-08;157.08
2SemDragagem2035;2;2025-08;163.25
2SemDragagem2035;3;2025-08;147.92
2SemDragagem2035;4;2025-08;98.67
2SemDragagem2035;5;2025-08;55.83
2SemDragagem2035;5+;2025-08;39.0
2SemDragagem2035;0;2025-09;70.0
2SemDragagem2035;1;2025-09;157.67
2SemDragagem2035;2;2025-09;195.92
2SemDragagem2035;3;2025-09;147.58
2SemDragagem2035;4;2025-09;88.08
2SemDragagem2035;5;2025-09;39.75
2SemDragagem2035;5+;2025-09;21.0
2SemDragagem2035;0;2025-10;52.33
2SemDragagem2035;1;2025-10;171.5
2SemDragagem2035;2;2025-10;183.33
2SemDragagem2035;3;2025-10;149.08
2SemDragagem2035;4;2025-10;81.58
2SemDragagem2035;5;2025-10;39.08
2SemDragagem2035;5+;2025-10;19.08
