SCENARIO_ID;DAY;ENTER;EXIT
2SemDragagem2035;1;22,00;0,00
2SemDragagem2035;2;13,00;8,00
2SemDragagem2035;3;8,00;8,00
2SemDragagem2035;4;31,00;15,00
2SemDragagem2035;5;23,00;17,00
2SemDragagem2035;6;24,00;24,00
2SemDragagem2035;7;22,00;23,00
2SemDragagem2035;8;20,00;22,00
2SemDragagem2035;9;22,00;21,00
2SemDragagem2035;10;15,00;16,00
2SemDragagem2035;11;28,00;25,00
2SemDragagem2035;12;24,00;20,00
2SemDragagem2035;13;24,00;28,00
2SemDragagem2035;14;26,00;22,00
2SemDragagem2035;15;24,00;29,00
2SemDragagem2035;16;15,00;20,00
2SemDragagem2035;17;22,00;27,00
2SemDragagem2035;18;24,00;19,00
2SemDragagem2035;19;15,00;13,00
2SemDragagem2035;20;28,00;26,00
2SemDragagem2035;21;23,00;19,00
2SemDragagem2035;22;19,00;18,00
2SemDragagem2035;23;19,00;23,00
2SemDragagem2035;24;21,00;26,00
2SemDragagem2035;25;23,00;19,00
2SemDragagem2035;26;27,00;24,00
2SemDragagem2035;27;24,00;26,00
2SemDragagem2035;28;17,00;16,00
2SemDragagem2035;29;24,00;26,00
2SemDragagem2035;30;21,00;22,00
2SemDragagem2035;31;12,00;17,00
2SemDragagem2035;32;16,00;14,00
2SemDragagem2035;33;12,00;15,00
2SemDragagem2035;34;24,00;16,00
2SemDragagem2035;35;25,00;23,00
2SemDragagem2035;36;15,00;22,00
2SemDragagem2035;37;25,00;20,00
2SemDragagem2035;38;19,00;21,00
2SemDragagem2035;39;24,00;25,00
2SemDragagem2035;40;15,00;18,00
2SemDragagem2035;41;16,00;18,00
2SemDragagem2035;42;24,00;23,00
2SemDragagem2035;43;19,00;19,00
2SemDragagem2035;44;21,00;20,00
2SemDragagem2035;45;19,00;17,00
2SemDragagem2035;46;15,00;20,00
2SemDragagem2035;47;9,00;12,00
2SemDragagem2035;48;3,00;2,00
2SemDragagem2035;49;34,00;23,00
2SemDragagem2035;50;18,00;22,00
2SemDragagem2035;51;21,00;20,00
2SemDragagem2035;52;15,00;19,00
2SemDragagem2035;53;28,00;24,00
2SemDragagem2035;54;21,00;19,00
2SemDragagem2035;55;23,00;22,00
2SemDragagem2035;56;21,00;24,00
2SemDragagem2035;57;25,00;21,00
2SemDragagem2035;58;18,00;21,00
2SemDragagem2035;59;20,00;21,00
2SemDragagem2035;60;15,00;18,00
2SemDragagem2035;61;24,00;21,00
2SemDragagem2035;62;20,00;20,00
2SemDragagem2035;63;15,00;18,00
2SemDragagem2035;64;16,00;18,00
2SemDragagem2035;65;19,00;24,00
2SemDragagem2035;66;14,00;13,00
2SemDragagem2035;67;26,00;17,00
2SemDragagem2035;68;22,00;21,00
2SemDragagem2035;69;20,00;22,00
2SemDragagem2035;70;16,00;18,00
2SemDragagem2035;71;16,00;18,00
2SemDragagem2035;72;27,00;21,00
2SemDragagem2035;73;17,00;26,00
2SemDragagem2035;74;24,00;14,00
2SemDragagem2035;75;23,00;20,00
2SemDragagem2035;76;14,00;22,00
2SemDragagem2035;77;21,00;18,00
2SemDragagem2035;78;19,00;24,00
2SemDragagem2035;79;19,00;21,00
2SemDragagem2035;80;12,00;14,00
2SemDragagem2035;81;22,00;15,00
2SemDragagem2035;82;22,00;20,00
2SemDragagem2035;83;17,00;17,00
2SemDragagem2035;84;16,00;20,00
2SemDragagem2035;85;19,00;26,00
2SemDragagem2035;86;15,00;13,00
2SemDragagem2035;87;17,00;19,00
2SemDragagem2035;88;27,00;15,00
2SemDragagem2035;89;20,00;20,00
2SemDragagem2035;90;21,00;24,00
