VESSEL_BEAM;VESSEL_LOA;VESSEL_DRAFT;VESSEL_EXIT_DRAFT;DIRECTION;ARRIVAL_HOUR;ARRIVAL_MINUTE;ARRIVAL_WEEKDAY;ARRIVAL_WEEKDAY_NUM;ARRIVAL_DAY;DANGEROUS_FLAG;PASSENGER_FLAG;RORO_FLAG;TONNAGE;SERVICE_DURATION;WAIT_FOR_SERVICE;WAIT_FOR_UNDOCK;ARRIVAL_MONTH;ARRIVAL_MONTH_NUM;TERMINAL;TERMINAL_ID;VESSEL_SIZE_CATEGORY;VESSEL_MARKET_CATEGORY;ARRIVAL_ID;DEMAND_SCENARIO
23.0;245.0;10.75;10.75;3.0;7;21;WED;2;1;False;False;False;3000;15.61;0.91;0.75;JAN;1;TECON10;3;PANAMAX;CGC;1;D203515_newpanamax
23.0;155.0;0.0;8.25;1.0;8;21;WED;2;1;False;False;False;18000;45.88;0.38;0.75;JAN;1;AGEO_TERMINAIS;11;GPGENERALPURPOSE;GL;2;D203515_newpanamax
23.0;295.0;12.25;12.25;3.0;8;23;WED;2;1;False;False;False;4000;20.66;3.73;0.75;JAN;1;BTP;13;POST-PANAMAXI;CGC;3;D203515_newpanamax
23.0;255.0;10.75;10.75;3.0;9;25;WED;2;1;False;False;False;3000;17.86;2.36;0.75;JAN;1;DPW - CGC;21;PANAMAX;CGC;4;D203515_newpanamax
36.0;225.0;0.0;13.0;1.0;7;17;WED;2;1;False;False;False;55000;64.0;11.02;0.75;JAN;1;DPW - CGNC;22;NAVIOCARGAGERAL;CGNC;5;D203515_newpanamax
23.0;185.0;9.75;9.75;3.0;10;25;WED;2;1;False;False;False;1000;16.8;2.19;0.75;JAN;1;SANTOSBR;31;FULLYCELLULAR;CGC;6;D203515_newpanamax
23.0;295.0;12.25;12.25;3.0;9;24;WED;2;1;False;False;False;4000;21.3;1.38;0.75;JAN;1;SANTOSBR;31;POST-PANAMAXI;CGC;7;D203515_newpanamax
23.0;195.0;8.75;8.75;3.0;9;27;WED;2;1;False;False;True;1500;20.97;2.39;0.75;JAN;1;TEV;37;CARGARO-RO;RORO;8;D203515_newpanamax
18.0;85.34;4.2;5.5;1.0;18;5;0;2;1;False;False;False;0;70.42;0.08;0.75;0;1;TUP - Saipem;8;HANDYSIZE;CGNC;9;D203515_newpanamax
23.0;295.0;12.25;12.25;3.0;11;31;THU;3;2;False;False;False;4000;21.3;4.16;0.75;JAN;1;TECON10;3;POST-PANAMAXI;CGC;10;D203515_newpanamax
23.0;175.0;8.75;0.0;2.0;11;34;THU;3;2;False;False;False;35000;37.45;6.46;0.75;JAN;1;ADONAI;10;MRMEDIUMRANGE;GL;11;D203515_newpanamax
23.0;305.0;12.25;12.25;3.0;8;24;THU;3;2;False;False;False;4000;20.66;1.17;0.75;JAN;1;BTP;13;POST-PANAMAXI;CGC;12;D203515_newpanamax
23.0;125.0;7.25;7.25;3.0;12;34;THU;3;2;False;False;False;500;12.93;2.05;0.75;JAN;1;DPW - CGC;21;FEEDER/EARLY;CGC;13;D203515_newpanamax
