SCENARIO_ID;ARRIVAL_ID;METOCEAN_QUEUE_TIME;BERTH_QUEUE_TIME;CHANNEL_QUEUE_TIME;TOTAL_QUEUE_TIME;MARKET_CATEGORY
2SemDragagem2035;4260;0.0;0.0;0.83;0.83;CGC
2SemDragagem2035;4261;65.83;0.0;0.58;66.42;CGC
2SemDragagem2035;4262;0.0;0.0;0.0;0.0;GL
2SemDragagem2035;4263;0.0;0.0;0.25;0.25;CGC
2SemDragagem2035;4264;0.0;0.0;0.42;0.42;CGC
2SemDragagem2035;4265;0.0;0.0;0.0;0.0;GL
2SemDragagem2035;4266;0.08;0.0;2.92;3.0;GSA - E
2SemDragagem2035;4267;0.0;0.0;0.17;0.17;GSA - E
2SemDragagem2035;4268;6.42;35.75;0.92;43.08;GSA - E
2SemDragagem2035;4269;0.0;0.0;3.08;3.08;CGC
2SemDragagem2035;4270;0.0;0.0;4.92;4.92;CGC
2SemDragagem2035;4271;0.0;0.0;0.0;0.0;CGNC
2SemDragagem2035;4272;0.0;0.0;0.67;0.67;GSA - E
2SemDragagem2035;4273;0.0;0.0;6.25;6.25;GSA - E
2SemDragagem2035;4274;0.0;0.0;4.42;4.42;CGC
2SemDragagem2035;4275;0.0;0.0;0.0;0.0;CGC
2SemDragagem2035;4276;0.0;0.0;0.67;0.67;CGC
2SemDragagem2035;4277;0.0;0.0;0.0;0.0;GL
2SemDragagem2035;4278;0.0;0.0;3.42;3.42;GSA - E
2SemDragagem2035;4279;0.0;0.0;0.0;0.0;RORO
2SemDragagem2035;4280;1.33;25.08;3.33;29.75;RORO
2SemDragagem2035;4281;0.0;0.0;2.42;2.42;GSA - E
2SemDragagem2035;4282;0.0;0.0;0.67;0.67;GSA - E
2SemDragagem2035;4283;0.0;0.0;1.58;1.58;GL
2SemDragagem2035;4284;3.83;26.08;8.75;38.67;GL
2SemDragagem2035;4285;0.0;0.0;2.58;2.58;GL
2SemDragagem2035;4286;0.0;0.0;2.83;2.83;CGNC
2SemDragagem2035;4287;0.0;0.0;0.25;0.25;CGNC
2SemDragagem2035;4288;0.0;0.0;2.92;2.92;CGNC
2SemDragagem2035;4289;41.75;0.0;0.08;41.83;CGC
2SemDragagem2035;4290;0.33;0.0;2.08;2.42;GSA - E
2SemDragagem2035;4291;26.75;51.92;3.75;82.42;GSA - E
2SemDragagem2035;4292;27.08;52.83;3.83;83.75;GSA - E
2SemDragagem2035;4293;38.92;87.08;7.33;133.33;GSA - E
2SemDragagem2035;4294;0.0;0.0;1.17;1.17;CGC
2SemDragagem2035;4295;39.67;6.08;0.0;45.75;CGC
2SemDragagem2035;4296;1.42;23.42;0.0;24.83;GSA - E
2SemDragagem2035;4297;29.42;66.83;0.0;96.25;GSA - E
2SemDragagem2035;4298;3.0;42.0;0.0;45.0;GSA - E
2SemDragagem2035;4299;0.0;0.0;0.0;0.0;GSM - I
2SemDragagem2035;4300;0.0;0.0;0.92;0.92;CGC
2SemDragagem2035;4301;0.0;0.0;0.25;0.25;CGC
2SemDragagem2035;4302;36.58;0.0;0.83;37.42;CGC
2SemDragagem2035;4303;0.67;0.0;2.92;3.58;GSA - E
2SemDragagem2035;4304;39.33;84.75;4.08;128.17;GSA - E
2SemDragagem2035;4305;0.0;0.0;1.0;1.0;GSA - E
2SemDragagem2035;4306;7.75;47.92;3.0;58.67;GSA - E
2SemDragagem2035;4307;0.0;0.0;0.5;0.5;GSM - I
2SemDragagem2035;4308;1.92;2.58;1.83;6.33;GL
2SemDragagem2035;4309;0.0;0.0;0.08;0.08;GSA - E
2SemDragagem2035;4310;1.0;0.0;1.67;2.67;CGC
2SemDragagem2035;4311;1.0;0.0;0.25;1.25;CGC
2SemDragagem2035;4312;18.67;4.08;2.5;25.25;CGC
2SemDragagem2035;4313;1.0;0.0;2.25;3.25;GSA - E
2SemDragagem2035;4314;0.83;0.0;3.67;4.5;GL
2SemDragagem2035;4315;0.75;0.0;0.0;0.75;CGC
2SemDragagem2035;4316;20.75;4.42;1.92;27.08;CGC
2SemDragagem2035;4317;27.0;6.0;3.58;36.58;CGC
2SemDragagem2035;4318;1.33;24.25;0.0;25.58;GL
2SemDragagem2035;4319;1.0;0.0;0.5;1.5;CGC
2SemDragagem2035;4320;0.0;0.0;0.75;0.75;CGC
2SemDragagem2035;4321;0.0;0.0;0.0;0.0;CGC
2SemDragagem2035;4322;32.25;17.42;0.0;49.67;CGC
2SemDragagem2035;4323;2.0;26.08;1.5;29.58;GSA - E
2SemDragagem2035;4324;3.25;38.75;0.0;42.0;GSM - I
2SemDragagem2035;4325;0.0;0.0;0.0;0.0;CGC
2SemDragagem2035;4326;1.0;0.0;0.75;1.75;CGC
2SemDragagem2035;4327;1.0;0.0;4.58;5.58;CGC
2SemDragagem2035;4328;19.67;5.33;2.08;27.08;CGC
2SemDragagem2035;4329;50.83;9.83;2.33;63.0;CGC
2SemDragagem2035;4330;0.17;0.0;0.0;0.17;GSA - E
2SemDragagem2035;4331;13.5;0.0;5.83;19.33;GSM - I
2SemDragagem2035;4332;10.67;23.5;2.0;36.17;GSA - E
2SemDragagem2035;4333;0.0;0.0;2.0;2.0;CGNC
2SemDragagem2035;4334;0.0;0.0;1.17;1.17;CGC
2SemDragagem2035;4335;0.0;0.0;0.83;0.83;GSM - I
2SemDragagem2035;4336;0.0;0.0;1.33;1.33;CGC
2SemDragagem2035;4337;12.08;81.92;2.08;96.08;GL
2SemDragagem2035;4338;13.67;32.08;0.0;45.75;GSA - E
2SemDragagem2035;4339;21.33;135.08;11.92;168.33;GSA - E
2SemDragagem2035;4340;76.58;190.25;12.58;279.42;GSA - E
2SemDragagem2035;4341;66.83;136.75;11.33;214.92;GSA - E
2SemDragagem2035;4342;0.0;17.33;2.08;19.42;CGC
2SemDragagem2035;4343;0.0;20.33;0.0;20.33;CGC
2SemDragagem2035;4344;0.0;11.83;0.0;11.83;CGNC
2SemDragagem2035;4345;22.33;47.42;4.75;74.5;GSA - E
2SemDragagem2035;4346;39.83;78.67;6.67;125.17;GSA - E
2SemDragagem2035;4347;0.0;0.0;0.75;0.75;GL
2SemDragagem2035;4348;15.17;107.67;4.67;127.5;GSM - I
2SemDragagem2035;4349;9.25;55.25;0.0;64.5;CGNC
2SemDragagem2035;4350;0.0;9.25;11.58;20.83;CGC
2SemDragagem2035;4351;9.25;28.58;14.67;52.5;CGC
2SemDragagem2035;4352;75.92;4.58;14.42;94.92;CGC
2SemDragagem2035;4353;0.0;0.0;0.0;0.0;GSM - I
2SemDragagem2035;4354;110.17;102.83;0.0;213.0;GSA - E
2SemDragagem2035;4355;0.0;0.0;2.42;2.42;GSA - E
2SemDragagem2035;4356;0.0;16.5;0.0;16.5;GSA - E
2SemDragagem2035;4357;14.08;69.58;5.58;89.25;GSA - E
2SemDragagem2035;4358;0.0;20.0;0.0;20.0;GL
2SemDragagem2035;4359;0.0;0.0;0.0;0.0;GL
2SemDragagem2035;4360;0.0;0.0;0.33;0.33;GL
2SemDragagem2035;4361;29.25;61.75;3.08;94.08;GSA - E
2SemDragagem2035;4362;0.0;0.0;0.17;0.17;CGNC
2SemDragagem2035;4363;0.0;0.0;1.92;1.92;CGNC
2SemDragagem2035;4364;0.0;0.0;4.5;4.5;CGC
2SemDragagem2035;4365;8.25;7.33;10.75;26.33;CGC
2SemDragagem2035;4366;0.0;0.0;0.58;0.58;CGC
2SemDragagem2035;4367;8.25;6.33;10.67;25.25;CGC
2SemDragagem2035;4368;8.25;6.33;10.08;24.67;CGC
2SemDragagem2035;4369;29.17;1.25;1.0;31.42;CGC
2SemDragagem2035;4370;8.25;29.33;0.0;37.58;GSA - E
2SemDragagem2035;4371;0.0;0.0;0.5;0.5;GL
2SemDragagem2035;4372;8.25;8.58;7.5;24.33;CGC
2SemDragagem2035;4373;0.0;4.67;5.17;9.83;CGC
2SemDragagem2035;4374;33.33;60.67;6.08;100.08;GSA - E
2SemDragagem2035;4375;35.0;64.75;7.5;107.25;GSA - E
2SemDragagem2035;4376;29.83;276.83;16.58;323.25;GSA - E
2SemDragagem2035;4377;94.0;263.0;12.58;369.58;GSA - E
2SemDragagem2035;4378;0.0;0.0;2.92;2.92;GSA - E
2SemDragagem2035;4379;0.0;8.58;0.0;8.58;CGC
2SemDragagem2035;4380;17.33;3.25;2.25;22.83;CGC
2SemDragagem2035;4381;25.25;234.58;1.42;261.25;CGNC
2SemDragagem2035;4382;33.42;63.33;5.75;102.5;GSA - E
2SemDragagem2035;4383;51.42;97.92;5.75;155.08;GSA - E
2SemDragagem2035;4384;1.25;11.33;0.58;13.17;CGC
2SemDragagem2035;4385;0.0;0.0;0.0;0.0;CGC
2SemDragagem2035;4386;8.0;25.42;5.0;38.42;CGC
2SemDragagem2035;4387;9.25;4.67;31.67;45.58;CGC
2SemDragagem2035;4388;0.0;0.0;3.75;3.75;GSA - E
2SemDragagem2035;4389;0.0;0.0;3.58;3.58;RORO
2SemDragagem2035;4390;8.0;12.67;4.0;24.67;GSA - E
2SemDragagem2035;4391;14.08;70.33;2.83;87.25;GSA - E
2SemDragagem2035;4392;22.75;108.58;2.83;134.17;GSA - E
2SemDragagem2035;4393;10.58;47.42;2.92;60.92;GSM - I
2SemDragagem2035;4394;0.0;0.0;1.67;1.67;GL
2SemDragagem2035;4395;16.42;103.08;3.75;123.25;GSA - E
2SemDragagem2035;4396;96.67;80.08;3.75;180.5;GSA - E
2SemDragagem2035;4397;0.0;0.0;0.17;0.17;CGNC
2SemDragagem2035;4398;0.0;0.0;5.75;5.75;CGNC
2SemDragagem2035;4399;1.75;18.5;0.17;20.42;CGC
2SemDragagem2035;4400;1.75;16.67;1.33;19.75;CGC
2SemDragagem2035;4401;1.75;19.17;3.42;24.33;CGC
2SemDragagem2035;4402;32.5;5.17;1.67;39.33;CGC
2SemDragagem2035;4403;6.42;60.83;9.08;76.33;GSM - I
2SemDragagem2035;4404;0.0;0.0;2.5;2.5;GSA - E
2SemDragagem2035;4405;0.0;0.0;2.17;2.17;GL
2SemDragagem2035;4406;1.25;18.17;4.58;24.0;CGNC
2SemDragagem2035;4407;1.17;16.17;0.75;18.08;CGNC
2SemDragagem2035;4408;0.0;12.08;1.08;13.17;CGC
