berth_resource;TEMPO_OCUPADO;TEMPO_RESERVADO;VISITAS;SCENARIO_ID
BERÇO AL 01;1941,9099999999994;86,48;46;ComDragagem2030
BERÇO AL 02;1935,1499999999996;71,6;41;ComDragagem2030
BERÇO AL 03;1828,61;45,78;27;ComDragagem2030
BERÇO AL 04;1155,5900000000006;39,07;23;ComDragagem2030
BERÇO ARAUCO 1;1632,9899999999998;32,519999999999996;15;ComDragagem2030
BERÇO ARAUCO 2;1330,3999999999996;26,02;12;ComDragagem2030
BERÇO ARAUCO 3;757,2600000000002;15,17;7;ComDragagem2030
BERÇO ARM 12A;2013,1000000000004;39,0;26;ComDragagem2030
BERÇO ARM 13/14;2065,3199999999997;32,34;22;ComDragagem2030
BERÇO ARM 16/17;1996,0299999999993;61,5;41;ComDragagem2030
BERÇO ARM 19;1993,3300000000004;58,08;41;ComDragagem2030
BERÇO ARM 20/21;2001,0499999999997;55,3;39;ComDragagem2030
BERÇO ARM 22/23;1246,3099999999997;18,44;17;ComDragagem2030
BERÇO ARM 23;1185,3399999999997;16,0;16;ComDragagem2030
BERÇO ARM 29;2079,2700000000004;29,32;22;ComDragagem2030
BERÇO ARM 30;2051,34;14,4;15;ComDragagem2030
BERÇO ARM 31;2008,0699999999997;28,75;23;ComDragagem2030
BERÇO ARM 32;99,40999999999985;2,5;2;ComDragagem2030
BERÇO ARM 35P1;1129,5800000000004;12,829999999999998;11;ComDragagem2030
BERÇO ARM 35P2;909,9400000000003;11,25;9;ComDragagem2030
BERÇO ARM 37;1986,56;36,870000000000005;34;ComDragagem2030
BERÇO ARM 38;2036,8400000000001;17,3;16;ComDragagem2030
BERÇO ARM 39;1195,2;23,8;22;ComDragagem2030
BERÇO Ageo I;1357,31;36,93;23;ComDragagem2030
BERÇO BTP 1;1912,1400000000012;56,78;82;ComDragagem2030
BERÇO BTP 2;1911,42;49,5;79;ComDragagem2030
BERÇO BTP 3;1925,59;47,690000000000005;71;ComDragagem2030
BERÇO CUTRALE;1801,0700000000002;22,73;21;ComDragagem2030
BERÇO DOW;253,98999999999995;7,5;10;ComDragagem2030
BERÇO DPW 1;1985,330000000001;32,08;85;ComDragagem2030
BERÇO DPW 2;1994,45;29,95;77;ComDragagem2030
BERÇO DPW 3;1745,1200000000013;126,62;80;ComDragagem2030
BERÇO DPW 4;1206,1800000000003;26,92;17;ComDragagem2030
BERÇO IB BC;1010,7499999999999;25,75;17;ComDragagem2030
BERÇO IB OE;285,41;8,42;5;ComDragagem2030
BERÇO IB SP;771,48;22,52;14;ComDragagem2030
BERÇO OUT 1;12,329999999999927;1,34;1;ComDragagem2030
BERÇO OUT 2;429,52000000000044;9,32;7;ComDragagem2030
BERÇO OUT 3;65,42;1,33;1;ComDragagem2030
BERÇO SAIPEM 1;720,3900000000001;15,620000000000001;17;ComDragagem2030
BERÇO SAIPEM 2;561,3899999999999;10,1;11;ComDragagem2030
BERÇO SAIPEM 3;248,83999999999995;5,49;6;ComDragagem2030
BERÇO TEAG;2055,1;25,639999999999997;22;ComDragagem2030
BERÇO TECON 1.1;1718,4999999999995;53,83;72;ComDragagem2030
BERÇO TECON 1.2;1677,4300000000003;53,83;70;ComDragagem2030
BERÇO TECON 2;1962,8399999999997;26,33;78;ComDragagem2030
BERÇO TECON 3;1858,8499999999995;28,84;71;ComDragagem2030
BERÇO TEG;1981,76;27,979999999999997;24;ComDragagem2030
BERÇO TERMAG;1889,92;15,809999999999999;19;ComDragagem2030
BERÇO TEV;1665,3100000000004;85,27000000000001;64;ComDragagem2030
BERÇO TGG;1731,85;44,32;38;ComDragagem2030
BERÇO TIPLAM 1;1506,0300000000002;46,65;20;ComDragagem2030
BERÇO TIPLAM 2;1993,5100000000002;74,41;29;ComDragagem2030
BERÇO TIPLAM 3;1933,5999999999997;74,88;29;ComDragagem2030
BERÇO TIPLAM 4;1680,19;35,39;17;ComDragagem2030
BERÇO TRSP;1056,6000000000004;26,83;14;ComDragagem2030
BERÇO USIMINAS 1;748,6700000000001;13,84;6;ComDragagem2030
BERÇO USIMINAS 2;548,24;12,08;5;ComDragagem2030
BERÇO USIMINAS 3;95,92000000000007;2,41;1;ComDragagem2030
