SCENARIO_ID;N_VESSELS;MONTH;HOURS
ComDragagem2030;0;2025-08;84.42
ComDragagem2030;1;2025-08;159.92
ComDragagem2030;2;2025-08;198.08
ComDragagem2030;3;2025-08;157.08
ComDragagem2030;4;2025-08;84.42
ComDragagem2030;5;2025-08;39.33
ComDragagem2030;5+;2025-08;20.75
ComDragagem2030;0;2025-09;78.58
ComDragagem2030;1;2025-09;171.5
ComDragagem2030;2;2025-09;210.5
ComDragagem2030;3;2025-09;149.17
ComDragagem2030;4;2025-09;68.58
ComDragagem2030;5;2025-09;26.58
ComDragagem2030;5+;2025-09;15.08
ComDragagem2030;0;2025-10;62.42
ComDragagem2030;1;2025-10;180.42
ComDragagem2030;2;2025-10;191.5
ComDragagem2030;3;2025-10;137.08
ComDragagem2030;4;2025-10;77.42
ComDragagem2030;5;2025-10;34.42
ComDragagem2030;5+;2025-10;12.75
