Day;arrivals;attended;saldo_dia;queue;SCENARIO_ID
1;27;23,0;4,0;4,0;ComDragagem2030
2;23;15,0;8,0;12,0;ComDragagem2030
3;20;9,0;11,0;23,0;ComDragagem2030
4;30;27,0;3,0;26,0;ComDragagem2030
5;28;14,0;14,0;40,0;ComDragagem2030
6;32;22,0;10,0;50,0;ComDragagem2030
7;29;22,0;7,0;57,0;ComDragagem2030
8;27;17,0;10,0;67,0;ComDragagem2030
9;24;20,0;4,0;71,0;ComDragagem2030
10;22;17,0;5,0;76,0;ComDragagem2030
11;28;26,0;2,0;78,0;ComDragagem2030
12;29;24,0;5,0;83,0;ComDragagem2030
13;30;20,0;10,0;93,0;ComDragagem2030
14;30;21,0;9,0;102,0;ComDragagem2030
15;28;21,0;7,0;109,0;ComDragagem2030
16;23;19,0;4,0;113,0;ComDragagem2030
17;23;22,0;1,0;114,0;ComDragagem2030
18;29;20,0;9,0;123,0;ComDragagem2030
19;27;22,0;5,0;128,0;ComDragagem2030
20;30;26,0;4,0;132,0;ComDragagem2030
21;31;17,0;14,0;146,0;ComDragagem2030
22;27;21,0;6,0;152,0;ComDragagem2030
23;22;21,0;1,0;153,0;ComDragagem2030
24;22;15,0;7,0;160,0;ComDragagem2030
25;30;22,0;8,0;168,0;ComDragagem2030
26;29;20,0;9,0;177,0;ComDragagem2030
27;30;22,0;8,0;185,0;ComDragagem2030
28;28;19,0;9,0;194,0;ComDragagem2030
29;27;19,0;8,0;202,0;ComDragagem2030
30;24;18,0;6,0;208,0;ComDragagem2030
31;21;17,0;4,0;212,0;ComDragagem2030
32;21;18,0;3,0;215,0;ComDragagem2030
33;13;18,0;-5,0;210,0;ComDragagem2030
34;19;23,0;-4,0;206,0;ComDragagem2030
35;24;17,0;7,0;213,0;ComDragagem2030
36;19;20,0;-1,0;212,0;ComDragagem2030
37;22;18,0;4,0;216,0;ComDragagem2030
38;17;18,0;-1,0;215,0;ComDragagem2030
39;21;20,0;1,0;216,0;ComDragagem2030
40;13;19,0;-6,0;210,0;ComDragagem2030
41;18;14,0;4,0;214,0;ComDragagem2030
42;24;21,0;3,0;217,0;ComDragagem2030
43;19;16,0;3,0;220,0;ComDragagem2030
44;22;21,0;1,0;221,0;ComDragagem2030
45;17;13,0;4,0;225,0;ComDragagem2030
46;21;21,0;0,0;225,0;ComDragagem2030
47;12;8,0;4,0;229,0;ComDragagem2030
48;18;1,0;17,0;246,0;ComDragagem2030
49;24;30,0;-6,0;240,0;ComDragagem2030
50;19;16,0;3,0;243,0;ComDragagem2030
51;22;14,0;8,0;251,0;ComDragagem2030
52;16;17,0;-1,0;250,0;ComDragagem2030
53;22;21,0;1,0;251,0;ComDragagem2030
54;12;17,0;-5,0;246,0;ComDragagem2030
55;20;19,0;1,0;247,0;ComDragagem2030
56;23;20,0;3,0;250,0;ComDragagem2030
57;19;19,0;0,0;250,0;ComDragagem2030
58;23;21,0;2,0;252,0;ComDragagem2030
59;17;20,0;-3,0;249,0;ComDragagem2030
60;21;20,0;1,0;250,0;ComDragagem2030
61;14;19,0;-5,0;245,0;ComDragagem2030
62;12;17,0;-5,0;240,0;ComDragagem2030
63;15;21,0;-6,0;234,0;ComDragagem2030
64;22;17,0;5,0;239,0;ComDragagem2030
65;23;14,0;9,0;248,0;ComDragagem2030
66;24;19,0;5,0;253,0;ComDragagem2030
67;26;22,0;4,0;257,0;ComDragagem2030
68;19;19,0;0,0;257,0;ComDragagem2030
69;12;14,0;-2,0;255,0;ComDragagem2030
70;15;19,0;-4,0;251,0;ComDragagem2030
71;21;16,0;5,0;256,0;ComDragagem2030
72;22;16,0;6,0;262,0;ComDragagem2030
73;24;18,0;6,0;268,0;ComDragagem2030
74;26;30,0;-4,0;264,0;ComDragagem2030
75;20;15,0;5,0;269,0;ComDragagem2030
76;12;22,0;-10,0;259,0;ComDragagem2030
77;14;14,0;0,0;259,0;ComDragagem2030
78;20;16,0;4,0;263,0;ComDragagem2030
79;24;19,0;5,0;268,0;ComDragagem2030
80;23;14,0;9,0;277,0;ComDragagem2030
81;26;26,0;0,0;277,0;ComDragagem2030
82;19;19,0;0,0;277,0;ComDragagem2030
83;12;16,0;-4,0;273,0;ComDragagem2030
84;14;18,0;-4,0;269,0;ComDragagem2030
85;20;14,0;6,0;275,0;ComDragagem2030
86;22;19,0;3,0;278,0;ComDragagem2030
87;24;21,0;3,0;281,0;ComDragagem2030
88;26;26,0;0,0;281,0;ComDragagem2030
89;21;18,0;3,0;284,0;ComDragagem2030
90;13;19,0;-6,0;278,0;ComDragagem2030
91;15;0,0;15,0;293,0;ComDragagem2030
92;21;0,0;21,0;314,0;ComDragagem2030
