Day;MARKET_CATEGORY;arrivals;attended;saldo_dia;queue;SCENARIO_ID
1;CGC;8,0;8,0;0,0;0,0;ComDragagem2030
2;CGC;6,0;6,0;0,0;0,0;ComDragagem2030
3;CGC;11,0;6,0;5,0;5,0;ComDragagem2030
4;CGC;8,0;8,0;0,0;5,0;ComDragagem2030
5;CGC;9,0;8,0;1,0;6,0;ComDragagem2030
6;CGC;9,0;7,0;2,0;8,0;ComDragagem2030
7;CGC;10,0;9,0;1,0;9,0;ComDragagem2030
8;CGC;11,0;7,0;4,0;13,0;ComDragagem2030
9;CGC;7,0;8,0;-1,0;12,0;ComDragagem2030
10;CGC;8,0;7,0;1,0;13,0;ComDragagem2030
11;CGC;5,0;9,0;-4,0;9,0;ComDragagem2030
12;CGC;9,0;9,0;0,0;9,0;ComDragagem2030
13;CGC;9,0;11,0;-2,0;7,0;ComDragagem2030
14;CGC;10,0;8,0;2,0;9,0;ComDragagem2030
15;CGC;10,0;7,0;3,0;12,0;ComDragagem2030
16;CGC;8,0;7,0;1,0;13,0;ComDragagem2030
17;CGC;10,0;8,0;2,0;15,0;ComDragagem2030
18;CGC;7,0;12,0;-5,0;10,0;ComDragagem2030
19;CGC;8,0;8,0;0,0;10,0;ComDragagem2030
20;CGC;10,0;10,0;0,0;10,0;ComDragagem2030
21;CGC;11,0;8,0;3,0;13,0;ComDragagem2030
22;CGC;9,0;9,0;0,0;13,0;ComDragagem2030
23;CGC;5,0;9,0;-4,0;9,0;ComDragagem2030
24;CGC;12,0;6,0;6,0;15,0;ComDragagem2030
25;CGC;6,0;9,0;-3,0;12,0;ComDragagem2030
26;CGC;8,0;10,0;-2,0;10,0;ComDragagem2030
27;CGC;9,0;7,0;2,0;12,0;ComDragagem2030
28;CGC;11,0;6,0;5,0;17,0;ComDragagem2030
29;CGC;10,0;10,0;0,0;17,0;ComDragagem2030
30;CGC;6,0;8,0;-2,0;15,0;ComDragagem2030
31;CGC;9,0;6,0;3,0;18,0;ComDragagem2030
32;CGC;8,0;9,0;-1,0;17,0;ComDragagem2030
33;CGC;4,0;9,0;-5,0;12,0;ComDragagem2030
34;CGC;7,0;6,0;1,0;13,0;ComDragagem2030
35;CGC;14,0;8,0;6,0;19,0;ComDragagem2030
36;CGC;6,0;10,0;-4,0;15,0;ComDragagem2030
37;CGC;10,0;8,0;2,0;17,0;ComDragagem2030
38;CGC;7,0;8,0;-1,0;16,0;ComDragagem2030
39;CGC;8,0;9,0;-1,0;15,0;ComDragagem2030
40;CGC;6,0;7,0;-1,0;14,0;ComDragagem2030
41;CGC;9,0;5,0;4,0;18,0;ComDragagem2030
42;CGC;12,0;8,0;4,0;22,0;ComDragagem2030
43;CGC;9,0;8,0;1,0;23,0;ComDragagem2030
44;CGC;8,0;7,0;1,0;24,0;ComDragagem2030
45;CGC;7,0;9,0;-2,0;22,0;ComDragagem2030
46;CGC;7,0;9,0;-2,0;20,0;ComDragagem2030
47;CGC;4,0;3,0;1,0;21,0;ComDragagem2030
48;CGC;9,0;1,0;8,0;29,0;ComDragagem2030
49;CGC;15,0;9,0;6,0;35,0;ComDragagem2030
50;CGC;6,0;9,0;-3,0;32,0;ComDragagem2030
51;CGC;9,0;8,0;1,0;33,0;ComDragagem2030
52;CGC;6,0;9,0;-3,0;30,0;ComDragagem2030
53;CGC;7,0;9,0;-2,0;28,0;ComDragagem2030
54;CGC;3,0;9,0;-6,0;22,0;ComDragagem2030
55;CGC;8,0;9,0;-1,0;21,0;ComDragagem2030
56;CGC;12,0;10,0;2,0;23,0;ComDragagem2030
57;CGC;8,0;8,0;0,0;23,0;ComDragagem2030
58;CGC;9,0;9,0;0,0;23,0;ComDragagem2030
59;CGC;7,0;11,0;-4,0;19,0;ComDragagem2030
60;CGC;7,0;7,0;0,0;19,0;ComDragagem2030
61;CGC;4,0;9,0;-5,0;14,0;ComDragagem2030
62;CGC;6,0;7,0;-1,0;13,0;ComDragagem2030
63;CGC;5,0;9,0;-4,0;9,0;ComDragagem2030
64;CGC;10,0;7,0;3,0;12,0;ComDragagem2030
