SCENARIO_ID;ARRIVAL_ID;BEAM;LENGTH;DRAFT;IS_NEW_PANAMAX;IS_PASSENGER;IS_RORO;ARRIVAL_D;ARRIVAL_H;METOCEAN_QUEUE_TIME;BERTH_QUEUE_TIME;CHANNEL_QUEUE_TIME;TOTAL_QUEUE_TIME;TERMINAL;MARKET_CATEGORY;BERTH_ID;BERTH;IN_SEG1_ARR_D;IN_SEG1_ARR_H;IN_SEG1_DP_D;IN_SEG1_DP_H;IN_SEG2_ARR_D;IN_SEG2_ARR_H;IN_SEG2_DP_D;IN_SEG2_DP_H;IN_SEG3_ARR_D;IN_SEG3_ARR_H;IN_SEG3_DP_D;IN_SEG3_DP_H;IN_SEG4_ARR_D;IN_SEG4_ARR_H;IN_SEG4_DP_D;IN_SEG4_DP_H;IN_SEG5_ARR_D;IN_SEG5_ARR_H;IN_SEG5_DP_D;IN_SEG5_DP_H;IN_SEG6_ARR_D;IN_SEG6_ARR_H;IN_SEG6_DP_D;IN_SEG6_DP_H;IN_SEG7_ARR_D;IN_SEG7_ARR_H;IN_SEG7_DP_D;IN_SEG7_DP_H;IN_SEG8_ARR_D;IN_SEG8_ARR_H;IN_SEG8_DP_D;IN_SEG8_DP_H;IN_SEG9_ARR_D;IN_SEG9_ARR_H;IN_SEG9_DP_D;IN_SEG9_DP_H;IN_SEG10_ARR_D;IN_SEG10_ARR_H;IN_SEG10_DP_D;IN_SEG10_DP_H;IN_SEG11_ARR_D;IN_SEG11_ARR_H;IN_SEG11_DP_D;IN_SEG11_DP_H;IN_SEG12_ARR_D;IN_SEG12_ARR_H;IN_SEG12_DP_D;IN_SEG12_DP_H;IN_SEG13_ARR_D;IN_SEG13_ARR_H;IN_SEG13_DP_D;IN_SEG13_DP_H;IN_SEG14_ARR_D;IN_SEG14_ARR_H;IN_SEG14_DP_D;IN_SEG14_DP_H;IN_SEG15_ARR_D;IN_SEG15_ARR_H;IN_SEG15_DP_D;IN_SEG15_DP_H;IN_SEG16_ARR_D;IN_SEG16_ARR_H;IN_SEG16_DP_D;IN_SEG16_DP_H;IN_SEG17_ARR_D;IN_SEG17_ARR_H;IN_SEG17_DP_D;IN_SEG17_DP_H;BERTH_ARR_D;BERTH_ARR_H;OPERATION_START_D;OPERATION_START_H;OPERATION_END_D;OPERATION_END_H;BERTH_DP_D;BERTH_DP_H;OUT_SEG17_ARR_D;OUT_SEG17_ARR_H;OUT_SEG17_DP_D;OUT_SEG17_DP_H;OUT_SEG16_ARR_D;OUT_SEG16_ARR_H;OUT_SEG16_DP_D;OUT_SEG16_DP_H;OUT_SEG15_ARR_D;OUT_SEG15_ARR_H;OUT_SEG15_DP_D;OUT_SEG15_DP_H;OUT_SEG14_ARR_D;OUT_SEG14_ARR_H;OUT_SEG14_DP_D;OUT_SEG14_DP_H;OUT_SEG13_ARR_D;OUT_SEG13_ARR_H;OUT_SEG13_DP_D;OUT_SEG13_DP_H;OUT_SEG12_ARR_D;OUT_SEG12_ARR_H;OUT_SEG12_DP_D;OUT_SEG12_DP_H;OUT_SEG11_ARR_D;OUT_SEG11_ARR_H;OUT_SEG11_DP_D;OUT_SEG11_DP_H;OUT_SEG10_ARR_D;OUT_SEG10_ARR_H;OUT_SEG10_DP_D;OUT_SEG10_DP_H;OUT_SEG9_ARR_D;OUT_SEG9_ARR_H;OUT_SEG9_DP_D;OUT_SEG9_DP_H;OUT_SEG8_ARR_D;OUT_SEG8_ARR_H;OUT_SEG8_DP_D;OUT_SEG8_DP_H;OUT_SEG7_ARR_D;OUT_SEG7_ARR_H;OUT_SEG7_DP_D;OUT_SEG7_DP_H;OUT_SEG6_ARR_D;OUT_SEG6_ARR_H;OUT_SEG6_DP_D;OUT_SEG6_DP_H;OUT_SEG5_ARR_D;OUT_SEG5_ARR_H;OUT_SEG5_DP_D;OUT_SEG5_DP_H;OUT_SEG4_ARR_D;OUT_SEG4_ARR_H;OUT_SEG4_DP_D;OUT_SEG4_DP_H;OUT_SEG3_ARR_D;OUT_SEG3_ARR_H;OUT_SEG3_DP_D;OUT_SEG3_DP_H;OUT_SEG2_ARR_D;OUT_SEG2_ARR_H;OUT_SEG2_DP_D;OUT_SEG2_DP_H;OUT_SEG1_ARR_D;OUT_SEG1_ARR_H;OUT_SEG1_DP_D;OUT_SEG1_DP_H;NON_PRODUCTIVE_TIME_SPENT
ComDragagem2030;3797;23.0;225.0;0.0;0;0;0;1;14:34;0.0;0.0;2.42;2.42;ADM;GSA - E;30;BERÇO ARM 39;1;17:00;1;17:20;1;17:20;1;17:25;1;17:25;1;17:30;1;17:30;1;18:05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;18:05;1;21:00;4;00:10;4;04:35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;04:35;4;04:45;4;04:45;4;04:50;4;04:50;4;04:55;4;04:55;4;05:15;
ComDragagem2030;3798;23.0;185.0;10.25;0;0;0;1;13:36;0.0;0.0;4.75;4.75;AGEO_TERMINAIS;GL;1;BERÇO Ageo I;1;18:25;1;18:45;1;18:45;1;18:50;1;18:50;1;18:55;1;18:55;1;19:00;1;19:00;1;19:05;1;19:05;1;19:10;1;19:10;1;19:15;1;19:15;1;19:20;1;19:20;1;19:25;1;19:25;1;19:30;1;19:30;1;19:35;1;19:35;1;19:50;;;;;;;;;;;;;;;;;;;;;1;19:50;1;20:13;4;12:40;4;13:30;;;;;;;;;;;;;;;;;;;;;4;13:30;4;14:00;4;14:00;4;14:05;4;14:05;4;14:10;4;14:10;4;14:15;4;14:15;4;14:20;4;14:20;4;14:25;4;14:25;4;14:30;4;14:30;4;14:35;4;14:35;4;14:40;4;14:40;4;14:45;4;14:45;4;14:50;4;14:50;4;15:10;
ComDragagem2030;3799;23.0;215.0;9.25;0;0;0;1;12:35;0.0;0.0;5.58;5.58;BTP;CGC;32;BERÇO BTP 1;1;18:10;1;18:30;1;18:30;1;18:35;1;18:35;1;18:40;1;18:40;1;18:45;1;18:45;1;18:50;1;18:50;1;18:55;1;18:55;1;19:00;1;19:00;1;19:05;1;19:05;1;19:10;1;19:10;1;19:15;1;19:15;1;19:20;1;19:20;1;19:25;1;19:25;1;20:00;;;;;;;;;;;;;;;;;1;20:00;1;20:47;2;10:40;2;12:00;;;;;;;;;;;;;;;;;2;12:00;2;12:30;2;12:30;2;12:35;2;12:35;2;12:40;2;12:40;2;12:45;2;12:45;2;12:50;2;12:50;2;12:55;2;12:55;2;13:00;2;13:00;2;13:05;2;13:05;2;13:10;2;13:10;2;13:15;2;13:15;2;13:20;2;13:20;2;13:25;2;13:25;2;13:45;
ComDragagem2030;3800;23.0;295.0;13.25;0;0;0;1;12:37;0.33;0.0;0.17;0.5;BTP;CGC;33;BERÇO BTP 2;1;13:10;1;13:30;1;13:30;1;13:35;1;13:35;1;13:40;1;13:40;1;13:45;1;13:45;1;13:50;1;13:50;1;13:55;1;13:55;1;14:00;1;14:00;1;14:05;1;14:05;1;14:10;1;14:10;1;14:15;1;14:15;1;14:20;1;14:20;1;14:25;1;14:25;1;15:00;;;;;;;;;;;;;;;;;1;15:00;1;16:50;2;13:30;2;15:25;;;;;;;;;;;;;;;;;2;15:25;2;15:55;2;15:55;2;16:00;2;16:00;2;16:05;2;16:05;2;16:10;2;16:10;2;16:15;2;16:15;2;16:20;2;16:20;2;16:25;2;16:25;2;16:30;2;16:30;2;16:35;2;16:35;2;16:40;2;16:40;2;16:45;2;16:45;2;16:50;2;16:50;2;17:10;
ComDragagem2030;3801;23.0;295.0;13.25;0;0;0;1;12:35;0.58;0.0;2.08;2.67;BTP;CGC;34;BERÇO BTP 3;1;15:15;1;15:35;1;15:35;1;15:40;1;15:40;1;15:45;1;15:45;1;15:50;1;15:50;1;15:55;1;15:55;1;16:00;1;16:00;1;16:05;1;16:05;1;16:10;1;16:10;1;16:15;1;16:15;1;16:20;1;16:20;1;16:25;1;16:25;1;16:30;1;16:30;1;17:05;;;;;;;;;;;;;;;;;1;17:05;1;19:41;2;16:25;2;22:05;;;;;;;;;;;;;;;;;2;22:05;2;22:35;2;22:35;2;22:40;2;22:40;2;22:45;2;22:45;2;22:50;2;22:50;2;22:55;2;22:55;2;23:00;2;23:00;2;23:05;2;23:05;2;23:10;2;23:10;2;23:15;2;23:15;2;23:20;2;23:20;2;23:25;2;23:25;2;23:30;2;23:30;2;23:50;
ComDragagem2030;3802;23.0;205.0;0.0;0;0;0;1;10:35;0.0;0.0;0.0;0.0;CITROSUCO;GL;18;BERÇO ARM 29;1;10:35;1;10:55;1;10:55;1;11:00;1;11:00;1;11:05;1;11:05;1;11:10;1;11:10;1;11:15;1;11:15;1;11:20;1;11:20;1;11:55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;11:55;1;11:58;4;17:10;4;17:55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;17:55;4;18:05;4;18:05;4;18:10;4;18:10;4;18:15;4;18:15;4;18:20;4;18:20;4;18:25;4;18:25;4;18:30;4;18:30;4;18:50;
ComDragagem2030;3803;23.0;225.0;0.0;0;0;0;1;15:41;0.0;0.0;0.58;0.58;COFCO;GSA - E;10;BERÇO ARM 13/14;1;16:20;1;16:40;1;16:40;1;16:45;1;16:45;1;16:50;1;16:50;1;16:55;1;16:55;1;17:00;1;17:00;1;17:05;1;17:05;1;17:10;1;17:10;1;17:15;1;17:15;1;17:50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;17:50;1;21:35;4;18:35;4;19:20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;19:20;4;19:30;4;19:30;4;19:35;4;19:35;4;19:40;4;19:40;4;19:45;4;19:45;4;19:50;4;19:50;4;19:55;4;19:55;4;20:00;4;20:00;4;20:05;4;20:05;4;20:25;
ComDragagem2030;3804;23.0;195.0;0.0;0;0;0;1;13:42;0.0;0.0;6.5;6.5;COPESUCAR;GSA - E;14;BERÇO ARM 20/21;1;20:15;1;20:35;1;20:35;1;20:40;1;20:40;1;20:45;1;20:45;1;20:50;1;20:50;1;20:55;1;20:55;1;21:00;1;21:00;1;21:05;1;21:05;1;21:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;21:40;1;23:49;3;15:20;3;16:10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;16:10;3;16:20;3;16:20;3;16:25;3;16:25;3;16:30;3;16:30;3;16:35;3;16:35;3;16:40;3;16:40;3;16:45;3;16:45;3;16:50;3;16:50;3;17:10;
ComDragagem2030;3805;23.0;225.0;0.0;0;0;0;1;16:52;8.25;35.58;4.5;48.33;COPESUCAR;GSA - E;14;BERÇO ARM 20/21;3;17:15;3;17:35;3;17:35;3;17:40;3;17:40;3;17:45;3;17:45;3;17:50;3;17:50;3;17:55;3;17:55;3;18:00;3;18:00;3;18:05;3;18:05;3;18:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;18:40;3;21:22;6;08:15;6;12:20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;12:20;6;12:30;6;12:30;6;12:35;6;12:35;6;12:40;6;12:40;6;12:45;6;12:45;6;12:50;6;12:50;6;12:55;6;12:55;6;13:00;6;13:00;6;13:20;
ComDragagem2030;3806;23.0;215.0;10.25;0;0;0;1;15:41;0.0;0.0;3.58;3.58;DPW - CGC;CGC;42;BERÇO DPW 1;1;19:20;1;19:40;1;19:40;1;19:45;1;19:45;1;19:50;1;19:50;1;19:55;1;19:55;1;20:00;1;20:00;1;20:05;1;20:05;1;20:10;1;20:10;1;20:15;1;20:15;1;20:20;1;20:20;1;20:25;1;20:25;1;20:40;;;;;;;;;;;;;;;;;;;;;;;;;1;20:40;2;00:14;2;13:40;2;15:15;;;;;;;;;;;;;;;;;;;;;;;;;2;15:15;2;15:45;2;15:45;2;15:50;2;15:50;2;15:55;2;15:55;2;16:00;2;16:00;2;16:05;2;16:05;2;16:10;2;16:10;2;16:15;2;16:15;2;16:20;2;16:20;2;16:25;2;16:25;2;16:30;2;16:30;2;16:50;
