SCENARIO_ID;SEGMENT_ID;MONTH;HOURS_0_VESSELS;HOURS_1_VESSEL;HOURS_2_VESSELS;HOURS_3_VESSELS;HOURS_4_VESSELS;HOURS_5_VESSELS;HOURS_5PLUS_VESSELS
ComDragagem2030;1;2025-08;380.58;327.58;35.83;0.0;0.0;0.0;0.0
ComDragagem2030;1;2025-09;387.25;304.92;27.83;0.0;0.0;0.0;0.0
ComDragagem2030;1;2025-10;367.33;298.33;30.33;0.0;0.0;0.0;0.0
ComDragagem2030;2;2025-08;634.17;107.25;2.58;0.0;0.0;0.0;0.0
ComDragagem2030;2;2025-09;627.08;90.5;2.42;0.0;0.0;0.0;0.0
ComDragagem2030;2;2025-10;605.0;89.58;1.42;0.0;0.0;0.0;0.0
ComDragagem2030;3;2025-08;647.83;96.17;0.0;0.0;0.0;0.0;0.0
ComDragagem2030;3;2025-09;631.5;88.5;0.0;0.0;0.0;0.0;0.0
ComDragagem2030;3;2025-10;607.33;88.67;0.0;0.0;0.0;0.0;0.0
ComDragagem2030;4;2025-08;627.67;116.33;0.0;0.0;0.0;0.0;0.0
ComDragagem2030;4;2025-09;611.17;108.83;0.0;0.0;0.0;0.0;0.0
ComDragagem2030;4;2025-10;588.08;107.92;0.0;0.0;0.0;0.0;0.0
ComDragagem2030;5;2025-08;629.67;114.33;0.0;0.0;0.0;0.0;0.0
ComDragagem2030;5;2025-09;615.67;104.33;0.0;0.0;0.0;0.0;0.0
ComDragagem2030;5;2025-10;592.42;103.58;0.0;0.0;0.0;0.0;0.0
ComDragagem2030;6;2025-08;584.42;143.42;16.17;0.0;0.0;0.0;0.0
ComDragagem2030;6;2025-09;575.17;127.58;17.25;0.0;0.0;0.0;0.0
ComDragagem2030;6;2025-10;548.33;133.17;14.5;0.0;0.0;0.0;0.0
ComDragagem2030;7;2025-08;649.25;92.42;2.33;0.0;0.0;0.0;0.0
ComDragagem2030;7;2025-09;634.25;83.75;2.0;0.0;0.0;0.0;0.0
ComDragagem2030;7;2025-10;610.33;83.17;2.5;0.0;0.0;0.0;0.0
ComDragagem2030;8;2025-08;663.67;80.0;0.33;0.0;0.0;0.0;0.0
ComDragagem2030;8;2025-09;649.25;70.17;0.58;0.0;0.0;0.0;0.0
ComDragagem2030;8;2025-10;622.75;72.67;0.58;0.0;0.0;0.0;0.0
ComDragagem2030;9;2025-08;672.25;70.75;1.0;0.0;0.0;0.0;0.0
ComDragagem2030;9;2025-09;655.08;64.0;0.92;0.0;0.0;0.0;0.0
ComDragagem2030;9;2025-10;630.5;64.5;1.0;0.0;0.0;0.0;0.0
ComDragagem2030;10;2025-08;676.92;67.08;0.0;0.0;0.0;0.0;0.0
ComDragagem2030;10;2025-09;655.08;64.92;0.0;0.0;0.0;0.0;0.0
ComDragagem2030;10;2025-10;632.67;63.33;0.0;0.0;0.0;0.0;0.0
ComDragagem2030;11;2025-08;669.67;64.0;10.33;0.0;0.0;0.0;0.0
ComDragagem2030;11;2025-09;649.92;61.0;9.08;0.0;0.0;0.0;0.0
ComDragagem2030;11;2025-10;627.0;59.75;9.25;0.0;0.0;0.0;0.0
ComDragagem2030;12;2025-08;695.33;48.67;0.0;0.0;0.0;0.0;0.0
ComDragagem2030;12;2025-09;680.25;39.75;0.0;0.0;0.0;0.0;0.0
ComDragagem2030;12;2025-10;654.33;41.67;0.0;0.0;0.0;0.0;0.0
ComDragagem2030;13;2025-08;652.58;82.0;9.42;0.0;0.0;0.0;0.0
ComDragagem2030;13;2025-09;633.67;74.67;11.67;0.0;0.0;0.0;0.0
ComDragagem2030;13;2025-10;610.33;72.42;13.25;0.0;0.0;0.0;0.0
ComDragagem2030;14;2025-08;697.5;46.5;0.0;0.0;0.0;0.0;0.0
ComDragagem2030;14;2025-09;676.42;43.58;0.0;0.0;0.0;0.0;0.0
ComDragagem2030;14;2025-10;650.75;45.25;0.0;0.0;0.0;0.0;0.0
ComDragagem2030;15;2025-08;720.33;23.17;0.5;0.0;0.0;0.0;0.0
ComDragagem2030;15;2025-09;705.0;14.42;0.58;0.0;0.0;0.0;0.0
ComDragagem2030;15;2025-10;680.08;15.83;0.08;0.0;0.0;0.0;0.0
ComDragagem2030;16;2025-08;721.08;22.83;0.08;0.0;0.0;0.0;0.0
ComDragagem2030;16;2025-09;694.75;25.17;0.08;0.0;0.0;0.0;0.0
ComDragagem2030;16;2025-10;674.5;21.33;0.17;0.0;0.0;0.0;0.0
ComDragagem2030;17;2025-08;712.25;31.58;0.17;0.0;0.0;0.0;0.0
ComDragagem2030;17;2025-09;687.25;31.92;0.83;0.0;0.0;0.0;0.0
ComDragagem2030;17;2025-10;667.0;28.58;0.42;0.0;0.0;0.0;0.0
