SCENARIO_ID;ARRIVAL_ID;LOA;BEAM;DRAFT;TERMINAL_ID;TERMINAL_MARKET_CATEGORY;BERTH;CATEGORY;DETAILED_CATEGORY;PROCESS_TIME
ComDragagem2030;3797;225.0;23.0;0.0;9;GSA - E;BERÇO ARM 39;CARGO;N/A;3290
ComDragagem2030;3798;185.0;23.0;10.25;11;GL;BERÇO Ageo I;CARGO;N/A;3935
ComDragagem2030;3799;215.0;23.0;9.25;13;CGC;BERÇO BTP 1;CARGO;N/A;925
ComDragagem2030;3800;295.0;23.0;13.25;13;CGC;BERÇO BTP 2;CARGO;N/A;1395
ComDragagem2030;3801;295.0;23.0;13.25;13;CGC;BERÇO BTP 3;CARGO;N/A;1445
ComDragagem2030;3802;205.0;23.0;0.0;15;GL;BERÇO ARM 29;CARGO;N/A;4680
ComDragagem2030;3803;225.0;23.0;0.0;16;GSA - E;BERÇO ARM 13/14;CARGO;N/A;4410
ComDragagem2030;3804;195.0;23.0;0.0;17;GSA - E;BERÇO ARM 20/21;CARGO;N/A;2545
ComDragagem2030;3805;225.0;23.0;0.0;17;GSA - E;BERÇO ARM 20/21;CARGO;N/A;3740
ComDragagem2030;3806;215.0;23.0;10.25;21;CGC;BERÇO DPW 1;CARGO;N/A;1065
ComDragagem2030;3807;265.0;23.0;11.75;21;CGC;BERÇO DPW 2;CARGO;N/A;1265
ComDragagem2030;3808;255.0;23.0;11.75;21;CGC;BERÇO DPW 3;CARGO;N/A;1220
ComDragagem2030;3809;165.0;23.0;0.0;24;GSA - E;BERÇO ARM 16/17;CARGO;N/A;1850
ComDragagem2030;3810;235.0;23.0;0.0;24;GSA - E;BERÇO ARM 19;CARGO;N/A;3410
ComDragagem2030;3811;195.0;23.0;11.25;27;GSM - I;BERÇO ARM 22/23;CARGO;N/A;4890
ComDragagem2030;3812;185.0;23.0;10.75;31;CGC;BERÇO TECON 1.1;CARGO;N/A;1135
