SCENARIO_ID;ARRIVAL_ID;MANEUVER_ID
ComDragagem20302;3995;139
ComDragagem20302;3996;2
ComDragagem20302;3997;64
ComDragagem20302;3998;67
ComDragagem20302;3999;66
ComDragagem20302;4000;40
ComDragagem20302;4001;19
ComDragagem20302;4002;17
ComDragagem20302;4003;27
ComDragagem20302;4004;84
ComDragagem20302;4005;87
ComDragagem20302;4006;85
ComDragagem20302;4007;41
ComDragagem20302;4008;23
ComDragagem20302;4009;25
ComDragagem20302;4010;103
ComDragagem20302;4011;105
ComDragagem20302;4012;107
ComDragagem20302;4013;8
ComDragagem20302;4014;111
ComDragagem20302;4015;115
ComDragagem20302;4016;115
ComDragagem20302;4017;123
ComDragagem20302;4018;121
ComDragagem20302;4019;3
ComDragagem20302;4020;5
ComDragagem20302;4021;10
ComDragagem20302;4022;56
ComDragagem20302;4023;53
ComDragagem20302;4024;145
ComDragagem20302;4025;66
ComDragagem20302;4026;64
ComDragagem20302;4027;17
ComDragagem20302;4028;19
ComDragagem20302;4029;27
ComDragagem20302;4030;87
ComDragagem20302;4031;85
ComDragagem20302;4032;89
ComDragagem20302;4033;25
ComDragagem20302;4034;23
ComDragagem20302;4035;30
ComDragagem20302;4036;103
ComDragagem20302;4037;109
ComDragagem20302;4038;101
ComDragagem20302;4039;58
ComDragagem20302;4040;58
ComDragagem20302;4041;141
ComDragagem20302;4042;121
ComDragagem20302;4043;5
ComDragagem20302;4044;56
ComDragagem20302;4045;161
ComDragagem20302;4046;139
ComDragagem20302;4047;2
ComDragagem20302;4048;67
ComDragagem20302;4049;64
ComDragagem20302;4050;66
ComDragagem20302;4051;35
ComDragagem20302;4052;19
ComDragagem20302;4053;87
ComDragagem20302;4054;85
ComDragagem20302;4055;84
ComDragagem20302;4056;84
ComDragagem20302;4057;32
ComDragagem20302;4058;30
ComDragagem20302;4059;107
ComDragagem20302;4060;181
ComDragagem20302;4061;109
ComDragagem20302;4062;109
ComDragagem20302;4063;111
ComDragagem20302;4064;143
ComDragagem20302;4065;126
ComDragagem20302;4066;56
ComDragagem20302;4067;163
ComDragagem20302;4068;3
ComDragagem20302;4069;91
ComDragagem20302;4070;64
ComDragagem20302;4071;35
ComDragagem20302;4072;17
ComDragagem20302;4073;27
ComDragagem20302;4074;27
ComDragagem20302;4075;27
ComDragagem20302;4076;85
ComDragagem20302;4077;87
ComDragagem20302;4078;41
ComDragagem20302;4079;25
ComDragagem20302;4080;23
ComDragagem20302;4081;94
ComDragagem20302;4082;32
ComDragagem20302;4083;41
ComDragagem20302;4084;107
ComDragagem20302;4085;107
ComDragagem20302;4086;181
ComDragagem20302;4087;101
ComDragagem20302;4088;114
ComDragagem20302;4089;115
ComDragagem20302;4090;117
ComDragagem20302;4091;123
ComDragagem20302;4092;5
ComDragagem20302;4093;3
ComDragagem20302;4094;9
ComDragagem20302;4095;7
ComDragagem20302;4096;95
ComDragagem20302;4097;97
ComDragagem20302;4098;165
ComDragagem20302;4099;167
ComDragagem20302;4100;60
ComDragagem20302;4101;66
ComDragagem20302;4102;67
ComDragagem20302;4103;64
ComDragagem20302;4104;17
ComDragagem20302;4105;19
ComDragagem20302;4106;27
ComDragagem20302;4107;27
ComDragagem20302;4108;82
ComDragagem20302;4109;85
ComDragagem20302;4110;85
ComDragagem20302;4111;25
ComDragagem20302;4112;25
ComDragagem20302;4113;23
ComDragagem20302;4114;105
ComDragagem20302;4115;103
ComDragagem20302;4116;109
ComDragagem20302;4117;107
ComDragagem20302;4118;101
ComDragagem20302;4119;115
ComDragagem20302;4120;117
ComDragagem20302;4121;121
ComDragagem20302;4122;123
ComDragagem20302;4123;120
ComDragagem20302;4124;5
ComDragagem20302;4125;56
ComDragagem20302;4126;56
ComDragagem20302;4127;99
ComDragagem20302;4128;161
ComDragagem20302;4129;167
ComDragagem20302;4130;170
ComDragagem20302;4131;153
ComDragagem20302;4132;92
ComDragagem20302;4133;145
ComDragagem20302;4134;67
ComDragagem20302;4135;66
ComDragagem20302;4136;35
ComDragagem20302;4137;17
ComDragagem20302;4139;82
ComDragagem20302;4140;84
ComDragagem20302;4141;84
ComDragagem20302;4142;84
ComDragagem20302;4143;85
ComDragagem20302;4144;84
ComDragagem20302;4145;85
ComDragagem20302;4146;87
ComDragagem20302;4147;23
ComDragagem20302;4148;32
ComDragagem20302;4149;109
ComDragagem20302;4150;101
ComDragagem20302;4151;111
ComDragagem20302;4152;58
ComDragagem20302;4153;58
ComDragagem20302;4154;115
ComDragagem20302;4155;117
ComDragagem20302;4156;121
ComDragagem20302;4157;126
ComDragagem20302;4158;3
ComDragagem20302;4159;56
ComDragagem20302;4160;99
ComDragagem20302;4161;97
ComDragagem20302;4162;163
ComDragagem20302;4163;170
ComDragagem20302;4164;2
ComDragagem20302;4165;64
ComDragagem20302;4166;67
ComDragagem20302;4167;66
ComDragagem20302;4168;67
ComDragagem20302;4169;40
ComDragagem20302;4170;19
