SCENARIO_ID;DAY;ENTER;EXIT
ComDragagem20302;1;27,00;0,00
ComDragagem20302;2;14,00;9,00
ComDragagem20302;3;12,00;12,00
ComDragagem20302;4;28,00;15,00
ComDragagem20302;5;19,00;14,00
ComDragagem20302;6;25,00;25,00
ComDragagem20302;7;21,00;26,00
ComDragagem20302;8;18,00;20,00
ComDragagem20302;9;20,00;15,00
ComDragagem20302;10;15,00;24,00
ComDragagem20302;11;25,00;18,00
ComDragagem20302;12;22,00;19,00
ComDragagem20302;13;20,00;26,00
ComDragagem20302;14;26,00;20,00
ComDragagem20302;15;17,00;16,00
ComDragagem20302;16;19,00;22,00
ComDragagem20302;17;24,00;28,00
ComDragagem20302;18;28,00;25,00
ComDragagem20302;19;20,00;17,00
ComDragagem20302;20;24,00;22,00
ComDragagem20302;21;24,00;25,00
ComDragagem20302;22;21,00;22,00
ComDragagem20302;23;22,00;26,00
ComDragagem20302;24;16,00;18,00
ComDragagem20302;25;25,00;21,00
ComDragagem20302;26;22,00;22,00
ComDragagem20302;27;21,00;19,00
ComDragagem20302;28;19,00;23,00
ComDragagem20302;29;24,00;23,00
ComDragagem20302;30;14,00;16,00
ComDragagem20302;31;19,00;20,00
ComDragagem20302;32;20,00;21,00
ComDragagem20302;33;20,00;20,00
ComDragagem20302;34;20,00;19,00
ComDragagem20302;35;20,00;21,00
ComDragagem20302;36;20,00;19,00
ComDragagem20302;37;21,00;20,00
ComDragagem20302;38;21,00;23,00
ComDragagem20302;39;18,00;17,00
ComDragagem20302;40;18,00;16,00
ComDragagem20302;41;19,00;22,00
ComDragagem20302;42;24,00;24,00
ComDragagem20302;43;19,00;20,00
ComDragagem20302;44;15,00;14,00
ComDragagem20302;45;17,00;21,00
ComDragagem20302;46;17,00;13,00
ComDragagem20302;47;11,00;13,00
ComDragagem20302;48;2,00;2,00
ComDragagem20302;49;0,00;29,00
ComDragagem20302;50;40,00;7,00
ComDragagem20302;51;16,00;18,00
ComDragagem20302;52;19,00;18,00
ComDragagem20302;53;21,00;22,00
ComDragagem20302;54;17,00;19,00
ComDragagem20302;55;25,00;19,00
ComDragagem20302;56;19,00;21,00
ComDragagem20302;57;22,00;21,00
ComDragagem20302;58;17,00;21,00
ComDragagem20302;59;19,00;20,00
ComDragagem20302;60;18,00;21,00
ComDragagem20302;61;16,00;15,00
ComDragagem20302;62;20,00;23,00
ComDragagem20302;63;15,00;13,00
ComDragagem20302;64;18,00;21,00
ComDragagem20302;65;14,00;15,00
ComDragagem20302;66;19,00;16,00
ComDragagem20302;67;27,00;17,00
ComDragagem20302;68;21,00;20,00
ComDragagem20302;69;14,00;16,00
ComDragagem20302;70;22,00;25,00
ComDragagem20302;71;16,00;20,00
ComDragagem20302;72;20,00;18,00
ComDragagem20302;73;15,00;20,00
ComDragagem20302;74;26,00;18,00
ComDragagem20302;75;23,00;20,00
ComDragagem20302;76;13,00;19,00
ComDragagem20302;77;22,00;20,00
ComDragagem20302;78;18,00;21,00
ComDragagem20302;79;18,00;18,00
ComDragagem20302;80;20,00;21,00
ComDragagem20302;81;25,00;19,00
ComDragagem20302;82;19,00;19,00
ComDragagem20302;83;17,00;19,00
ComDragagem20302;84;18,00;24,00
ComDragagem20302;85;17,00;19,00
ComDragagem20302;86;22,00;18,00
ComDragagem20302;87;19,00;19,00
ComDragagem20302;88;27,00;18,00
ComDragagem20302;89;22,00;20,00
ComDragagem20302;90;17,00;20,00
