VESSEL_BEAM;VESSEL_LOA;VESSEL_DRAFT;VESSEL_EXIT_DRAFT;DIRECTION;ARRIVAL_HOUR;ARRIVAL_MINUTE;ARRIVAL_WEEKDAY;ARRIVAL_WEEKDAY_NUM;ARRIVAL_DAY;DANGEROUS_FLAG;PASSENGER_FLAG;RORO_FLAG;TONNAGE;SERVICE_DURATION;WAIT_FOR_SERVICE;WAIT_FOR_UNDOCK;ARRIVAL_MONTH;ARRIVAL_MONTH_NUM;TERMINAL;TERMINAL_ID;VESSEL_SIZE_CATEGORY;VESSEL_MARKET_CATEGORY;ARRIVAL_ID;DEMAND_SCENARIO
23.0;225.0;0.0;13.25;1.0;8;18;WED;2;1;False;False;False;70000;51.12;2.11;0.75;JAN;1;RUMO - GSA - E;4;PANAMAX;GSA - E;1;D2030_217_newpanamax
23.0;215.0;8.75;8.75;3.0;8;23;WED;2;1;False;False;False;1000;13.85;1.81;0.75;JAN;1;BTP;13;FULLYCELLULAR;CGC;2;D2030_217_newpanamax
23.0;215.0;9.75;9.75;3.0;11;29;WED;2;1;False;False;False;1000;13.38;1.83;0.75;JAN;1;DPW - CGC;21;FULLYCELLULAR;CGC;3;D2030_217_newpanamax
23.0;255.0;10.75;10.75;3.0;8;20;WED;2;1;False;False;False;3000;17.86;1.72;0.75;JAN;1;DPW - CGC;21;PANAMAX;CGC;4;D2030_217_newpanamax
36.0;225.0;0.0;13.0;1.0;8;22;WED;2;1;False;False;False;55000;64.0;2.66;0.75;JAN;1;DPW - CGNC;22;NAVIOCARGAGERAL;CGNC;5;D2030_217_newpanamax
23.0;275.0;10.25;10.25;3.0;7;20;WED;2;1;False;False;False;3000;15.61;1.51;0.75;JAN;1;SANTOSBR;31;PANAMAX;CGC;6;D2030_217_newpanamax
43.0;339.0;14.0;14.0;3.0;7;20;WED;2;1;False;False;False;6000;25.92;2.98;0.75;JAN;1;SANTOSBR;31;POST-PANAMAXII;CGC;7;D2030_217_newpanamax
23.0;165.0;9.75;0.0;2.0;8;9;WED;2;1;False;False;False;18000;18.55;6.08;0.75;JAN;1;TIPLAM - GL;40;GPGENERALPURPOSE;GL;8;D2030_217_newpanamax
18.0;85.34;4.2;5.5;1.0;18;5;0;2;1;False;False;False;0;70.42;0.08;0.75;0;1;TUP - Saipem;8;HANDYSIZE;CGNC;9;D2030_217_newpanamax
23.0;175.0;10.25;0.0;2.0;13;33;THU;3;2;False;False;False;35000;57.11;6.65;0.75;JAN;1;STS;2;MRMEDIUMRANGE;GL;10;D2030_217_newpanamax
23.0;175.0;8.75;0.0;2.0;11;34;THU;3;2;False;False;False;35000;37.45;12.84;0.75;JAN;1;ADONAI;10;MRMEDIUMRANGE;GL;11;D2030_217_newpanamax
23.0;215.0;9.25;9.25;3.0;9;26;THU;3;2;False;False;False;1000;13.85;2.21;0.75;JAN;1;BTP;13;FULLYCELLULAR;CGC;12;D2030_217_newpanamax
23.0;295.0;12.75;12.75;3.0;10;30;THU;3;2;False;False;False;4000;20.66;2.81;0.75;JAN;1;BTP;13;POST-PANAMAXI;CGC;13;D2030_217_newpanamax
23.0;125.0;7.25;7.25;3.0;12;34;THU;3;2;False;False;False;500;12.93;1.38;0.75;JAN;1;DPW - CGC;21;FEEDER/EARLY;CGC;14;D2030_217_newpanamax
49.0;366.0;15.0;15.0;3.0;12;34;THU;3;2;False;False;False;12500;41.74;1.19;0.75;JAN;1;DPW - CGC;21;NEWPANAMAX;CGC;15;D2030_217_newpanamax
