SCENARIO_ID;SEGMENT_ID;HOURS_0_VESSELS;HOURS_1_VESSEL;HOURS_2_VESSELS;HOURS_3_VESSELS;HOURS_4_VESSELS;HOURS_5_VESSELS;HOURS_5PLUS_VESSELS
ComDragagem20302;1;1102.75;949.58;107.67;0.0;0.0;0.0;0.0
ComDragagem20302;2;1853.25;301.92;4.83;0.0;0.0;0.0;0.0
ComDragagem20302;3;1875.08;284.92;0.0;0.0;0.0;0.0;0.0
ComDragagem20302;4;1816.5;343.5;0.0;0.0;0.0;0.0;0.0
ComDragagem20302;5;1827.0;333.0;0.0;0.0;0.0;0.0;0.0
ComDragagem20302;6;1694.17;416.83;49.0;0.0;0.0;0.0;0.0
ComDragagem20302;7;1886.17;264.17;9.67;0.0;0.0;0.0;0.0
ComDragagem20302;8;1925.08;233.0;1.92;0.0;0.0;0.0;0.0
ComDragagem20302;9;1946.17;210.33;3.5;0.0;0.0;0.0;0.0
ComDragagem20302;10;1929.67;230.33;0.0;0.0;0.0;0.0;0.0
ComDragagem20302;11;1941.67;189.33;29.0;0.0;0.0;0.0;0.0
ComDragagem20302;12;1997.5;162.5;0.0;0.0;0.0;0.0;0.0
ComDragagem20302;13;1898.83;225.67;35.5;0.0;0.0;0.0;0.0
ComDragagem20302;14;2024.83;135.17;0.0;0.0;0.0;0.0;0.0
ComDragagem20302;15;2103.83;56.0;0.17;0.0;0.0;0.0;0.0
ComDragagem20302;16;2090.33;69.0;0.67;0.0;0.0;0.0;0.0
ComDragagem20302;17;2064.92;94.5;0.58;0.0;0.0;0.0;0.0
