ARRIVAL_ID;LOA;BEAM;DRAFT;BERTH;CATEGORY;DETAILED_CATEGORY;PROCESS_TIME;TERMINAL
1;180.0;46.0;10.0;BERÇO AL 01;CARGO;DANGEROUS;1200;Transpetro
2;190.0;46.0;8.5;BERÇO AL 01;CARGO;DANGEROUS;1200;Transpetro
8;190.0;46.0;9.0;BERÇO AL 02;CARGO;DANGEROUS;1200;Transpetro
12;190.0;46.0;8.0;BERÇO AL 01;CARGO;DANGEROUS;1200;Transpetro
18;190.0;46.0;10.0;BERÇO AL 02;CARGO;DANGEROUS;1200;Transpetro
77;210.0;46.0;9.5;BERÇO ARM 35P1;CARGO;N/A;1200;Transpetro
78;210.0;46.0;7.5;BERÇO ARM 35P1;CARGO;N/A;1200;Transpetro
160;180.0;46.0;7.5;BERÇO TECON 2;CARGO;N/A;1200;Transpetro
163;220.0;46.0;11.5;BERÇO TECON 1.2;CARGO;N/A;1200;Transpetro
167;280.0;46.0;13.0;BERÇO TECON 2;CARGO;N/A;1200;Transpetro
192;260.0;46.0;10.0;BERÇO TECON 1.1;CARGO;N/A;1200;Transpetro
195;230.0;46.0;8.5;BERÇO TECON 3;CARGO;N/A;1200;Transpetro
205;270.0;46.0;10.0;BERÇO TECON 3;CARGO;N/A;1200;Transpetro
212;210.0;46.0;10.0;BERÇO TECON 2;CARGO;N/A;1200;Transpetro
223;200.0;46.0;9.5;BERÇO TEV;CARGO;RO-RO;1200;Transpetro
224;200.0;46.0;8.5;BERÇO TEV;CARGO;RO-RO;1200;Transpetro
254;190.0;46.0;9.5;BERÇO IB SP;CARGO;DANGEROUS;1200;Transpetro
259;160.0;46.0;8.5;BERÇO IB BC;CARGO;DANGEROUS;1200;Transpetro
261;190.0;46.0;11.5;BERÇO Ageo I;CARGO;DANGEROUS;1200;Transpetro
262;140.0;46.0;7.5;BERÇO Ageo I;CARGO;DANGEROUS;1200;Transpetro
265;120.0;46.0;8.5;BERÇO IB BC;CARGO;DANGEROUS;1200;Transpetro
271;190.0;46.0;7.5;BERÇO Ageo I;CARGO;DANGEROUS;1200;Transpetro
276;180.0;46.0;10.5;BERÇO TIPLAM 2;CARGO;N/A;1200;Transpetro
278;230.0;46.0;7.5;BERÇO TIPLAM 2;CARGO;N/A;1200;Transpetro
280;200.0;46.0;8.5;BERÇO TIPLAM 4;CARGO;N/A;1200;Transpetro
290;200.0;46.0;13.5;BERÇO TIPLAM 2;CARGO;N/A;1200;Transpetro
291;230.0;46.0;13.5;BERÇO TIPLAM 3;CARGO;N/A;1200;Transpetro
292;200.0;46.0;10.5;BERÇO TIPLAM 4;CARGO;N/A;1200;Transpetro
301;170.0;46.0;9.0;BERÇO DOW;CARGO;N/A;1200;Transpetro
303;170.0;46.0;9.0;BERÇO DOW;CARGO;N/A;1200;Transpetro
304;80.0;46.0;4.5;BERÇO SAIPEM 1;CARGO;N/A;1200;Transpetro
305;90.0;46.0;6.5;BERÇO SAIPEM 2;CARGO;N/A;1200;Transpetro
307;90.0;46.0;5.0;BERÇO SAIPEM 1;CARGO;N/A;1200;Transpetro
318;90.0;46.0;6.5;BERÇO SAIPEM 1;CARGO;N/A;1200;Transpetro
322;300.0;46.0;11.0;BERÇO DPW 1;CARGO;N/A;1200;Transpetro
324;260.0;46.0;10.5;BERÇO DPW 1;CARGO;N/A;1200;Transpetro
368;220.0;46.0;8.0;BERÇO DPW 4;CARGO;N/A;1200;Transpetro
374;210.0;46.0;10.5;BERÇO DPW 4;CARGO;N/A;1200;Transpetro
391;200.0;46.0;11.0;BERÇO ARM 35P1;CARGO;N/A;1200;Transpetro
415;200.0;46.0;9.5;BERÇO CS 03;CARGO;N/A;1200;Transpetro
412;180.0;46.0;7.0;BERÇO CS 01;CARGO;N/A;1200;Transpetro
416;200.0;46.0;7.5;BERÇO CS 02;CARGO;N/A;1200;Transpetro
420;180.0;46.0;8.5;BERÇO ARM 34;CARGO;N/A;1200;Transpetro
422;200.0;46.0;9.0;BERÇO ARM 34;CARGO;N/A;1200;Transpetro
424;190.0;46.0;11.5;BERÇO AL 03;CARGO;N/A;1200;Transpetro
427;230.0;46.0;11.0;BERÇO AL 04;CARGO;N/A;1200;Transpetro
429;160.0;46.0;9.0;BERÇO AL 04;CARGO;N/A;1200;Transpetro
436;230.0;46.0;7.5;BERÇO ARM 20/21;CARGO;N/A;1200;Transpetro
445;230.0;46.0;7.5;BERÇO ARM 37;CARGO;N/A;1200;Transpetro
451;100.0;46.0;8.0;BERÇO VAL;CARGO;N/A;1200;Transpetro
