ARRIVAL_ID;LOA;BEAM;DRAFT;BERTH;CATEGORY;DETAILED_CATEGORY;PROCESS_TIME
1;334.07;42.0;12.0;BERÇO TECON 2;CARGO;N/A;910
2;201.9;34.0;7.99;BERÇO DPW 2;CARGO;N/A;4118
3;304.16;40.0;11.0;BERÇO BTP 1;CARGO;N/A;504
4;229.07;32.0;7.56;BERÇO ARM 37;CARGO;N/A;3905
5;85.34;18.0;4.2;BERÇO SAIPEM 1;CARGO;N/A;4225
6;209.75;33.0;11.0;BERÇO TECON 3;CARGO;N/A;926
7;270.93;43.0;11.3;BERÇO DPW 1;CARGO;N/A;1805
8;201.9;34.0;8.15;BERÇO DPW 3;CARGO;N/A;2892
9;182.47;25.0;8.2;BERÇO TECON 1.1;CARGO;N/A;1196
10;299.99;40.0;9.8;BERÇO DPW 1;CARGO;N/A;2245
11;164.34;23.0;7.8;BERÇO DOW;CARGO;N/A;1455
12;116.9;18.0;4.8;BERÇO Ageo I;CARGO;DANGEROUS;1241
13;272.08;40.0;10.6;BERÇO TECON 1.2;CARGO;N/A;1139
16;189.99;32.0;12.74;BERÇO TERMAG;CARGO;N/A;6810
18;189.99;22.0;6.7;BERÇO ARM 20/21;CARGO;N/A;1710
20;198.0;31.0;9.7;BERÇO CS 03;CARGO;N/A;8120
21;294.09;32.0;10.0;BERÇO BTP 3;CARGO;N/A;885
22;299.9;45.0;11.8;BERÇO BTP 2;CARGO;N/A;1008
23;75.2;17.0;4.5;BERÇO SAIPEM 2;CARGO;N/A;380
24;156.53;25.0;8.7;BERÇO AL 02;CARGO;DANGEROUS;3034
25;272.0;43.0;12.1;BERÇO BTP 1;CARGO;N/A;1003
26;201.8;32.0;8.0;BERÇO ARM 35P2;CARGO;N/A;4272
27;145.0;24.0;9.5;BERÇO IB BC;CARGO;N/A;2805
28;195.92;25.0;6.3;BERÇO TEV;CARGO;RO-RO;270
29;276.2;40.0;8.3;BERÇO BTP 2;CARGO;N/A;385
30;227.92;37.0;11.7;BERÇO TECON 1.1;CARGO;N/A;1451
31;222.14;30.0;9.7;BERÇO TECON 3;CARGO;N/A;311
33;182.88;32.0;8.0;BERÇO AL 01;CARGO;DANGEROUS;2064
34;158.98;27.0;8.7;BERÇO AL 03;CARGO;DANGEROUS;1940
35;224.96;33.0;7.0;BERÇO OUT 2;CARGO;N/A;5770
36;170.0;26.0;7.55;BERÇO CUTRALE;CARGO;N/A;3364
38;183.1;32.0;7.85;BERÇO AL 04;CARGO;DANGEROUS;1732
42;225.0;32.0;9.0;BERÇO DPW 4;CARGO;N/A;8713
45;299.9;45.0;11.5;BERÇO BTP 3;CARGO;N/A;838
46;116.26;18.0;4.9;BERÇO CORTE;CARGO;N/A;497
