TERMINAL;AVG_QUEUE_TIME;AVG_QUEUE_SIZE
TRANSPETRO;0,00;0,00
STOLTHAVEN;0,00;0,00
VOPAK;0,00;0,00
ULTRACARGO;0,00;0,00
ECOPORTO;0,00;0,00
BUNGE;0,00;0,00
NITA;0,00;0,00
COFCO;0,00;0,00
ELDORADO;0,00;0,00
ELEVACOES;0,00;0,00
COPESUCAR;0,00;0,00
CONCAIS;0,00;0,00
HIDROVIAS;0,00;0,00
TGRAO;0,00;0,00
CITROSUCO;0,00;0,00
NST;0,00;0,00
BRACELL;0,00;0,00
TES;0,00;0,00
XXXIX;0,00;0,00
ADM;0,00;0,00
BTP;0,50;1,00
SANTOSBR;1,50;1,67
TEV;0,00;0,00
TGG;0,00;0,00
TERMAG;0,00;0,00
TEAG;0,00;0,00
TEG;0,00;0,00
FIBRIA;0,00;0,00
AGEO_TERMINAIS;3,58;1,00
AGEO_NORTE;-0,08;1,00
GRANEL;0,00;0,00
ADONAI;0,00;0,00
TIPLAM;0,00;0,00
CUTRALE;18,92;1,00
DOW;0,00;1,00
SAIPEM;0,00;1,00
USIMINAS;0,00;0,00
DPW;5,08;1,00
OUTROS_ECOPORTO;0,00;0,00
OUTROS_BARNABE;0,00;0,00
OUTROS_PONTA;0,00;0,00
OUTROS_SANTOSBR;0,00;0,00
OUTROS_MACUCO;22,08;1,00
OUTROS_OUT;0,00;0,00
OUTROS_PAQUETA;0,00;0,00
OUTROS_SABOO;3,67;1,00
OUTROS_LIBRA;0,00;0,00
OUTROS_ALAMOA;3,12;1,00
AUTORIDADE_MACUCO;0,00;0,00
AUTORIDADE_OUT;14,17;1,00
AUTORIDADE_PONTA;0,00;0,00
AUTORIDADE_SABOO;-0,08;1,00
DPW CELULOSE;21,50;1,00
