ARRIVAL_ID;BEAM;LENGTH;DRAFT;IS_NEW_PANAMAX;IS_PASSENGER;IS_RORO;ARRIVAL_D;ARRIVAL_H;BERTH_ID;BERTH;IN_SEG1_ARR_D;IN_SEG1_ARR_H;IN_SEG1_DP_D;IN_SEG1_DP_H;IN_SEG2_ARR_D;IN_SEG2_ARR_H;IN_SEG2_DP_D;IN_SEG2_DP_H;IN_SEG3_ARR_D;IN_SEG3_ARR_H;IN_SEG3_DP_D;IN_SEG3_DP_H;IN_SEG4_ARR_D;IN_SEG4_ARR_H;IN_SEG4_DP_D;IN_SEG4_DP_H;IN_SEG5_ARR_D;IN_SEG5_ARR_H;IN_SEG5_DP_D;IN_SEG5_DP_H;IN_SEG6_ARR_D;IN_SEG6_ARR_H;IN_SEG6_DP_D;IN_SEG6_DP_H;IN_SEG7_ARR_D;IN_SEG7_ARR_H;IN_SEG7_DP_D;IN_SEG7_DP_H;IN_SEG8_ARR_D;IN_SEG8_ARR_H;IN_SEG8_DP_D;IN_SEG8_DP_H;IN_SEG9_ARR_D;IN_SEG9_ARR_H;IN_SEG9_DP_D;IN_SEG9_DP_H;IN_SEG10_ARR_D;IN_SEG10_ARR_H;IN_SEG10_DP_D;IN_SEG10_DP_H;IN_SEG11_ARR_D;IN_SEG11_ARR_H;IN_SEG11_DP_D;IN_SEG11_DP_H;IN_SEG12_ARR_D;IN_SEG12_ARR_H;IN_SEG12_DP_D;IN_SEG12_DP_H;IN_SEG13_ARR_D;IN_SEG13_ARR_H;IN_SEG13_DP_D;IN_SEG13_DP_H;IN_SEG14_ARR_D;IN_SEG14_ARR_H;IN_SEG14_DP_D;IN_SEG14_DP_H;IN_SEG15_ARR_D;IN_SEG15_ARR_H;IN_SEG15_DP_D;IN_SEG15_DP_H;IN_SEG16_ARR_D;IN_SEG16_ARR_H;IN_SEG16_DP_D;IN_SEG16_DP_H;IN_SEG17_ARR_D;IN_SEG17_ARR_H;IN_SEG17_DP_D;IN_SEG17_DP_H;BERTH_ARR_D;BERTH_ARR_H;OPERATION_START_D;OPERATION_START_H;OPERATION_END_D;OPERATION_END_H;BERTH_DP_D;BERTH_DP_H;OUT_SEG17_ARR_D;OUT_SEG17_ARR_H;OUT_SEG17_DP_D;OUT_SEG17_DP_H;OUT_SEG16_ARR_D;OUT_SEG16_ARR_H;OUT_SEG16_DP_D;OUT_SEG16_DP_H;OUT_SEG15_ARR_D;OUT_SEG15_ARR_H;OUT_SEG15_DP_D;OUT_SEG15_DP_H;OUT_SEG14_ARR_D;OUT_SEG14_ARR_H;OUT_SEG14_DP_D;OUT_SEG14_DP_H;OUT_SEG13_ARR_D;OUT_SEG13_ARR_H;OUT_SEG13_DP_D;OUT_SEG13_DP_H;OUT_SEG12_ARR_D;OUT_SEG12_ARR_H;OUT_SEG12_DP_D;OUT_SEG12_DP_H;OUT_SEG11_ARR_D;OUT_SEG11_ARR_H;OUT_SEG11_DP_D;OUT_SEG11_DP_H;OUT_SEG10_ARR_D;OUT_SEG10_ARR_H;OUT_SEG10_DP_D;OUT_SEG10_DP_H;OUT_SEG9_ARR_D;OUT_SEG9_ARR_H;OUT_SEG9_DP_D;OUT_SEG9_DP_H;OUT_SEG8_ARR_D;OUT_SEG8_ARR_H;OUT_SEG8_DP_D;OUT_SEG8_DP_H;OUT_SEG7_ARR_D;OUT_SEG7_ARR_H;OUT_SEG7_DP_D;OUT_SEG7_DP_H;OUT_SEG6_ARR_D;OUT_SEG6_ARR_H;OUT_SEG6_DP_D;OUT_SEG6_DP_H;OUT_SEG5_ARR_D;OUT_SEG5_ARR_H;OUT_SEG5_DP_D;OUT_SEG5_DP_H;OUT_SEG4_ARR_D;OUT_SEG4_ARR_H;OUT_SEG4_DP_D;OUT_SEG4_DP_H;OUT_SEG3_ARR_D;OUT_SEG3_ARR_H;OUT_SEG3_DP_D;OUT_SEG3_DP_H;OUT_SEG2_ARR_D;OUT_SEG2_ARR_H;OUT_SEG2_DP_D;OUT_SEG2_DP_H;OUT_SEG1_ARR_D;OUT_SEG1_ARR_H;OUT_SEG1_DP_D;OUT_SEG1_DP_H;NON_PRODUCTIVE_TIME_SPENT
1;18.0;116.9;4.8;0;0;0;0;20:15;1;BERÇO Ageo I;0;20:10;0;20:30;0;20:30;0;20:35;0;20:35;0;20:40;0;20:40;0;20:45;;;;;0;20:45;0;20:50;0;20:50;0;20:55;;;;;;;;;;;;;0;20:55;0;21:00;0;21:00;0;21:30;;;;;;;;;;;;;;;;;;;;;0;21:30;0;21:30;1;18:11;1;19:00;;;;;;;;;;;;;;;;;;;;;1;19:00;1;19:10;1;19:10;1;19:15;;;;;;;;;;;;;1;19:15;1;19:20;1;19:20;1;19:25;;;;;1;19:25;1;19:30;1;19:30;1;19:35;1;19:35;1;19:40;1;19:40;1;20:00;
2;40.0;304.16;11.0;0;0;0;0;20:15;32;BERÇO BTP 1;0;20:45;0;21:05;0;21:05;0;21:10;0;21:10;0;21:15;0;21:15;0;21:20;;;;;0;21:20;0;21:25;0;21:25;0;21:30;;;;;;;;;;;;;0;21:30;0;21:35;0;21:35;0;21:40;0;21:40;0;21:50;;;;;;;;;;;;;;;;;0;21:50;0;21:50;1;06:14;1;12:15;;;;;;;;;;;;;;;;;1;12:15;1;12:45;1;12:45;1;12:50;1;12:50;1;12:55;;;;;;;;;;;;;1;12:55;1;13:00;1;13:00;1;13:05;;;;;1;13:05;1;13:10;1;13:10;1;13:15;1;13:15;1;13:20;1;13:20;1;13:40;
3;23.0;164.34;7.8;0;0;0;0;08:30;41;BERÇO DOW;0;08:30;0;08:50;0;08:50;0;08:55;0;08:55;0;09:00;0;09:00;0;09:10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;09:10;0;09:10;1;09:25;1;15:45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;15:45;1;16:15;1;16:15;1;16:20;1;16:20;1;16:25;1;16:25;1;16:45;
4;18.0;85.34;4.2;0;0;0;0;17:30;48;BERÇO SAIPEM 1;0;17:30;0;17:50;0;17:50;0;18:20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;18:20;0;18:20;3;16:45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;42.0;334.07;12.0;0;0;0;0;16:00;53;BERÇO TECON 1.2;0;16:00;0;16:20;0;16:20;0;16:25;0;16:25;0;16:30;0;16:30;0;16:35;;;;;0;16:35;0;16:45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;16:45;0;16:45;1;07:55;1;11:30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;11:30;1;12:00;;;;;1;12:00;1;12:05;1;12:05;1;12:10;1;12:10;1;12:15;1;12:15;1;12:35;
6;22.0;189.99;6.7;0;0;0;1;15:30;14;BERÇO ARM 20/21;2;05:40;2;06:00;2;06:00;2;06:05;2;06:05;2;06:10;2;06:10;2;06:15;;;;;2;06:15;2;06:20;2;06:20;2;06:25;2;06:25;2;06:55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;06:55;2;06:55;3;11:25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;45.0;299.9;11.8;0;0;0;1;23:30;32;BERÇO BTP 1;2;00:00;2;00:10;2;00:10;2;00:15;2;00:15;2;00:20;2;00:20;2;00:25;;;;;2;00:25;2;00:30;2;00:30;2;00:35;;;;;;;;;;;;;2;00:35;2;00:40;2;00:40;2;00:45;2;00:45;2;00:55;;;;;;;;;;;;;;;;;2;00:55;2;00:55;2;17:43;2;17:40;;;;;;;;;;;;;;;;;2;17:40;2;18:10;2;18:10;2;18:15;2;18:15;2;18:20;;;;;;;;;;;;;2;18:20;2;18:25;2;18:25;2;18:30;;;;;2;18:30;2;18:35;2;18:35;2;18:40;2;18:40;2;18:45;2;18:45;2;19:05;
8;40.0;299.99;9.8;0;0;0;1;12:45;42;BERÇO DPW 1;1;17:50;1;18:10;1;18:10;1;18:15;1;18:15;1;18:20;1;18:20;1;18:25;;;;;1;18:25;1;18:30;1;18:30;1;18:35;;;;;;;;;;;;;1;18:35;1;18:45;;;;;;;;;;;;;;;;;;;;;;;;;1;18:45;1;18:45;3;08:10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;25.0;156.53;8.7;0;0;0;1;00:30;3;BERÇO AL 02;1;06:50;1;07:10;1;07:10;1;07:15;1;07:15;1;07:20;1;07:20;1;07:25;;;;;1;07:25;1;07:30;1;07:30;1;07:35;;;;;;;;;;;;;1;07:35;1;07:40;1;07:40;1;07:45;1;07:45;1;07:50;1;07:50;1;08:20;;;;;;;;;;;;;1;08:20;1;08:20;3;10:54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;17.0;75.2;4.5;0;0;0;1;10:00;49;BERÇO SAIPEM 2;1;10:00;1;10:20;1;10:20;1;10:50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;10:50;1;10:50;1;17:10;1;17:10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;17:10;1;17:20;1;17:20;1;17:40;
12;40.0;272.08;10.6;0;0;0;1;01:45;55;BERÇO TECON 3;1;03:00;1;03:20;1;03:20;1;03:25;1;03:25;1;03:30;1;03:30;1;03:35;;;;;1;03:35;1;03:45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;03:45;1;03:45;1;22:44;1;22:45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;22:45;1;23:15;;;;;1;23:15;1;23:20;1;23:20;1;23:25;1;23:25;1;23:30;1;23:30;1;23:50;
13;25.0;182.47;8.2;0;0;0;1;12:00;54;BERÇO TECON 2;1;14:20;1;14:40;1;14:40;1;14:45;1;14:45;1;14:50;1;14:50;1;14:55;;;;;1;14:55;1;15:05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;15:05;1;15:05;2;11:01;2;16:55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;16:55;2;17:25;;;;;2;17:25;2;17:30;2;17:30;2;17:35;2;17:35;2;17:40;2;17:40;2;18:00;
