SCENARIO_ID;ARRIVAL_ID;ROUTE_ID;START_TIME;END_TIME;FORWARD
S005;1;0;1220;1220;1
S005;1;1;1245;1265;1
S005;1;2;1265;1270;1
S005;1;3;1270;1275;1
S005;1;4;1275;1280;1
S005;1;5;;;1
S005;1;6;1280;1285;1
S005;1;7;1285;1290;1
S005;1;8;;;1
S005;1;9;;;1
S005;1;10;;;1
S005;1;11;1290;1295;1
S005;1;62;1295;1325;1
S005;1;62;2570;2580;0
S005;1;11;2580;2585;0
S005;1;7;2585;2590;0
S005;1;6;2590;2595;0
S005;1;4;2595;2600;0
S005;1;3;2600;2605;0
S005;1;2;2605;2610;0
S005;1;1;2610;2630;0
S005;2;0;184;184;1
S005;2;1;185;205;1
S005;2;2;205;210;1
S005;2;3;210;215;1
S005;2;19;215;245;1
S005;2;19;4150;4160;0
S005;2;3;4160;4165;0
S005;2;2;4165;4170;0
S005;2;1;4170;4190;0
S005;3;0;1218;1218;1
S005;3;1;1220;1240;1
S005;3;2;1240;1245;1
S005;3;3;1245;1250;1
S005;3;4;1250;1255;1
S005;3;5;;;1
S005;3;6;1255;1260;1
S005;3;7;1260;1265;1
S005;3;8;;;1
S005;3;9;;;1
S005;3;10;;;1
S005;3;11;1265;1270;1
S005;3;12;1270;1275;1
S005;3;66;1275;1285;1
S005;3;66;1790;1820;0
S005;3;12;1820;1825;0
S005;3;11;1825;1830;0
S005;3;7;1830;1835;0
S005;3;6;1835;1840;0
S005;3;4;1840;1845;0
S005;3;3;1845;1850;0
S005;3;2;1850;1855;0
S005;3;1;1855;1875;0
S005;4;0;480;480;1
S005;4;1;485;505;1
S005;4;2;505;510;1
S005;4;3;510;515;1
S005;4;21;515;525;1
S005;4;21;2020;2050;0
S005;4;3;2050;2055;0
S005;4;2;2055;2060;0
S005;4;1;2060;2080;0
S005;5;0;1170;1170;1
S005;5;1;1175;1195;1
S005;5;2;1195;1200;1
S005;5;3;1200;1205;1
S005;5;4;1205;1210;1
S005;5;5;;;1
S005;5;6;1210;1215;1
S005;5;7;1215;1220;1
S005;5;8;;;1
S005;5;9;;;1
S005;5;10;;;1
S005;5;52;1220;1230;1
S005;5;52;3475;3505;0
S005;5;7;3505;3510;0
S005;5;6;3510;3515;0
S005;5;4;3515;3520;0
S005;5;3;3520;3525;0
S005;5;2;3525;3530;0
S005;5;1;3530;3550;0
S005;6;0;558;558;1
S005;6;1;560;580;1
S005;6;2;580;585;1
S005;6;3;585;590;1
S005;6;4;590;595;1
S005;6;5;;;1
S005;6;6;595;600;1
S005;6;7;600;605;1
S005;6;8;;;1
S005;6;9;;;1
S005;6;10;;;1
S005;6;53;605;615;1
S005;6;53;2420;2450;0
S005;6;7;2450;2455;0
S005;6;6;2455;2460;0
S005;6;4;2460;2465;0
S005;6;3;2465;2470;0
S005;6;2;2470;2475;0
S005;6;1;2475;2495;0
S005;7;0;360;360;1
S005;7;1;365;385;1
S005;7;2;385;390;1
S005;7;3;390;395;1
S005;7;4;395;400;1
S005;7;5;;;1
S005;7;6;400;405;1
S005;7;7;405;410;1
S005;7;8;;;1
S005;7;9;;;1
S005;7;50;410;440;1
S005;7;50;4540;4550;0
S005;7;7;4550;4555;0
S005;7;6;4555;4560;0
S005;7;4;4560;4565;0
S005;7;3;4565;4570;0
S005;7;2;4570;4575;0
S005;7;1;4575;4595;0
S005;8;0;1290;1290;1
S005;8;1;1295;1315;1
S005;8;2;1315;1320;1
S005;8;3;1320;1325;1
S005;8;4;1325;1330;1
S005;8;5;;;1
S005;8;6;1330;1335;1
S005;8;7;1335;1340;1
S005;8;8;;;1
S005;8;9;;;1
S005;8;51;1340;1370;1
S005;8;51;4300;4310;0
S005;8;7;4310;4315;0
S005;8;6;4315;4320;0
S005;8;4;4320;4325;0
S005;8;3;4325;4330;0
S005;8;2;4330;4335;0
S005;8;1;4335;4355;0
S005;9;0;1085;1085;1
S005;9;1;1090;1110;1
S005;9;84;1110;1140;1
S005;9;84;5345;5355;0
S005;9;1;5355;5375;0
S005;10;0;390;390;1
S005;10;1;395;415;1
S005;10;2;415;420;1
S005;10;3;420;425;1
S005;10;4;425;430;1
S005;10;5;;;1
S005;10;33;430;440;1
S005;10;33;1580;1610;0
S005;10;4;1610;1615;0
S005;10;3;1615;1620;0
S005;10;2;1620;1625;0
S005;10;1;1625;1645;0
S005;11;0;953;953;1
S005;11;1;955;975;1
S005;11;2;975;980;1
S005;11;3;980;985;1
S005;11;4;985;990;1
S005;11;5;;;1
S005;11;35;990;1000;1
S005;11;35;1910;1940;0
S005;11;4;1940;1945;0
S005;11;3;1945;1950;0
S005;11;2;1950;1955;0
S005;11;1;1955;1975;0
S005;12;0;1005;1005;1
S005;12;1;1010;1030;1
S005;12;2;1030;1035;1
S005;12;3;1035;1040;1
S005;12;4;1040;1045;1
S005;12;5;;;1
S005;12;36;1045;1055;1
S005;12;36;2265;2295;0
S005;12;4;2295;2300;0
S005;12;3;2300;2305;0
S005;12;2;2305;2310;0
S005;12;1;2310;2330;0
S005;13;0;684;684;1
S005;13;1;685;705;1
S005;13;2;705;710;1
S005;13;3;710;715;1
S005;13;4;715;720;1
S005;13;5;;;1
S005;13;34;720;730;1
S005;13;34;1660;1690;0
S005;13;4;1690;1695;0
S005;13;3;1695;1700;0
S005;13;2;1700;1705;0
S005;13;1;1705;1725;0
S005;14;0;1638;1638;1
S005;14;1;1680;1700;1
S005;14;2;1700;1705;1
S005;14;3;1705;1710;1
S005;14;4;1710;1715;1
S005;14;5;;;1
S005;14;6;1715;1720;1
S005;14;7;1720;1725;1
S005;14;45;1725;1755;1
S005;14;45;3795;3805;0
