SCENARIO_ID;TERMINAL;AVG_QUEUE_TIME;AVG_QUEUE_SIZE
S005;TRANSPETRO;3,36;1,50
S005;STOLTHAVEN;0,02;1,00
S005;VOPAK;0,00;0,00
S005;ULTRACARGO;26,80;1,00
S005;ECOPORTO;0,00;0,00
S005;BUNGE;0,00;0,00
S005;NITA;0,00;0,00
S005;COFCO;0,00;0,00
S005;ELDORADO;0,50;1,00
S005;ELEVACOES;0,00;0,00
S005;COPESUCAR;0,00;0,00
S005;CONCAIS;0,08;1,00
S005;HIDROVIAS;0,00;0,00
S005;TGRAO;0,86;1,00
S005;CITROSUCO;0,00;0,00
S005;NST;0,00;0,00
S005;BRACELL;0,17;1,00
S005;TES;0,00;0,00
S005;XXXIX;0,00;0,00
S005;ADM;0,00;0,00
S005;BTP;0,35;1,33
S005;SANTOSBR;0,13;2,00
S005;TEV;1,18;1,00
S005;TGG;0,00;0,00
S005;TERMAG;28,23;1,00
S005;TEAG;0,00;0,00
S005;TEG;0,00;0,00
S005;FIBRIA;0,00;0,00
S005;AGEO_TERMINAIS;2,95;1,20
S005;AGEO_NORTE;7,28;1,33
S005;GRANEL;0,00;0,00
S005;ADONAI;0,50;1,00
S005;TIPLAM;0,50;1,00
S005;CUTRALE;1,58;1,00
S005;DOW;0,08;1,00
S005;SAIPEM;0,13;1,00
S005;USIMINAS;0,00;0,00
S005;DPW;2,42;1,25
S005;OUTROS_ECOPORTO;0,00;0,00
S005;OUTROS_BARNABE;0,00;0,00
S005;OUTROS_PONTA;1,25;1,00
S005;OUTROS_SANTOSBR;0,00;0,00
S005;OUTROS_MACUCO;0,47;1,33
S005;OUTROS_OUT;0,00;0,00
S005;OUTROS_PAQUETA;0,25;1,00
S005;OUTROS_SABOO;0,49;1,00
S005;OUTROS_LIBRA;0,08;1,00
S005;OUTROS_ALAMOA;0,35;1,00
S005;AUTORIDADE_MACUCO;0,00;0,00
S005;AUTORIDADE_OUT;13,68;2,00
S005;AUTORIDADE_PONTA;0,39;1,00
S005;AUTORIDADE_SABOO;17,11;1,67
S005;DPW CELULOSE;20,12;1,25
