SCENARIO_ID;TERMINAL;METOCEAN_QUEUE_TIME;BERTH_QUEUE_TIME;CHANNEL_QUEUE_TIME;TOTAL_QUEUE_TIME;AVG_QUEUE_SIZE
S005;TRANSPETRO;0,06;4,80;0,00;4,86;1,50
S005;STOLTHAVEN;0,00;1,52;0,00;1,52;1,00
S005;VOPAK;0,00;0,00;0,00;0,00;0,00
S005;ULTRACARGO;24,55;3,42;0,00;27,97;1,00
S005;ECOPORTO;0,00;0,00;0,00;0,00;0,00
S005;BUNGE;0,00;0,00;0,00;0,00;0,00
S005;NITA;0,00;0,00;0,00;0,00;0,00
S005;COFCO;0,00;0,00;0,00;0,00;0,00
S005;ELDORADO;0,08;1,08;0,42;1,58;1,00
S005;ELEVACOES;0,00;0,00;0,00;0,00;0,00
S005;COPESUCAR;0,00;0,00;0,00;0,00;0,00
S005;CONCAIS;0,08;1,17;0,00;1,25;1,00
S005;HIDROVIAS;0,00;0,00;0,00;0,00;0,00
S005;TGRAO;0,08;1,67;0,27;2,02;1,00
S005;CITROSUCO;0,00;0,00;0,00;0,00;0,00
S005;NST;0,00;0,00;0,00;0,00;0,00
S005;BRACELL;0,08;0,83;0,00;0,92;1,00
S005;TES;0,00;0,00;0,00;0,00;0,00
S005;XXXIX;0,00;0,00;0,00;0,00;0,00
S005;ADM;0,00;0,00;0,00;0,00;0,00
S005;BTP;0,10;1,33;0,09;1,52;1,33
S005;SANTOSBR;0,06;0,54;0,31;0,92;2,00
S005;TEV;0,08;1,17;1,10;2,35;1,00
S005;TGG;0,00;0,00;0,00;0,00;0,00
S005;TERMAG;0,50;28,42;0,06;28,98;1,00
S005;TEAG;0,00;0,00;0,00;0,00;0,00
S005;TEG;0,00;0,00;0,00;0,00;0,00
S005;FIBRIA;0,00;0,00;0,00;0,00;0,00
S005;AGEO_TERMINAIS;0,16;3,77;0,03;3,95;1,20
S005;AGEO_NORTE;0,47;8,06;0,08;8,61;1,33
S005;GRANEL;0,00;0,00;0,00;0,00;0,00
S005;ADONAI;0,08;1,75;0,00;1,83;1,00
S005;TIPLAM;0,08;2,08;0,00;2,17;1,00
S005;CUTRALE;0,08;1,00;1,50;2,58;1,00
S005;DOW;0,08;0,67;0,00;0,75;1,00
S005;SAIPEM;0,08;0,87;0,02;0,97;1,00
S005;USIMINAS;0,00;0,00;0,00;0,00;0,00
S005;DPW;0,15;3,23;0,09;3,47;1,25
S005;OUTROS_ECOPORTO;0,00;0,00;0,00;0,00;0,00
S005;OUTROS_BARNABE;0,00;0,00;0,00;0,00;0,00
S005;OUTROS_PONTA;0,08;1,00;1,17;2,25;1,00
S005;OUTROS_SANTOSBR;0,00;0,00;0,00;0,00;0,00
S005;OUTROS_MACUCO;0,08;1,37;0,10;1,56;1,33
S005;OUTROS_OUT;0,00;0,00;0,00;0,00;0,00
S005;OUTROS_PAQUETA;0,08;1,25;0,17;1,50;1,00
S005;OUTROS_SABOO;0,08;1,00;0,41;1,49;1,00
S005;OUTROS_LIBRA;0,08;1,08;0,00;1,17;1,00
S005;OUTROS_ALAMOA;0,08;1,60;0,00;1,69;1,00
S005;AUTORIDADE_MACUCO;0,00;0,00;0,00;0,00;0,00
S005;AUTORIDADE_OUT;0,46;14,17;0,31;14,93;2,00
S005;AUTORIDADE_PONTA;0,06;1,00;0,34;1,39;1,00
S005;AUTORIDADE_SABOO;0,33;17,35;0,63;18,31;1,67
S005;DPW CELULOSE;0,62;20,75;0,00;21,37;1,25
