SCENARIO_ID;ARRIVAL_ID;BEAM;LENGTH;DRAFT;IS_NEW_PANAMAX;IS_PASSENGER;IS_RORO;ARRIVAL_D;ARRIVAL_H;METOCEAN_QUEUE_TIME;BERTH_QUEUE_TIME;CHANNEL_QUEUE_TIME;TOTAL_QUEUE_TIME;BERTH_ID;BERTH;IN_SEG1_ARR_D;IN_SEG1_ARR_H;IN_SEG1_DP_D;IN_SEG1_DP_H;IN_SEG2_ARR_D;IN_SEG2_ARR_H;IN_SEG2_DP_D;IN_SEG2_DP_H;IN_SEG3_ARR_D;IN_SEG3_ARR_H;IN_SEG3_DP_D;IN_SEG3_DP_H;IN_SEG4_ARR_D;IN_SEG4_ARR_H;IN_SEG4_DP_D;IN_SEG4_DP_H;IN_SEG5_ARR_D;IN_SEG5_ARR_H;IN_SEG5_DP_D;IN_SEG5_DP_H;IN_SEG6_ARR_D;IN_SEG6_ARR_H;IN_SEG6_DP_D;IN_SEG6_DP_H;IN_SEG7_ARR_D;IN_SEG7_ARR_H;IN_SEG7_DP_D;IN_SEG7_DP_H;IN_SEG8_ARR_D;IN_SEG8_ARR_H;IN_SEG8_DP_D;IN_SEG8_DP_H;IN_SEG9_ARR_D;IN_SEG9_ARR_H;IN_SEG9_DP_D;IN_SEG9_DP_H;IN_SEG10_ARR_D;IN_SEG10_ARR_H;IN_SEG10_DP_D;IN_SEG10_DP_H;IN_SEG11_ARR_D;IN_SEG11_ARR_H;IN_SEG11_DP_D;IN_SEG11_DP_H;IN_SEG12_ARR_D;IN_SEG12_ARR_H;IN_SEG12_DP_D;IN_SEG12_DP_H;IN_SEG13_ARR_D;IN_SEG13_ARR_H;IN_SEG13_DP_D;IN_SEG13_DP_H;IN_SEG14_ARR_D;IN_SEG14_ARR_H;IN_SEG14_DP_D;IN_SEG14_DP_H;IN_SEG15_ARR_D;IN_SEG15_ARR_H;IN_SEG15_DP_D;IN_SEG15_DP_H;IN_SEG16_ARR_D;IN_SEG16_ARR_H;IN_SEG16_DP_D;IN_SEG16_DP_H;IN_SEG17_ARR_D;IN_SEG17_ARR_H;IN_SEG17_DP_D;IN_SEG17_DP_H;BERTH_ARR_D;BERTH_ARR_H;OPERATION_START_D;OPERATION_START_H;OPERATION_END_D;OPERATION_END_H;BERTH_DP_D;BERTH_DP_H;OUT_SEG17_ARR_D;OUT_SEG17_ARR_H;OUT_SEG17_DP_D;OUT_SEG17_DP_H;OUT_SEG16_ARR_D;OUT_SEG16_ARR_H;OUT_SEG16_DP_D;OUT_SEG16_DP_H;OUT_SEG15_ARR_D;OUT_SEG15_ARR_H;OUT_SEG15_DP_D;OUT_SEG15_DP_H;OUT_SEG14_ARR_D;OUT_SEG14_ARR_H;OUT_SEG14_DP_D;OUT_SEG14_DP_H;OUT_SEG13_ARR_D;OUT_SEG13_ARR_H;OUT_SEG13_DP_D;OUT_SEG13_DP_H;OUT_SEG12_ARR_D;OUT_SEG12_ARR_H;OUT_SEG12_DP_D;OUT_SEG12_DP_H;OUT_SEG11_ARR_D;OUT_SEG11_ARR_H;OUT_SEG11_DP_D;OUT_SEG11_DP_H;OUT_SEG10_ARR_D;OUT_SEG10_ARR_H;OUT_SEG10_DP_D;OUT_SEG10_DP_H;OUT_SEG9_ARR_D;OUT_SEG9_ARR_H;OUT_SEG9_DP_D;OUT_SEG9_DP_H;OUT_SEG8_ARR_D;OUT_SEG8_ARR_H;OUT_SEG8_DP_D;OUT_SEG8_DP_H;OUT_SEG7_ARR_D;OUT_SEG7_ARR_H;OUT_SEG7_DP_D;OUT_SEG7_DP_H;OUT_SEG6_ARR_D;OUT_SEG6_ARR_H;OUT_SEG6_DP_D;OUT_SEG6_DP_H;OUT_SEG5_ARR_D;OUT_SEG5_ARR_H;OUT_SEG5_DP_D;OUT_SEG5_DP_H;OUT_SEG4_ARR_D;OUT_SEG4_ARR_H;OUT_SEG4_DP_D;OUT_SEG4_DP_H;OUT_SEG3_ARR_D;OUT_SEG3_ARR_H;OUT_SEG3_DP_D;OUT_SEG3_DP_H;OUT_SEG2_ARR_D;OUT_SEG2_ARR_H;OUT_SEG2_DP_D;OUT_SEG2_DP_H;OUT_SEG1_ARR_D;OUT_SEG1_ARR_H;OUT_SEG1_DP_D;OUT_SEG1_DP_H;NON_PRODUCTIVE_TIME_SPENT
S005;1;18.0;116.9;4.8;0;0;0;1;20:20;0.08;0.0;0.33;0.42;47;BERÇO IB SP;1;20:45;1;21:05;1;21:05;1;21:10;1;21:10;1;21:15;1;21:15;1;21:20;;;;;1;21:20;1;21:25;1;21:25;1;21:30;;;;;;;;;;;;;1;21:30;1;21:35;1;21:35;1;22:05;;;;;;;;;;;;;;;;;;;;;1;22:05;1;22:05;2;18:46;2;18:50;;;;;;;;;;;;;;;;;;;;;2;18:50;2;19:00;2;19:00;2;19:05;;;;;;;;;;;;;2;19:05;2;19:10;2;19:10;2;19:15;;;;;2;19:15;2;19:20;2;19:20;2;19:25;2;19:25;2;19:30;2;19:30;2;19:50;
S005;2;32.0;229.07;7.56;0;0;0;1;03:04;0.0;0.0;0.02;0.02;28;BERÇO ARM 37;1;03:05;1;03:25;1;03:25;1;03:30;1;03:30;1;03:35;1;03:35;1;04:05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;04:05;1;04:05;3;21:10;3;21:15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;21:15;3;21:25;3;21:25;3;21:30;3;21:30;3;21:35;3;21:35;3;21:55;
S005;3;40.0;304.16;11.0;0;0;0;1;20:18;0.0;0.0;0.03;0.03;34;BERÇO BTP 3;1;20:20;1;20:40;1;20:40;1;20:45;1;20:45;1;20:50;1;20:50;1;20:55;;;;;1;20:55;1;21:00;1;21:00;1;21:05;;;;;;;;;;;;;1;21:05;1;21:10;1;21:10;1;21:15;1;21:15;1;21:25;;;;;;;;;;;;;;;;;1;21:25;1;21:25;2;05:49;2;05:50;;;;;;;;;;;;;;;;;2;05:50;2;06:20;2;06:20;2;06:25;2;06:25;2;06:30;;;;;;;;;;;;;2;06:30;2;06:35;2;06:35;2;06:40;;;;;2;06:40;2;06:45;2;06:45;2;06:50;2;06:50;2;06:55;2;06:55;2;07:15;
S005;4;23.0;164.34;7.8;0;0;0;1;08:00;0.08;0.0;0.0;0.08;41;BERÇO DOW;1;08:05;1;08:25;1;08:25;1;08:30;1;08:30;1;08:35;1;08:35;1;08:45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;08:45;1;08:45;2;09:00;2;09:05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;09:05;2;09:35;2;09:35;2;09:40;2;09:40;2;09:45;2;09:45;2;10:05;
S005;5;40.0;299.99;9.8;0;0;0;1;19:30;0.5;0.0;21.67;22.17;42;BERÇO DPW 1;2;17:40;2;18:00;2;18:00;2;18:05;2;18:05;2;18:10;2;18:10;2;18:15;;;;;2;18:15;2;18:20;2;18:20;2;18:25;;;;;;;;;;;;;2;18:25;2;18:35;;;;;;;;;;;;;;;;;;;;;;;;;2;18:35;2;18:35;4;08:00;4;08:35;;;;;;;;;;;;;;;;;;;;;;;;;4;08:35;4;09:05;;;;;;;;;;;;;4;09:05;4;09:10;4;09:10;4;09:15;;;;;4;09:15;4;09:20;4;09:20;4;09:25;4;09:25;4;09:30;4;09:30;4;09:50;
S005;6;43.0;270.93;11.3;0;0;0;1;09:18;0.0;0.0;0.03;0.03;42;BERÇO DPW 1;1;09:20;1;09:40;1;09:40;1;09:45;1;09:45;1;09:50;1;09:50;1;09:55;;;;;1;09:55;1;10:00;1;10:00;1;10:05;;;;;;;;;;;;;1;10:05;1;10:15;;;;;;;;;;;;;;;;;;;;;;;;;1;10:15;1;10:15;2;16:20;2;16:20;;;;;;;;;;;;;;;;;;;;;;;;;2;16:20;2;16:50;;;;;;;;;;;;;2;16:50;2;16:55;2;16:55;2;17:00;;;;;2;17:00;2;17:05;2;17:05;2;17:10;2;17:10;2;17:15;2;17:15;2;17:35;
S005;7;34.0;201.9;7.99;0;0;0;1;06:00;0.08;0.0;0.0;0.08;45;BERÇO DPW 4;1;06:05;1;06:25;1;06:25;1;06:30;1;06:30;1;06:35;1;06:35;1;06:40;;;;;1;06:40;1;06:45;1;06:45;1;06:50;;;;;;;;;1;06:50;1;07:20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;07:20;1;07:20;4;03:58;4;02:55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;02:55;4;03:05;;;;;;;;;4;03:05;4;03:10;4;03:10;4;03:15;;;;;4;03:15;4;03:20;4;03:20;4;03:25;4;03:25;4;03:30;4;03:30;4;03:50;
S005;8;34.0;201.9;8.15;0;0;0;1;21:30;0.08;0.0;0.0;0.08;44;BERÇO DPW 3;1;21:35;1;21:55;1;21:55;1;22:00;1;22:00;1;22:05;1;22:05;1;22:10;;;;;1;22:10;1;22:15;1;22:15;1;22:20;;;;;;;;;1;22:20;1;22:50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;22:50;1;22:50;3;23:02;3;22:50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;22:50;3;23:00;;;;;;;;;3;23:00;3;23:05;3;23:05;3;23:10;;;;;3;23:10;3;23:15;3;23:15;3;23:20;3;23:20;3;23:25;3;23:25;3;23:45;
S005;9;18.0;85.34;4.2;0;0;0;1;18:05;0.08;0.0;0.0;0.08;48;BERÇO SAIPEM 1;1;18:10;1;18:30;1;18:30;1;19:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;19:00;1;19:00;4;17:25;4;16:15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;16:15;4;16:25;4;16:25;4;16:45;
S005;10;40.0;272.08;10.6;0;0;0;1;06:30;0.08;0.0;0.0;0.08;54;BERÇO TECON 2;1;06:35;1;06:55;1;06:55;1;07:00;1;07:00;1;07:05;1;07:05;1;07:10;;;;;1;07:10;1;07:20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;07:20;1;07:20;2;02:19;2;02:20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;02:20;2;02:50;;;;;2;02:50;2;02:55;2;02:55;2;03:00;2;03:00;2;03:05;2;03:05;2;03:25;
