SCENARIO_ID;ARRIVAL_ID;BEAM;LENGTH;DRAFT;IS_NEW_PANAMAX;IS_PASSENGER;IS_RORO;ARRIVAL_D;ARRIVAL_H;METOCEAN_QUEUE_TIME;BERTH_QUEUE_TIME;CHANNEL_QUEUE_TIME;TOTAL_QUEUE_TIME;BERTH;TRANSIT_IN_START_D;TRANSIT_IN_START_H;BERTH_ARRIVAL_D;BERTH_ARRIVAL_H;OPERATION_START_D;OPERATION_START_H;OPERATION_END_D;OPERATION_END_H;BERTH_DEPARTURE_D;BERTH_DEPARTURE_H;TRANSIT_OUT_END_D;TRANSIT_OUT_END_H
S005;1;18.0;116.9;4.8;0;0;0;1;20:20;0.08;0.0;0.33;0.42;BERÇO Ageo I;1;20:45;1;22:05;1;22:05;2;18:46;2;18:50;2;19:50
S005;2;32.0;229.07;7.56;0;0;0;1;03:04;0.0;0.0;0.02;0.02;BERÇO ARM 37;1;03:05;1;04:05;1;04:05;3;21:10;3;21:10;3;21:50
S005;3;40.0;304.16;11.0;0;0;0;1;20:18;0.0;0.0;0.03;0.03;BERÇO BTP 1;1;20:20;1;21:25;1;21:25;2;05:49;2;05:50;2;07:15
S005;4;23.0;164.34;7.8;0;0;0;1;08:00;0.08;0.0;0.0;0.08;BERÇO DOW;1;08:05;1;08:45;1;08:45;2;09:00;2;09:40;2;10:40
S005;5;40.0;299.99;9.8;0;0;0;1;19:30;0.08;0.0;0.0;0.08;BERÇO DPW 2;1;19:35;1;20:30;1;20:30;3;09:55;3;09:55;3;11:10
S005;6;43.0;270.93;11.3;0;0;0;1;09:18;0.0;0.0;0.03;0.03;BERÇO DPW 1;1;09:20;1;10:15;1;10:15;2;16:20;2;16:20;2;17:35
S005;7;34.0;201.9;7.99;0;0;0;1;06:00;0.08;0.0;0.0;0.08;BERÇO DPW 4;1;06:05;1;07:20;1;07:20;4;03:58;4;03:40;4;04:35
S005;8;34.0;201.9;8.15;0;0;0;1;21:30;0.08;0.0;0.0;0.08;BERÇO DPW 3;1;21:35;1;22:50;1;22:50;3;23:02;3;23:40;4;00:35
S005;9;18.0;85.34;4.2;0;0;0;1;18:05;0.08;0.0;0.0;0.08;BERÇO SAIPEM 2;1;18:10;1;19:00;1;19:00;4;17:25;4;17:05;4;17:35
S005;10;40.0;272.08;10.6;0;0;0;1;06:30;0.08;0.0;0.0;0.08;BERÇO TECON 3;1;06:35;1;07:20;1;07:20;2;02:19;2;02:20;2;03:25
S005;11;42.0;334.07;12.0;0;0;0;1;15:53;0.0;0.0;0.03;0.03;BERÇO TECON 1.2;1;15:55;1;16:40;1;16:40;2;07:50;2;07:50;2;08:55
S005;12;25.0;182.47;8.2;0;0;0;1;16:45;0.08;0.0;0.0;0.08;BERÇO TECON 1.1;1;16:50;1;17:35;1;17:35;2;13:31;2;13:45;2;14:50
S005;13;33.0;209.75;11.0;0;0;0;1;11:24;0.0;0.0;0.02;0.02;BERÇO TECON 2;1;11:25;1;12:10;1;12:10;2;03:36;2;03:40;2;04:45
S005;14;32.0;189.99;5.6;0;0;0;2;03:18;0.08;0.0;0.62;0.7;BERÇO ARM 20/21;2;04:00;2;05:15;2;05:15;3;15:15;3;15:15;3;16:10
S005;16;32.0;199.9;6.6;0;0;0;2;14:00;0.83;25.83;0.0;26.67;BERÇO ARM 20/21;3;16:40;3;17:55;3;17:55;5;12:22;;;;;;
S005;17;32.0;294.09;10.0;0;0;0;2;14:00;0.08;0.0;0.83;0.92;BERÇO BTP 2;2;14:55;2;16:00;2;16:00;3;06:45;3;06:45;3;08:10
S005;18;45.0;299.9;11.8;0;0;0;2;15:23;0.0;0.0;0.03;0.03;BERÇO BTP 1;2;15:25;2;16:30;2;16:30;3;09:18;3;10:10;3;11:35
S005;19;43.0;272.0;12.1;0;0;0;2;12:00;0.08;0.0;0.0;0.08;BERÇO BTP 3;2;12:05;2;13:10;2;13:10;3;05:53;;;;;;
S005;20;32.0;201.8;8.0;0;0;0;2;12:00;0.08;0.0;0.42;0.5;BERÇO ARM 35P1;2;12:30;2;13:35;2;13:35;5;12:47;5;12:35;5;13:20
S005;22;31.0;198.0;9.7;0;0;0;2;08:06;0.08;0.0;0.82;0.9;BERÇO CS 02;2;09:00;2;10:00;2;10:00;8;01:20;8;01:05;8;02:25
S005;23;25.0;156.53;8.7;0;0;0;2;00:35;0.08;0.0;0.0;0.08;BERÇO AL 02;2;00:40;2;02:10;2;02:10;4;04:44;4;04:25;4;05:35
S005;25;17.0;75.2;4.5;0;0;0;2;10:30;0.08;0.0;0.17;0.25;BERÇO SAIPEM 1;2;10:45;2;11:35;2;11:35;2;17:55;2;17:55;2;18:25
S005;26;32.0;189.99;12.74;0;0;0;2;03:18;0.08;0.0;0.12;0.2;BERÇO TERMAG;2;03:30;2;04:15;2;04:15;6;21:45;6;21:25;6;22:30
S005;27;24.0;145.0;9.5;0;0;0;3;16:00;0.08;0.0;0.17;0.25;BERÇO IB SP;3;16:15;3;17:15;3;17:15;5;16:00;5;15:40;5;17:00
S005;28;18.0;116.26;4.9;0;0;0;3;10:18;0.08;0.0;1.7;1.78;BERÇO CS 04;3;12:05;3;13:25;3;13:25;3;21:42;3;22:30;3;23:30
S005;30;40.0;276.2;8.3;0;0;0;3;11:03;0.08;0.53;0.0;0.62;BERÇO BTP 1;3;11:40;3;13:05;3;13:05;3;19:30;3;19:30;3;20:35
S005;31;45.0;299.9;11.5;0;0;0;3;07:00;0.08;1.17;0.0;1.25;BERÇO BTP 2;3;08:15;3;09:40;3;09:40;3;23:38;3;23:55;4;01:00
S005;35;32.0;225.0;9.0;0;0;0;3;03:00;0.5;20.58;1.0;22.08;BERÇO DPW 3;4;01:05;4;02:20;4;02:20;10;03:33;;;;;;
S005;36;32.0;183.1;7.85;0;0;0;3;22:00;0.08;0.0;0.0;0.08;BERÇO AL 03;3;22:05;3;23:35;3;23:35;5;04:27;5;04:10;5;05:20
S005;38;32.0;182.88;8.0;0;0;0;3;14:30;0.08;0.0;0.83;0.92;BERÇO AL 01;3;15:25;3;16:55;3;16:55;5;03:19;5;03:00;5;04:10
S005;39;30.0;222.14;9.7;0;0;0;3;02:00;0.08;0.0;0.0;0.08;BERÇO TECON 1.2;3;02:05;3;02:50;3;02:50;3;08:01;3;09:00;3;10:05
S005;40;37.0;227.92;11.7;0;0;0;3;12:30;0.08;0.0;0.33;0.42;BERÇO TECON 2;3;12:55;3;13:40;3;13:40;4;13:51;4;13:35;4;14:40
S005;43;26.0;170.0;7.55;0;0;0;3;02:00;0.08;0.0;0.42;0.5;BERÇO CUTRALE;3;02:30;3;03:30;3;03:30;5;11:34;5;11:15;5;11:55
S005;44;25.0;195.92;6.3;0;0;1;3;07:29;0.08;0.0;1.1;1.18;BERÇO TEV;3;08:40;3;09:50;3;09:50;3;14:20;3;14:30;3;15:20
S005;45;33.0;224.96;7.0;0;0;0;3;11:36;0.08;0.0;0.82;0.9;BERÇO OUT 2;3;12:30;3;13:40;3;13:40;7;13:50;;;;;;
