SCENARIO_ID;ARRIVAL_ID;LOA;BEAM;DRAFT;TERMINAL_ID;BERTH;CATEGORY;DETAILED_CATEGORY;PROCESS_TIME
S005;1;116.9;18.0;4.8;30.0;BERÇO Ageo I;CARGO;N/A;1241
S005;2;229.07;32.0;7.56;56.0;BERÇO ARM 37;CARGO;N/A;3905
S005;3;304.16;40.0;11.0;21.0;BERÇO BTP 1;CARGO;N/A;504
S005;4;164.34;23.0;7.8;35.0;BERÇO DOW;CARGO;N/A;1455
S005;5;299.99;40.0;9.8;38.0;BERÇO DPW 2;CARGO;N/A;2245
S005;6;270.93;43.0;11.3;38.0;BERÇO DPW 1;CARGO;N/A;1805
S005;7;201.9;34.0;7.99;58.0;BERÇO DPW 4;CARGO;N/A;4118
S005;8;201.9;34.0;8.15;58.0;BERÇO DPW 3;CARGO;N/A;2892
S005;9;85.34;18.0;4.2;36.0;BERÇO SAIPEM 2;CARGO;N/A;4225
S005;10;272.08;40.0;10.6;22.0;BERÇO TECON 3;CARGO;N/A;1139
S005;11;334.07;42.0;12.0;22.0;BERÇO TECON 1.2;CARGO;N/A;910
S005;12;182.47;25.0;8.2;22.0;BERÇO TECON 1.1;CARGO;N/A;1196
S005;13;209.75;33.0;11.0;22.0;BERÇO TECON 2;CARGO;N/A;926
S005;14;189.99;32.0;5.6;55.0;BERÇO ARM 20/21;CARGO;N/A;2040
S005;16;199.9;32.0;6.6;55.0;BERÇO ARM 20/21;CARGO;N/A;2547
S005;17;294.09;32.0;10.0;21.0;BERÇO BTP 2;CARGO;N/A;885
S005;18;299.9;45.0;11.8;21.0;BERÇO BTP 1;CARGO;N/A;1008
S005;19;272.0;43.0;12.1;21.0;BERÇO BTP 3;CARGO;N/A;1003
S005;20;201.8;32.0;8.0;44.0;BERÇO ARM 35P1;CARGO;N/A;4272
S005;22;198.0;31.0;9.7;47.0;BERÇO CS 02;CARGO;N/A;8120
S005;23;156.53;25.0;8.7;49.0;BERÇO AL 02;CARGO;N/A;3034
S005;25;75.2;17.0;4.5;36.0;BERÇO SAIPEM 1;CARGO;N/A;380
S005;26;189.99;32.0;12.74;25.0;BERÇO TERMAG;CARGO;N/A;6810
S005;27;145.0;24.0;9.5;29.0;BERÇO IB SP;CARGO;N/A;2805
S005;28;116.26;18.0;4.9;57.0;BERÇO CS 04;CARGO;N/A;497
