SCENARIO_ID;ARRIVAL_ID;BEAM;LENGTH;DRAFT;IS_NEW_PANAMAX;IS_PASSENGER;IS_RORO;ARRIVAL_D;ARRIVAL_H;METOCEAN_QUEUE_TIME;BERTH_QUEUE_TIME;CHANNEL_QUEUE_TIME;TOTAL_QUEUE_TIME;OPERATION_DURATION;TERMINAL;BERTH;TRANSIT_IN_START_D;TRANSIT_IN_START_H;BERTH_ARRIVAL_D;BERTH_ARRIVAL_H;OPERATION_START_D;OPERATION_START_H;OPERATION_END_D;OPERATION_END_H;BERTH_DEPARTURE_D;BERTH_DEPARTURE_H;TRANSIT_OUT_END_D;TRANSIT_OUT_END_H
S002;130;32.0;199.98;6.48;0;0;0;1;15:36;0.0;0.0;0.0;0.0;75.5;AUTORIDADE_PONTA;BERÇO ARM 37;1;15:40;1;16:40;1;16:40;4;20:10;;;;;;
S002;131;48.0;299.99;11.3;1;0;0;1;00:45;0.08;0.0;0.0;0.08;14.416666666666666;BTP;BERÇO BTP 3;1;00:50;1;02:20;1;02:20;1;16:45;1;17:30;1;19:20
S002;132;32.0;231.0;12.0;0;0;0;1;13:54;1.67;0.0;0.17;1.83;14.083333333333334;DPW;BERÇO DPW 1;1;15:45;1;17:20;1;17:20;2;07:25;2;07:45;2;09:00
S002;133;32.0;225.0;9.25;0;0;0;1;01:10;0.08;0.0;0.0;0.08;56.75;DPW CELULOSE;BERÇO DPW 4;1;01:15;1;02:45;1;02:45;3;11:30;3;11:30;3;12:40
S002;134;30.0;199.2;11.15;0;0;0;1;15:00;0.58;0.0;0.0;0.58;12.333333333333334;OUTROS_MACUCO;BERÇO ARM 35P1;1;15:35;1;16:40;1;16:40;2;05:00;2;05:00;2;05:45
S002;135;38.0;333.33;8.6;0;1;0;1;06:25;0.08;0.0;0.0;0.08;11.416666666666666;CONCAIS;BERÇO ARM 31/32;1;06:30;1;07:40;1;07:40;1;19:05;1;19:05;1;20:15
S002;136;28.0;186.36;9.0;0;0;0;1;06:00;0.08;0.0;0.0;0.08;12.083333333333334;SANTOSBR;BERÇO TECON 3;1;06:05;1;07:15;1;07:15;1;19:20;1;19:20;1;20:10
S002;137;32.0;258.89;9.0;0;0;0;1;01:42;0.0;0.0;0.0;0.0;1.4166666666666667;SANTOSBR;BERÇO TECON 2;1;01:45;1;02:35;1;02:35;1;04:00;1;04:00;1;05:10
S002;138;32.0;199.9;7.6;0;0;0;1;03:12;1.25;0.0;0.75;2.0;95.0;TEAG;BERÇO TEAG;1;05:15;1;06:20;1;06:20;5;05:20;;;;;;
S002;139;32.0;190.0;11.71;0;0;0;1;17:00;0.08;0.0;0.0;0.08;4.25;TGRAO;BERÇO OUT 3;1;17:05;1;18:20;1;18:20;1;22:35;1;22:35;1;23:30
S002;140;28.0;179.87;8.5;0;0;0;1;08:45;0.08;0.0;0.0;0.08;19.75;TIPLAM;BERÇO TIPLAM 3;1;08:50;1;10:45;1;10:45;2;06:30;2;06:30;2;08:55
S002;141;32.31;189.99;9.18;0;0;0;1;07:00;16.67;0.0;0.33;17.0;125.75;USIMINAS;BERÇO USIMINAS 3;2;00:00;2;01:55;2;01:55;7;07:40;;;;;;
S002;142;38.0;230.0;10.92;0;0;0;2;01:10;0.5;0.0;0.0;0.5;30.25;ADM;BERÇO ARM 39;2;01:40;2;02:40;2;02:40;3;08:55;3;11:30;3;12:10
S002;143;37.0;228.41;7.42;0;0;0;2;18:24;0.92;0.0;0.0;0.92;68.5;AUTORIDADE_OUT;BERÇO ARM 20/21;2;19:20;2;20:40;2;20:40;5;17:10;;;;;;
S002;144;48.0;299.88;9.8;1;0;0;2;23:50;0.17;0.0;0.0;0.17;11.666666666666666;BTP;BERÇO BTP 2;3;00:00;3;01:50;3;01:50;3;13:30;3;13:30;3;15:00
S002;145;23.0;164.34;8.0;0;0;0;2;03:00;0.08;0.0;0.0;0.08;25.083333333333332;DOW;BERÇO DOW;2;03:05;2;03:45;2;03:45;3;04:50;3;04:50;3;05:50
S002;146;40.0;306.0;12.0;0;0;0;2;12:30;4.92;0.0;0.58;5.5;19.25;DPW;BERÇO DPW 2;2;18:00;2;19:35;2;19:35;3;14:50;3;14:50;3;16:05
S002;147;36.0;199.99;9.85;0;0;0;2;14:15;3.17;0.0;0.0;3.17;23.916666666666668;OUTROS_MACUCO;BERÇO ARM 35P1;2;17:25;2;18:30;2;18:30;3;18:25;3;20:35;3;21:20
