SCENARIO_ID;ARRIVAL_ID;BEAM;LENGTH;DRAFT;IS_NEW_PANAMAX;IS_PASSENGER;IS_RORO;ARRIVAL_D;ARRIVAL_H;METOCEAN_QUEUE_TIME;BERTH_QUEUE_TIME;CHANNEL_QUEUE_TIME;TOTAL_QUEUE_TIME;OPERATION_DURATION;REAL_DOCK_D;REAL_DOCK_H;REAL_UNDOCK_D;REAL_UNDOCK_H;REAL_BERTH;TERMINAL;BERTH;TRANSIT_IN_START_D;TRANSIT_IN_START_H;BERTH_ARRIVAL_D;BERTH_ARRIVAL_H;OPERATION_START_D;OPERATION_START_H;OPERATION_END_D;OPERATION_END_H;BERTH_DEPARTURE_D;BERTH_DEPARTURE_H;TRANSIT_OUT_END_D;TRANSIT_OUT_END_H
S002;2;32.0;229.07;7.56;0;0;0;-8;03:04;55.0;0.0;1.0;56.0;65.08333333333333;4;11.0:10.0;7;9.0:55.0;BERÇO ARM 37;AUTORIDADE_PONTA;BERÇO ARM 37;3;08:05;3;09:05;3;09:05;6;02:10;;;;;;
S002;13;33.0;209.75;11.0;0;0;0;-8;11:24;0.0;3.17;0.0;3.17;15.5;1;21.0:0.0;2;18.0:5.0;BERÇO TECON 1.2;SANTOSBR;BERÇO TECON 1.2;1;03:15;1;04:05;1;04:05;1;19:35;1;19:50;1;21:00
S002;35;32.0;225.0;9.0;0;0;0;-6;03:00;0.0;0.0;0.5;0.5;145.25;1;21.0:0.0;8;17.0:50.0;BERÇO DPW 4;DPW CELULOSE;BERÇO DPW 3;1;00:35;1;02:05;1;02:05;7;03:20;;;;;;
S002;71;28.0;179.99;8.0;0;0;0;-3;22:48;2.75;18.5;0.0;21.25;72.91666666666667;1;18.0:5.0;5;18.0:18.0;BERÇO Ageo I;AGEO_NORTE;BERÇO Ageo I;1;21:20;1;23:00;1;23:00;4;23:55;5;00:00;5;01:20
S002;77;33.0;199.9;7.5;0;0;0;-3;16:30;0.0;0.0;6.17;6.17;95.66666666666667;1;7.0:40.0;5;23.0:42.0;BERÇO VAL;AUTORIDADE_SABOO;BERÇO CS 04;1;06:15;1;07:55;1;07:55;5;07:35;5;09:50;5;11:10
S002;78;33.0;180.4;10.28;0;0;0;-3;13:00;0.0;0.0;0.17;0.17;159.0;1;18.0:20.0;8;13.0:30.0;BERÇO ARM 30;BRACELL;BERÇO ARM 35P1;1;00:15;1;01:00;1;01:00;7;16:00;;;;;;
S002;80;32.0;263.23;10.1;0;0;0;-3;13:30;23.92;11.42;0.0;35.33;9.5;3;12.0:31.0;4;6.0:33.0;BERÇO DPW 1;DPW;BERÇO DPW 1;2;11:25;2;13:00;2;13:00;2;22:30;2;22:30;2;23:45
S002;90;32.3;189.99;6.19;0;0;0;-3;07:00;0.0;0.0;0.0;0.0;61.5;2;4.0:42.0;5;3.0:14.0;BERÇO TIPLAM 3;TIPLAM;BERÇO TIPLAM 3;1;00:00;1;02:25;1;02:25;3;15:55;3;19:45;3;21:40
S002;99;37.0;227.92;9.9;0;0;0;-2;12:30;0.0;7.67;0.0;7.67;4.833333333333333;1;3.0:40.0;1;18.0:10.0;BERÇO TECON 1.2;SANTOSBR;BERÇO TECON 3;1;07:45;1;08:55;1;08:55;1;13:45;1;15:20;1;16:10
S002;101;32.0;189.99;6.25;0;0;0;-1;10:06;28.92;14.67;0.0;43.58;31.583333333333332;3;14.0:50.0;5;9.0:15.0;BERÇO ARM 20/21;AUTORIDADE_OUT;BERÇO ARM 20/21;2;19:40;2;21:00;2;21:00;4;04:35;4;04:35;4;05:35
