SCENARIO_ID;ARRIVAL_ID;BEAM;LENGTH;DRAFT;IS_NEW_PANAMAX;IS_PASSENGER;IS_RORO;ARRIVAL_D;ARRIVAL_H;METOCEAN_QUEUE_TIME;BERTH_QUEUE_TIME;CHANNEL_QUEUE_TIME;TOTAL_QUEUE_TIME;TERMINAL;BERTH;TRANSIT_IN_START_D;TRANSIT_IN_START_H;BERTH_ARRIVAL_D;BERTH_ARRIVAL_H;OPERATION_START_D;OPERATION_START_H;OPERATION_END_D;OPERATION_END_H;BERTH_DEPARTURE_D;BERTH_DEPARTURE_H;TRANSIT_OUT_END_D;TRANSIT_OUT_END_H
S002;2;32.0;229.07;7.56;0;0;0;-8;03:04;50.25;0.0;0.0;50.25;AUTORIDADE_PONTA;BERÇO ARM 37;3;02:20;3;03:20;3;03:20;5;20:25;5;20:25;5;21:05
S002;13;33.0;209.75;11.0;0;0;0;-8;11:24;0.0;3.17;0.0;3.17;SANTOSBR;BERÇO TECON 1.2;1;03:15;1;04:05;1;04:05;1;19:35;1;19:35;1;20:45
S002;21;28.0;179.99;10.01;0;0;0;-7;09:00;263.92;0.0;1.0;264.92;OUTROS_OUT;BERÇO ARM 22/23;12;01:00;12;02:00;12;02:00;14;09:35;14;09:35;14;10:55
S002;26;32.0;189.99;12.74;0;0;0;-7;03:18;190.75;0.0;0.83;191.58;TERMAG;BERÇO TERMAG;8;23:40;9;00:25;9;00:25;13;17:55;13;16:15;13;17:20
S002;35;32.0;225.0;9.0;0;0;0;-6;03:00;2.75;14.83;1.67;19.25;DPW CELULOSE;BERÇO DPW 4;1;19:20;1;20:50;1;20:50;7;22:05;8;07:10;8;08:20
S002;71;28.0;179.99;8.0;0;0;0;-3;22:48;2.75;15.67;0.0;18.42;AGEO_NORTE;BERÇO Ageo I;1;18:30;1;20:10;1;20:10;4;21:05;5;00:00;5;01:20
S002;77;33.0;199.9;7.5;0;0;0;-3;16:30;0.0;0.0;4.17;4.17;AUTORIDADE_SABOO;BERÇO CS 04;1;04:15;1;05:55;1;05:55;5;05:35;5;07:15;5;08:35
S002;78;33.0;180.4;10.28;0;0;0;-3;13:00;0.0;0.0;3.58;3.58;BRACELL;BERÇO ARM 35P2;1;03:40;1;04:30;1;04:30;7;19:30;7;19:30;7;20:40
S002;80;32.0;263.23;10.1;0;0;0;-3;13:30;23.92;11.42;0.0;35.33;DPW;BERÇO DPW 1;2;11:25;2;13:00;2;13:00;2;22:30;2;22:30;2;23:45
S002;90;32.3;189.99;6.19;0;0;0;-3;07:00;0.0;0.0;0.75;0.75;TIPLAM;BERÇO TIPLAM 3;1;00:50;1;03:15;1;03:15;3;16:45;3;19:55;3;21:50
S002;98;43.0;346.98;9.8;1;0;0;-2;23:06;488.67;0.0;0.33;489.0;SANTOSBR;BERÇO TECON 2;21;09:05;21;10:00;21;10:00;21;18:20;21;22:05;21;23:20
S002;99;37.0;227.92;9.9;0;0;0;-2;12:30;0.0;10.5;0.0;10.5;SANTOSBR;BERÇO TECON 1.1;1;10:35;1;11:45;1;11:45;1;16:35;1;16:35;1;17:25
S002;100;29.0;175.53;9.94;0;0;0;-2;01:00;119.92;0.0;1.0;120.92;TIPLAM;BERÇO TIPLAM 4;6;01:00;6;02:55;6;02:55;12;18:15;12;13:55;12;16:20
S002;101;32.0;189.99;6.25;0;0;0;-1;10:06;28.92;12.83;0.0;41.75;AUTORIDADE_OUT;BERÇO ARM 20/21;2;17:50;2;19:10;2;19:10;4;02:45;4;03:40;4;04:40
S002;102;35.0;228.95;7.3;0;0;0;-1;21:00;214.83;0.0;0.25;215.08;AUTORIDADE_PONTA;BERÇO ARM 37;9;23:10;10;00:10;10;00:10;12;00:00;12;02:05;12;02:45
S002;104;48.0;328.46;14.5;1;0;0;-1;05:06;0.0;0.0;1.17;1.17;BTP;BERÇO BTP 1;1;01:15;1;02:45;1;02:45;2;05:20;2;07:50;2;09:40
S002;108;45.86;334.8;13.9;0;0;0;-1;23:36;2.75;16.08;0.0;18.83;DPW;BERÇO DPW 2;1;18:55;1;20:10;1;20:10;3;05:45;3;07:10;3;08:45
S002;109;30.0;199.08;11.05;0;0;0;-1;12:55;71.92;0.0;0.42;72.33;OUTROS_OUT;BERÇO ARM 22/23;4;00:25;4;01:25;4;01:25;7;13:25;7;13:30;7;14:50
S002;111;28.0;179.99;9.33;0;0;0;-1;09:00;0.0;0.0;0.0;0.0;OUTROS_SABOO;BERÇO CS 02;1;00:00;1;01:20;1;01:20;8;00:50;7;23:20;8;01:00
