SCENARIO_ID;ARRIVAL_ID;MANEUVER_ID
S012;1;56
S012;6;106
S012;16;114
S012;29;87
S012;73;123
S012;81;54
S012;83;84
S012;85;77
S012;90;1
S012;91;122
S012;96;103
S012;100;108
S012;103;63
S012;107;72
S012;109;27
S012;110;34
S012;114;7
S012;115;56
S012;116;86
S012;118;85
S012;122;5
S012;125;109
S012;128;85
S012;129;68
S012;130;68
S012;131;89
S012;132;110
S012;133;101
S012;134;103
S012;135;151
S012;136;134
S012;137;120
S012;138;84
S012;139;145
S012;140;56
S012;141;143
S012;142;60
S012;143;82
S012;144;147
S012;145;141
S012;146;106
S012;147;110
S012;148;85
S012;149;145
S012;151;5
S012;152;51
S012;153;27
S012;154;108
S012;155;64
S012;156;68
S012;157;33
S012;158;58
S012;159;43
S012;160;104
S012;161;141
S012;162;106
S012;163;84
S012;164;54
S012;165;86
S012;166;3
S012;167;146
S012;169;63
S012;170;101
S012;171;110
S012;173;3
S012;175;106
S012;177;66
S012;178;8
S012;179;66
S012;180;6
S012;181;68
S012;182;106
S012;183;64
S012;184;84
S012;185;42
S012;186;84
S012;187;60
S012;188;5
S012;189;117
S012;190;110
S012;191;84
S012;192;67
S012;193;141
S012;194;86
S012;195;95
S012;196;65
S012;199;82
S012;200;106
S012;201;108
S012;202;84
S012;203;58
S012;205;104
S012;206;135
S012;207;143
S012;208;115
S012;209;95
S012;212;74
S012;213;20
S012;214;1
S012;216;105
S012;217;153
S012;218;99
S012;219;10
S012;221;108
S012;222;84
S012;223;64
S012;224;92
S012;225;110
S012;226;104
S012;227;51
S012;228;43
S012;229;86
S012;232;108
S012;233;110
S012;234;68
S012;237;97
S012;238;3
S012;239;106
S012;240;123
S012;242;147
S012;243;117
S012;244;43
S012;245;110
S012;246;84
S012;248;109
S012;250;108
S012;251;93
S012;252;115
S012;253;63
S012;254;115
S012;259;27
S012;260;151
S012;261;43
S012;266;106
S012;268;8
S012;269;94
S012;271;95
S012;24;27
S012;30;45
S012;38;143
S012;76;89
S012;77;154
S012;80;2
S012;87;110
S012;92;84
S012;98;94
S012;105;140
S012;106;17
S012;108;108
S012;111;104
S012;112;95
S012;113;86
S012;117;65
S012;119;92
S012;121;106
S012;123;3
S012;124;97
S012;127;51
