SCENARIO_ID;ARRIVAL_ID;BEAM;LENGTH;DRAFT;IS_NEW_PANAMAX;IS_PASSENGER;IS_RORO;ARRIVAL_D;ARRIVAL_H;METOCEAN_QUEUE_TIME;BERTH_QUEUE_TIME;CHANNEL_QUEUE_TIME;TOTAL_QUEUE_TIME;METOCEAN_UNDOCK_QUEUE_TIME;CHANNEL_UNDOCK_QUEUE_TIME;TOTAL_UNDOCK_QUEUE_TIME;OPERATION_DURATION;REAL_DOCK_D;REAL_DOCK_H;REAL_UNDOCK_D;REAL_UNDOCK_H;REAL_BERTH;TERMINAL;BERTH;TRANSIT_IN_START_D;TRANSIT_IN_START_H;BERTH_ARRIVAL_D;BERTH_ARRIVAL_H;OPERATION_START_D;OPERATION_START_H;OPERATION_END_D;OPERATION_END_H;BERTH_DEPARTURE_D;BERTH_DEPARTURE_H;TRANSIT_OUT_END_D;TRANSIT_OUT_END_H
S012;1;32.0;229.07;7.56;0;0;0;-8;03:04;261.17;0.0;1.17;262.33;0.0;0.0;0.0;65.08333333333333;4;11:10;7;09:55;BERÇO ARM 37;AUTORIDADE_PONTA;BERÇO ARM 37;3;01:25;3;02:25;3;02:25;5;19:30;5;19:30;5;20:10
S012;6;33.0;209.75;11.0;0;0;0;-8;11:24;204.58;0.83;0.0;205.42;0.0;0.0;0.0;17.083333333333332;1;21:00;2;18:05;BERÇO TECON 1.2;SANTOSBR;BERÇO TECON 1.2;1;00:50;1;01:40;1;01:40;1;18:45;1;18:45;1;19:55
S012;16;32.0;189.99;12.74;0;0;0;-7;03:18;380.67;0.0;0.08;380.75;0.17;0.0;0.17;135.08333333333334;10;13:42;16;07:23;BERÇO TERMAG;TERMAG;BERÇO TERMAG;9;00:05;9;00:50;9;00:50;14;15:55;14;16:05;14;17:10
S012;19;28.0;179.99;7.5;0;0;0;-7;09:00;452.5;0.0;0.0;452.5;0.0;0.0;0.0;58.416666666666664;13;09:35;16;00:25;BERÇO ARM 23;OUTROS_OUT;BERÇO ARM 23;12;05:30;12;06:25;12;06:25;14;16:50;14;16:50;14;18:05
S012;29;32.0;225.0;9.0;0;0;0;-6;03:00;165.0;0.0;0.5;165.5;5.08;3.25;8.33;163.91666666666666;1;21:00;8;17:50;BERÇO DPW 4;DPW - CGNC;BERÇO DPW 3;1;00:30;1;02:00;1;02:00;7;21:55;8;06:15;8;07:25
S012;73;32.3;189.99;6.19;0;0;0;-3;07:00;89.0;0.0;-89.0;0.0;0.08;0.08;0.17;64.58333333333333;2;04:42;5;03:14;BERÇO TIPLAM 3;TIPLAM - GSA - E;BERÇO TIPLAM 2;1;00:00;1;02:25;1;02:25;3;19:00;3;19:10;3;21:05
S012;81;33.0;180.4;10.28;0;0;0;-3;13:00;83.0;0.0;0.25;83.25;0.0;0.0;0.0;159.66666666666666;1;18:20;8;13:30;BERÇO ARM 30;BRACELL;BERÇO ARM 35P1;1;00:15;1;01:00;1;01:00;7;16:40;7;16:40;7;17:45
S012;83;32.0;263.23;10.1;0;0;0;-3;13:30;105.17;1.33;8.58;115.08;0.0;0.0;0.0;10.583333333333334;3;12:31;4;06:33;BERÇO DPW 1;DPW - CGC;BERÇO DPW 1;2;08:35;2;09:50;2;09:50;2;20:25;2;20:25;2;22:00
S012;85;33.0;199.9;7.5;0;0;0;-3;16:30;79.5;0.0;4.25;83.75;0.0;0.33;0.33;101.66666666666667;1;07:40;5;23:42;BERÇO VAL;AUTORIDADE_SABOO;BERÇO CS 04;1;04:15;1;05:55;1;05:55;5;11:35;5;11:55;5;13:15
S012;90;28.0;179.99;8.0;0;0;0;-3;22:48;74.83;15.42;0.0;90.25;0.0;0.0;0.0;72.91666666666667;1;18:05;5;18:18;BERÇO Ageo I;AGEO_TERMINAIS;BERÇO Ageo I;1;17:05;1;18:45;1;18:45;4;19:40;4;19:40;4;21:00
S012;91;29.0;175.53;9.94;0;0;0;-2;01:00;191.0;0.0;0.0;191.0;0.0;0.25;0.25;161.16666666666666;7;19:25;14;15:35;BERÇO TIPLAM 1;TIPLAM - GSM - I;BERÇO TIPLAM 2;6;00:00;6;01:55;6;01:55;12;19:05;12;19:20;12;21:45
S012;96;37.0;227.92;9.9;0;0;0;-2;12:30;59.5;7.75;0.0;67.25;0.08;0.0;0.08;6.333333333333333;1;03:40;1;18:10;BERÇO TECON 1.2;SANTOSBR;BERÇO TECON 3;1;07:45;1;08:55;1;08:55;1;15:15;1;15:20;1;16:10
S012;100;43.0;346.98;9.8;1;0;0;-2;23:06;56.83;3.17;0.0;60.0;0.0;0.0;0.0;10.583333333333334;1;15:10;2;08:39;BERÇO TECON 2;SANTOSBR;BERÇO TECON 2;1;11:10;1;12:05;1;12:05;1;22:40;1;22:40;1;23:55
S012;103;48.0;328.46;14.5;0;0;0;-1;05:06;42.83;0.0;0.42;43.25;0.0;2.17;2.17;29.666666666666668;1;02:40;2;09:45;BERÇO BTP 3;BTP;BERÇO BTP 1;1;00:25;1;01:50;1;01:50;2;07:30;2;09:40;2;11:25
S012;107;28.0;179.99;9.33;0;0;0;-1;09:00;39.0;0.0;0.17;39.17;0.0;11.0;11.0;167.5;1;21:10;8;23:40;BERÇO CS 03;OUTROS_SABOO;BERÇO CS 02;1;00:10;1;01:30;1;01:30;8;01:00;8;12:00;8;13:40
S012;109;32.0;189.99;6.25;0;0;0;-1;10:06;60.83;1.33;12.75;74.92;0.0;0.0;0.0;37.75;3;14:50;5;09:15;BERÇO ARM 20/21;AUTORIDADE_OUT;BERÇO ARM 20/21;2;13:05;2;14:25;2;14:25;4;04:10;4;04:10;4;05:10
S012;110;30.0;199.08;7.5;0;0;0;-1;12:55;107.25;0.0;0.0;107.25;0.0;1.33;1.33;91.75;5;23:15;9;22:10;BERÇO ARM 23;OUTROS_OUT;BERÇO ARM 23;4;00:10;4;01:05;4;01:05;7;20:50;7;22:10;7;23:25
S012;114;24.0;146.6;5.8;0;0;0;-1;19:54;157.83;11.83;0.0;169.67;0.0;0.08;0.08;22.583333333333332;7;14:28;8;22:00;BERÇO AL 04;STOLTHAVEN;BERÇO AL 03;6;21:35;6;23:25;6;23:25;7;22:00;7;22:05;7;23:35
S012;115;35.0;228.95;7.3;0;0;0;-1;21:00;243.0;0.0;0.5;243.5;0.0;0.08;0.08;47.833333333333336;11;04:25;13;10:05;BERÇO ARM 37;AUTORIDADE_PONTA;BERÇO ARM 37;10;00:30;10;01:30;10;01:30;12;01:20;12;01:25;12;02:05
S012;116;45.86;334.8;13.9;0;0;0;-1;23:36;24.33;11.08;0.0;35.42;0.0;0.0;0.0;35.25;1;15:07;3;04:14;BERÇO DPW 2;DPW - CGC;BERÇO DPW 2;1;11:05;1;12:20;1;12:20;2;23:35;2;23:35;3;01:10
S012;118;40.0;284.71;10.1;0;0;0;0;04:12;163.75;8.83;0.0;172.58;0.0;0.08;0.08;19.75;8;21:25;9;18:37;BERÇO DPW 2;DPW - CGC;BERÇO DPW 2;7;08:50;7;10:25;7;10:25;8;06:10;8;06:15;8;07:30
S012;122;27.4;183.98;7.4;0;0;0;0;06:06;185.08;0.0;0.17;185.25;0.0;0.0;0.0;34.916666666666664;9;15:15;11;19:19;BERÇO AL 02;TRANSPETRO;BERÇO AL 02;7;23:25;8;01:15;8;01:15;9;12:10;9;12:10;9;13:40
S012;125;51.0;336.0;10.8;0;0;0;0;15:00;9.0;14.25;0.0;23.25;0.0;0.92;0.92;34.166666666666664;2;00:55;3;14:55;BERÇO TECON 3;SANTOSBR;BERÇO TECON 3;1;14:15;1;15:25;1;15:25;3;01:35;3;02:30;3;03:20
