SCENARIO_ID;ARRIVAL_ID;BEAM;LENGTH;DRAFT;IS_NEW_PANAMAX;IS_PASSENGER;IS_RORO;ARRIVAL_D;ARRIVAL_H;METOCEAN_QUEUE_TIME;BERTH_QUEUE_TIME;CHANNEL_QUEUE_TIME;TOTAL_QUEUE_TIME;TERMINAL;MARKET_CATEGORY;BERTH_ID;BERTH;IN_SEG1_ARR_D;IN_SEG1_ARR_H;IN_SEG1_DP_D;IN_SEG1_DP_H;IN_SEG2_ARR_D;IN_SEG2_ARR_H;IN_SEG2_DP_D;IN_SEG2_DP_H;IN_SEG3_ARR_D;IN_SEG3_ARR_H;IN_SEG3_DP_D;IN_SEG3_DP_H;IN_SEG4_ARR_D;IN_SEG4_ARR_H;IN_SEG4_DP_D;IN_SEG4_DP_H;IN_SEG5_ARR_D;IN_SEG5_ARR_H;IN_SEG5_DP_D;IN_SEG5_DP_H;IN_SEG6_ARR_D;IN_SEG6_ARR_H;IN_SEG6_DP_D;IN_SEG6_DP_H;IN_SEG7_ARR_D;IN_SEG7_ARR_H;IN_SEG7_DP_D;IN_SEG7_DP_H;IN_SEG8_ARR_D;IN_SEG8_ARR_H;IN_SEG8_DP_D;IN_SEG8_DP_H;IN_SEG9_ARR_D;IN_SEG9_ARR_H;IN_SEG9_DP_D;IN_SEG9_DP_H;IN_SEG10_ARR_D;IN_SEG10_ARR_H;IN_SEG10_DP_D;IN_SEG10_DP_H;IN_SEG11_ARR_D;IN_SEG11_ARR_H;IN_SEG11_DP_D;IN_SEG11_DP_H;IN_SEG12_ARR_D;IN_SEG12_ARR_H;IN_SEG12_DP_D;IN_SEG12_DP_H;IN_SEG13_ARR_D;IN_SEG13_ARR_H;IN_SEG13_DP_D;IN_SEG13_DP_H;IN_SEG14_ARR_D;IN_SEG14_ARR_H;IN_SEG14_DP_D;IN_SEG14_DP_H;IN_SEG15_ARR_D;IN_SEG15_ARR_H;IN_SEG15_DP_D;IN_SEG15_DP_H;IN_SEG16_ARR_D;IN_SEG16_ARR_H;IN_SEG16_DP_D;IN_SEG16_DP_H;IN_SEG17_ARR_D;IN_SEG17_ARR_H;IN_SEG17_DP_D;IN_SEG17_DP_H;BERTH_ARR_D;BERTH_ARR_H;OPERATION_START_D;OPERATION_START_H;OPERATION_END_D;OPERATION_END_H;BERTH_DP_D;BERTH_DP_H;OUT_SEG17_ARR_D;OUT_SEG17_ARR_H;OUT_SEG17_DP_D;OUT_SEG17_DP_H;OUT_SEG16_ARR_D;OUT_SEG16_ARR_H;OUT_SEG16_DP_D;OUT_SEG16_DP_H;OUT_SEG15_ARR_D;OUT_SEG15_ARR_H;OUT_SEG15_DP_D;OUT_SEG15_DP_H;OUT_SEG14_ARR_D;OUT_SEG14_ARR_H;OUT_SEG14_DP_D;OUT_SEG14_DP_H;OUT_SEG13_ARR_D;OUT_SEG13_ARR_H;OUT_SEG13_DP_D;OUT_SEG13_DP_H;OUT_SEG12_ARR_D;OUT_SEG12_ARR_H;OUT_SEG12_DP_D;OUT_SEG12_DP_H;OUT_SEG11_ARR_D;OUT_SEG11_ARR_H;OUT_SEG11_DP_D;OUT_SEG11_DP_H;OUT_SEG10_ARR_D;OUT_SEG10_ARR_H;OUT_SEG10_DP_D;OUT_SEG10_DP_H;OUT_SEG9_ARR_D;OUT_SEG9_ARR_H;OUT_SEG9_DP_D;OUT_SEG9_DP_H;OUT_SEG8_ARR_D;OUT_SEG8_ARR_H;OUT_SEG8_DP_D;OUT_SEG8_DP_H;OUT_SEG7_ARR_D;OUT_SEG7_ARR_H;OUT_SEG7_DP_D;OUT_SEG7_DP_H;OUT_SEG6_ARR_D;OUT_SEG6_ARR_H;OUT_SEG6_DP_D;OUT_SEG6_DP_H;OUT_SEG5_ARR_D;OUT_SEG5_ARR_H;OUT_SEG5_DP_D;OUT_SEG5_DP_H;OUT_SEG4_ARR_D;OUT_SEG4_ARR_H;OUT_SEG4_DP_D;OUT_SEG4_DP_H;OUT_SEG3_ARR_D;OUT_SEG3_ARR_H;OUT_SEG3_DP_D;OUT_SEG3_DP_H;OUT_SEG2_ARR_D;OUT_SEG2_ARR_H;OUT_SEG2_DP_D;OUT_SEG2_DP_H;OUT_SEG1_ARR_D;OUT_SEG1_ARR_H;OUT_SEG1_DP_D;OUT_SEG1_DP_H;NON_PRODUCTIVE_TIME_SPENT
S014;1;32.0;229.07;7.56;0;0;0;-8;03:04;260.75;0.0;0.0;260.75;AUTORIDADE_PONTA;CGNC;28;BERÇO ARM 37;2;23:50;3;00:10;3;00:10;3;00:15;3;00:15;3;00:20;3;00:20;3;00:50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;00:50;3;00:50;5;17:55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S014;6;33.0;209.75;11.0;0;0;0;-8;11:24;204.58;2.83;0.0;207.42;SANTOSBR;CGC;53;BERÇO TECON 1.2;1;02:50;1;03:10;1;03:10;1;03:15;1;03:15;1;03:20;1;03:20;1;03:25;1;03:25;1;03:30;1;03:30;1;03:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;03:40;1;03:40;1;20:45;1;20:45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;20:45;1;21:15;1;21:15;1;21:20;1;21:20;1;21:25;1;21:25;1;21:30;1;21:30;1;21:35;1;21:35;1;21:55;
S014;29;32.0;225.0;9.0;0;0;0;-6;03:00;165.0;0.0;0.5;165.5;DPW - CGNC;CGNC;44;BERÇO DPW 3;1;00:30;1;00:50;1;00:50;1;00:55;1;00:55;1;01:00;1;01:00;1;01:05;1;01:05;1;01:10;1;01:10;1;01:15;1;01:15;1;01:20;1;01:20;1;01:25;1;01:25;1;01:30;1;01:30;1;02:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;02:00;1;02:00;7;21:55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S014;73;32.3;189.99;6.19;0;0;0;-3;07:00;89.0;0.0;0.0;89.0;TIPLAM - GSA - E;GSA - E;61;BERÇO TIPLAM 2;1;00:00;1;00:20;1;00:20;1;00:25;1;00:25;1;00:30;1;00:30;1;00:35;1;00:35;1;00:40;1;00:40;1;00:45;1;00:45;1;00:50;1;00:50;1;00:55;1;00:55;1;01:00;1;01:00;1;01:05;1;01:05;1;01:10;1;01:10;1;01:15;1;01:15;1;01:20;1;01:20;1;01:25;1;01:25;1;01:30;1;01:30;1;01:45;1;01:45;1;02:25;1;02:25;1;02:25;3;19:00;3;19:10;3;19:10;3;19:20;3;19:20;3;19:35;3;19:35;3;19:40;3;19:40;3;19:45;3;19:45;3;19:50;3;19:50;3;19:55;3;19:55;3;20:00;3;20:00;3;20:05;3;20:05;3;20:10;3;20:10;3;20:15;3;20:15;3;20:20;3;20:20;3;20:25;3;20:25;3;20:30;3;20:30;3;20:35;3;20:35;3;20:40;3;20:40;3;20:45;3;20:45;3;21:05;
S014;81;33.0;180.4;10.28;0;0;0;-3;13:00;83.0;0.0;0.25;83.25;BRACELL;CGNC;27;BERÇO ARM 35P2;1;00:15;1;00:35;1;00:35;1;00:40;1;00:40;1;00:45;1;00:45;1;00:50;1;00:50;1;00:55;1;00:55;1;01:05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;01:05;1;01:05;7;16:45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S014;83;32.0;263.23;10.1;0;0;0;-3;13:30;106.17;0.33;12.75;119.25;DPW - CGC;CGC;42;BERÇO DPW 1;2;12:45;2;13:05;2;13:05;2;13:10;2;13:10;2;13:15;2;13:15;2;13:20;2;13:20;2;13:25;2;13:25;2;13:30;2;13:30;2;13:35;2;13:35;2;13:40;2;13:40;2;13:45;2;13:45;2;13:50;2;13:50;2;14:00;;;;;;;;;;;;;;;;;;;;;;;;;2;14:00;2;14:00;3;00:35;3;00:35;;;;;;;;;;;;;;;;;;;;;;;;;3;00:35;3;01:05;3;01:05;3;01:10;3;01:10;3;01:15;3;01:15;3;01:20;3;01:20;3;01:25;3;01:25;3;01:30;3;01:30;3;01:35;3;01:35;3;01:40;3;01:40;3;01:45;3;01:45;3;01:50;3;01:50;3;02:10;
S014;85;33.0;199.9;7.5;0;0;0;-3;16:30;79.5;0.0;4.25;83.75;AUTORIDADE_SABOO;CGNC;39;BERÇO CS 04;1;04:15;1;04:35;1;04:35;1;04:40;1;04:40;1;04:45;1;04:45;1;04:50;1;04:50;1;04:55;1;04:55;1;05:00;1;05:00;1;05:05;1;05:05;1;05:10;1;05:10;1;05:15;1;05:15;1;05:20;1;05:20;1;05:25;1;05:25;1;05:55;;;;;;;;;;;;;;;;;;;;;1;05:55;1;05:55;5;11:35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S014;90;28.0;179.99;8.0;0;0;0;-3;22:48;74.83;15.42;0.0;90.25;AGEO_TERMINAIS;GL;1;BERÇO Ageo I;1;17:05;1;17:25;1;17:25;1;17:30;1;17:30;1;17:35;1;17:35;1;17:40;1;17:40;1;17:45;1;17:45;1;17:50;1;17:50;1;17:55;1;17:55;1;18:00;1;18:00;1;18:05;1;18:05;1;18:10;1;18:10;1;18:15;1;18:15;1;18:45;;;;;;;;;;;;;;;;;;;;;1;18:45;1;18:45;4;19:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S014;96;37.0;227.92;9.9;0;0;0;-2;12:30;59.5;6.5;0.0;66.0;SANTOSBR;CGC;52;BERÇO TECON 1.1;1;06:30;1;06:50;1;06:50;1;06:55;1;06:55;1;07:00;1;07:00;1;07:05;1;07:05;1;07:10;1;07:10;1;07:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;07:40;1;07:40;1;14:00;1;15:20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;15:20;1;15:30;1;15:30;1;15:35;1;15:35;1;15:40;1;15:40;1;15:45;1;15:45;1;15:50;1;15:50;1;16:10;
S014;100;43.0;346.98;9.8;1;0;0;-2;23:06;58.42;3.83;0.0;62.25;SANTOSBR;CGC;54;BERÇO TECON 2;1;13:25;1;13:50;1;13:50;1;13:55;1;13:55;1;14:00;1;14:00;1;14:05;1;14:05;1;14:10;1;14:10;1;14:20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;14:20;1;14:20;2;00:55;2;00:55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;00:55;2;01:25;2;01:25;2;01:30;2;01:30;2;01:35;2;01:35;2;01:40;2;01:40;2;01:45;2;01:45;2;02:10;
