SEGMENT_ID;HOURS_0_VESSELS;HOURS_1_VESSEL;HOURS_2_VESSELS;HOURS_3_VESSELS;HOURS_4_VESSELS;HOURS_5_VESSELS;HOURS_5PLUS_VESSELS
1;48.42;19.33;3.25;0.67;0.33;0.0;0.0
2;64.75;7.17;0.08;0.0;0.0;0.0;0.0
3;64.83;7.17;0.0;0.0;0.0;0.0;0.0
4;63.42;8.58;0.0;0.0;0.0;0.0;0.0
5;63.75;8.25;0.0;0.0;0.0;0.0;0.0
6;58.33;13.67;0.0;0.0;0.0;0.0;0.0
7;65.5;6.42;0.08;0.0;0.0;0.0;0.0
8;68.42;3.58;0.0;0.0;0.0;0.0;0.0
9;69.08;2.92;0.0;0.0;0.0;0.0;0.0
10;68.17;3.83;0.0;0.0;0.0;0.0;0.0
11;66.5;5.5;0.0;0.0;0.0;0.0;0.0
12;67.17;4.83;0.0;0.0;0.0;0.0;0.0
13;68.42;3.58;0.0;0.0;0.0;0.0;0.0
14;71.08;0.92;0.0;0.0;0.0;0.0;0.0
15;71.75;0.25;0.0;0.0;0.0;0.0;0.0
16;71.25;0.75;0.0;0.0;0.0;0.0;0.0
17;71.0;1.0;0.0;0.0;0.0;0.0;0.0
