SCENARIO_ID;DAY;ENTER;EXIT
S014;1;21,00;16,00
S014;2;11,00;16,00
S014;3;11,00;11,00
S014;4;8,00;9,00
S014;5;12,00;15,00
S014;6;16,00;9,00
S014;7;15,00;15,00
S014;8;17,00;12,00
S014;9;14,00;15,00
S014;10;13,00;14,00
S014;11;12,00;14,00
S014;12;16,00;16,00
S014;13;15,00;15,00
S014;14;15,00;11,00
S014;15;18,00;19,00
S014;16;13,00;17,00
S014;17;19,00;18,00
S014;18;12,00;14,00
S014;19;11,00;12,00
S014;20;17,00;8,00
S014;21;12,00;15,00
S014;22;17,00;13,00
S014;23;11,00;15,00
S014;24;17,00;12,00
S014;25;16,00;17,00
S014;26;13,00;18,00
S014;27;7,00;10,00
S014;28;22,00;20,00
S014;29;7,00;14,00
S014;30;26,00;12,00
S014;31;17,00;18,00
S014;32;20,00;21,00
S014;33;15,00;22,00
S014;34;17,00;13,00
S014;35;22,00;14,00
S014;36;14,00;20,00
S014;37;17,00;19,00
S014;38;19,00;19,00
S014;39;14,00;12,00
S014;40;17,00;13,00
S014;41;24,00;20,00
S014;42;15,00;20,00
S014;43;21,00;25,00
S014;44;22,00;18,00
S014;45;22,00;24,00
S014;46;19,00;17,00
S014;47;18,00;15,00
S014;48;20,00;21,00
S014;49;15,00;22,00
S014;50;24,00;16,00
S014;51;19,00;25,00
S014;52;17,00;13,00
S014;53;16,00;16,00
S014;54;14,00;16,00
S014;55;21,00;22,00
S014;56;18,00;19,00
S014;57;17,00;21,00
S014;58;19,00;14,00
S014;59;20,00;22,00
S014;60;20,00;19,00
S014;61;19,00;21,00
S014;62;14,00;12,00
S014;63;17,00;17,00
S014;64;13,00;12,00
S014;65;17,00;22,00
S014;66;27,00;19,00
S014;67;14,00;19,00
S014;68;11,00;13,00
S014;69;21,00;17,00
S014;70;17,00;19,00
S014;71;21,00;23,00
S014;72;16,00;12,00
S014;73;17,00;22,00
S014;74;20,00;13,00
S014;75;14,00;17,00
S014;76;16,00;16,00
S014;77;16,00;18,00
S014;78;18,00;21,00
S014;79;23,00;16,00
S014;80;20,00;22,00
S014;81;21,00;19,00
S014;82;11,00;14,00
S014;83;12,00;14,00
S014;84;9,00;13,00
S014;85;11,00;4,00
S014;86;16,00;17,00
S014;87;14,00;14,00
S014;88;19,00;18,00
S014;89;16,00;15,00
S014;90;19,00;18,00
