SCENARIO_ID;ARRIVAL_ID;BEAM;LENGTH;DRAFT;IS_NEW_PANAMAX;IS_PASSENGER;IS_RORO;ARRIVAL_D;ARRIVAL_H;METOCEAN_QUEUE_TIME;BERTH_QUEUE_TIME;CHANNEL_QUEUE_TIME;TOTAL_QUEUE_TIME;METOCEAN_UNDOCK_QUEUE_TIME;CHANNEL_UNDOCK_QUEUE_TIME;TOTAL_UNDOCK_QUEUE_TIME;OPERATION_DURATION;REAL_DOCK_D;REAL_DOCK_H;REAL_UNDOCK_D;REAL_UNDOCK_H;REAL_BERTH;TERMINAL;MARKET_CATEGORY;BERTH;TRANSIT_IN_START_D;TRANSIT_IN_START_H;BERTH_ARRIVAL_D;BERTH_ARRIVAL_H;OPERATION_START_D;OPERATION_START_H;OPERATION_END_D;OPERATION_END_H;BERTH_DEPARTURE_D;BERTH_DEPARTURE_H;TRANSIT_OUT_END_D;TRANSIT_OUT_END_H
S014;1;32.0;229.07;7.56;0;0;0;-8;03:04;260.75;0.0;2.67;263.42;0.0;0.0;0.0;65.08333333333333;4;11:10;7;09:55;BERÇO ARM 37;AUTORIDADE_PONTA;CGNC;BERÇO ARM 37;3;02:30;3;03:30;3;03:30;5;20:35;5;20:35;5;21:15
S014;6;33.0;209.75;11.0;0;0;0;-8;11:24;208.5;0.25;0.0;208.75;0.0;0.0;0.0;17.083333333333332;1;21:00;2;18:05;BERÇO TECON 1.2;SANTOSBR;CGC;BERÇO TECON 1.1;1;04:10;1;05:00;1;05:00;1;22:05;1;22:05;1;23:15
S014;15;32.0;189.99;5.6;0;0;0;-7;03:18;859.5;0.0;0.5;860.0;0.0;1.08;1.08;38.5;30;16:33;32;09:10;BERÇO ARM 20/21;AUTORIDADE_OUT;CGNC;BERÇO ARM 20/21;28;23:20;29;00:40;29;00:40;30;15:10;30;16:15;30;17:15
S014;16;32.0;189.99;12.74;0;0;0;-7;03:18;380.67;0.0;0.08;380.75;0.17;0.0;0.17;135.08333333333334;10;13:42;16;07:23;BERÇO TERMAG;TERMAG;GSM - I;BERÇO TERMAG;9;00:05;9;00:50;9;00:50;14;15:55;14;16:05;14;17:10
S014;19;28.0;179.99;7.5;0;0;0;-7;09:00;452.0;0.0;0.17;452.17;0.0;0.0;0.0;58.416666666666664;13;09:35;16;00:25;BERÇO ARM 23;OUTROS_OUT;CGNC;BERÇO ARM 23;12;05:10;12;06:05;12;06:05;14;16:30;14;16:30;14;17:45
S014;29;32.0;225.0;9.0;0;0;0;-6;03:00;169.17;9.42;3.75;182.33;0.0;1.5;1.5;163.91666666666666;1;21:00;8;17:50;BERÇO DPW 4;DPW - CGNC;CGNC;BERÇO DPW 4;1;17:20;1;18:50;1;18:50;8;14:45;8;16:15;8;17:25
S014;57;32.0;229.0;14.2;0;0;0;-5;15:00;777.0;0.0;0.33;777.33;0.0;4.33;4.33;142.5;29;22:00;36;01:10;BERÇO TERMAG;TERMAG;GSM - I;BERÇO TERMAG;28;00:20;28;01:05;28;01:05;33;23:35;34;03:55;34;05:00
S014;73;32.3;189.99;6.19;0;0;0;-3;07:00;92.92;0.0;2.33;95.25;0.0;0.08;0.08;64.58333333333333;2;04:42;5;03:14;BERÇO TIPLAM 3;TIPLAM - GSA - E;GSA - E;BERÇO TIPLAM 3;1;06:15;1;08:40;1;08:40;4;01:15;4;01:20;4;03:15
S014;81;33.0;180.4;10.28;0;0;0;-3;13:00;86.92;0.0;0.08;87.0;0.0;0.0;0.0;159.66666666666666;1;18:20;8;13:30;BERÇO ARM 30;BRACELL;CGNC;BERÇO ARM 35P1;1;04:00;1;04:45;1;04:45;7;20:25;7;20:25;7;21:30
S014;83;32.0;263.23;10.1;0;0;0;-3;13:30;106.25;0.25;8.75;115.25;0.0;0.58;0.58;10.583333333333334;3;12:31;4;06:33;BERÇO DPW 1;DPW - CGC;CGC;BERÇO DPW 1;2;08:45;2;10:00;2;10:00;2;20:35;2;21:10;2;22:45
S014;85;33.0;199.9;7.5;0;0;0;-3;16:30;83.42;0.0;3.58;87.0;0.58;0.0;0.58;101.66666666666667;1;07:40;5;23:42;BERÇO VAL;AUTORIDADE_SABOO;CGNC;BERÇO CS 04;1;07:30;1;09:10;1;09:10;5;14:50;5;15:25;5;16:45
S014;90;28.0;179.99;8.0;0;0;0;-3;22:48;77.33;13.0;0.0;90.33;0.0;0.0;0.0;72.91666666666667;1;18:05;5;18:18;BERÇO Ageo I;AGEO_TERMINAIS;GL;BERÇO Ageo I;1;17:10;1;18:50;1;18:50;4;19:45;4;19:45;4;21:05
S014;91;29.0;175.53;9.94;0;0;0;-2;01:00;191.0;0.0;0.0;191.0;0.0;0.25;0.25;161.16666666666666;7;19:25;14;15:35;BERÇO TIPLAM 1;TIPLAM - GSM - I;GSM - I;BERÇO TIPLAM 2;6;00:00;6;01:55;6;01:55;12;19:05;12;19:20;12;21:45
S014;96;37.0;227.92;9.9;0;0;0;-2;12:30;63.42;3.83;0.0;67.25;0.0;0.0;0.0;6.333333333333333;1;03:40;1;18:10;BERÇO TECON 1.2;SANTOSBR;CGC;BERÇO TECON 3;1;07:45;1;08:55;1;08:55;1;15:15;1;15:15;1;16:05
S014;100;43.0;346.98;9.8;1;0;0;-2;23:06;59.08;2.0;0.0;61.08;0.17;0.17;0.33;10.583333333333334;1;15:10;2;08:39;BERÇO TECON 2;SANTOSBR;CGC;BERÇO TECON 2;1;12:15;1;13:10;1;13:10;1;23:45;2;00:05;2;01:20
S014;103;48.0;328.46;14.5;0;0;0;-1;05:06;53.17;0.0;1.0;54.17;0.0;0.0;0.0;29.666666666666668;1;02:40;2;09:45;BERÇO BTP 3;BTP;CGC;BERÇO BTP 1;1;11:20;1;12:45;1;12:45;2;18:25;2;18:25;2;20:10
S014;107;28.0;179.99;9.33;0;0;0;-1;09:00;42.92;0.0;2.5;45.42;0.0;2.25;2.25;167.5;1;21:10;8;23:40;BERÇO CS 03;OUTROS_SABOO;CGNC;BERÇO CS 01;1;06:25;1;07:45;1;07:45;8;07:15;8;09:30;8;11:10
S014;109;32.0;189.99;6.25;0;0;0;-1;10:06;61.58;0.25;11.42;73.25;0.0;0.0;0.0;37.75;3;14:50;5;09:15;BERÇO ARM 20/21;AUTORIDADE_OUT;CGNC;BERÇO ARM 20/21;2;11:25;2;12:45;2;12:45;4;02:30;4;02:30;4;03:30
S014;110;30.0;199.08;7.5;0;0;0;-1;12:55;107.08;0.0;0.17;107.25;0.0;1.58;1.58;91.75;5;23:15;9;22:10;BERÇO ARM 23;OUTROS_OUT;CGNC;BERÇO ARM 25;4;00:10;4;01:05;4;01:05;7;20:50;7;22:25;7;23:40
S014;114;24.0;146.6;5.8;0;0;0;-1;19:54;157.83;11.75;0.0;169.58;0.0;0.42;0.42;22.583333333333332;7;14:28;8;22:00;BERÇO AL 04;STOLTHAVEN;GL;BERÇO AL 03;6;21:30;6;23:20;6;23:20;7;21:55;7;22:20;7;23:50
S014;115;35.0;228.95;7.3;0;0;0;-1;21:00;243.0;0.0;0.42;243.42;0.0;0.33;0.33;47.833333333333336;11;04:25;13;10:05;BERÇO ARM 37;AUTORIDADE_PONTA;CGNC;BERÇO ARM 37;10;00:25;10;01:25;10;01:25;12;01:15;12;01:35;12;02:15
S014;116;45.86;334.8;13.9;0;0;0;-1;23:36;27.58;8.17;0.0;35.75;0.0;0.92;0.92;35.25;1;15:07;3;04:14;BERÇO DPW 2;DPW - CGC;CGC;BERÇO DPW 2;1;11:25;1;12:40;1;12:40;2;23:55;3;00:50;3;02:25
S014;118;40.0;284.71;10.1;0;0;0;0;04:12;163.75;7.33;0.0;171.08;0.0;2.58;2.58;19.75;8;21:25;9;18:37;BERÇO DPW 2;DPW - CGC;CGC;BERÇO DPW 2;7;07:20;7;08:55;7;08:55;8;04:40;8;07:15;8;08:30
S014;122;27.4;183.98;7.4;0;0;0;0;06:06;184.92;0.0;0.75;185.67;0.0;0.0;0.0;34.916666666666664;9;15:15;11;19:19;BERÇO AL 02;TRANSPETRO;GL;BERÇO AL 02;7;23:50;8;01:40;8;01:40;9;12:35;9;12:35;9;14:05
S014;125;51.0;336.0;10.8;0;0;0;0;15:00;12.25;10.92;0.0;23.17;0.0;0.0;0.0;34.166666666666664;2;00:55;3;14:55;BERÇO TECON 3;SANTOSBR;CGC;BERÇO TECON 3;1;14:10;1;15:20;1;15:20;3;01:30;3;01:30;3;02:20
S014;126;32.0;189.99;12.24;0;0;0;0;15:30;344.5;0.0;0.25;344.75;0.0;0.0;0.0;202.5;16;23:23;25;13:00;BERÇO TERMAG;TERMAG;GSM - I;BERÇO TERMAG;15;00:15;15;01:00;15;01:00;23;11:30;23;11:30;23;12:35
S014;128;46.0;334.8;10.1;0;0;0;0;19:12;52.58;0.17;0.17;52.92;4.42;0.92;5.33;31.166666666666668;4;10:00;5;19:10;BERÇO DPW 1;DPW - CGC;CGC;BERÇO DPW 2;3;00:10;3;01:45;3;01:45;4;08:55;4;14:15;4;15:30
S014;129;45.0;299.9;10.1;0;0;0;0;20:54;7.0;0.0;2.42;9.42;0.0;1.75;1.75;17.416666666666668;2;13:20;3;08:57;BERÇO BTP 3;BTP;CGC;BERÇO BTP 3;1;06:20;1;07:45;1;07:45;2;01:10;2;02:55;2;04:40
