SCENARIO_ID;ARRIVAL_ID;BEAM;LENGTH;DRAFT;IS_NEW_PANAMAX;IS_PASSENGER;IS_RORO;ARRIVAL_D;ARRIVAL_H;METOCEAN_QUEUE_TIME;BERTH_QUEUE_TIME;CHANNEL_QUEUE_TIME;TOTAL_QUEUE_TIME;METOCEAN_UNDOCK_QUEUE_TIME;CHANNEL_UNDOCK_QUEUE_TIME;TOTAL_UNDOCK_QUEUE_TIME;NON_P_DOCKED_DURATION;P_DOCKED_DURATION;DOCKED_DURATION;REAL_DOCK_D;REAL_DOCK_H;REAL_UNDOCK_D;REAL_UNDOCK_H;REAL_BERTH;TERMINAL;MARKET_CATEGORY;SIZE_CATEGORY;BERTH;TRANSIT_IN_START_D;TRANSIT_IN_START_H;BERTH_ARRIVAL_D;BERTH_ARRIVAL_H;OPERATION_START_D;OPERATION_START_H;OPERATION_END_D;OPERATION_END_H;BERTH_DEPARTURE_D;BERTH_DEPARTURE_H;TRANSIT_OUT_END_D;TRANSIT_OUT_END_H
2SemDragagem2030;3544;23.0;225.0;0.0;0;0;0;1;16:40;0.0;0.0;0.0;0.0;0.0;0.75;0.75;2.33;54.25;53.5;;;;;;ADM;GSA - E;;BERÇO ARM 39;1;16:40;1;17:45;1;19:19;4;00:00;4;00:00;4;00:40
2SemDragagem2030;3545;23.0;155.0;10.25;0;0;0;1;15:46;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.76;43.08;43.08;;;;;;ADONAI;GL;;BERÇO IB OE;1;15:50;1;17:15;2;03:15;3;13:05;3;12:20;3;14:00
2SemDragagem2030;3546;36.0;225.0;0.0;0;0;0;1;13:35;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.17;103.83;103.83;;;;;;BRACELL;CGNC;;BERÇO ARM 35P2;1;13:35;1;14:50;1;18:15;5;23:25;5;22:40;5;23:30
2SemDragagem2030;3547;23.0;225.0;0.0;0;0;0;1;16:44;0.08;0.0;0.5;0.58;4.08;0.5;4.58;76.21;149.83;145.25;;;;;;COFCO;GSA - E;;BERÇO ARM 13/14;1;17:20;1;18:50;4;22:17;7;20:50;8;00:40;8;01:45
2SemDragagem2030;3548;23.0;225.0;0.0;0;0;0;1;16:46;0.17;4.5;0.5;5.17;0.25;1.0;1.25;1.93;72.17;70.92;;;;;;COFCO;GSA - E;;BERÇO ARM 12A;1;22:00;1;23:30;2;00:40;4;23:10;4;23:40;5;00:45
2SemDragagem2030;3549;23.0;195.0;0.0;0;0;0;1;14:48;0.0;0.0;0.0;0.0;21.42;3.5;24.92;4.35;68.75;43.83;;;;;;COPESUCAR;GSA - E;;BERÇO ARM 20/21;1;14:50;1;16:15;1;19:51;3;12:50;4;13:00;4;14:00
2SemDragagem2030;3550;23.0;215.0;10.25;0;0;0;1;15:41;0.0;0.0;0.33;0.33;0.0;0.0;0.0;1.78;15.17;15.17;;;;;;DPW - CGC;CGC;;BERÇO DPW 1;1;16:05;1;17:25;1;18:26;2;09:20;2;08:35;2;10:10
2SemDragagem2030;3551;23.0;255.0;11.75;0;0;0;1;15:41;0.0;0.0;0.67;0.67;0.0;0.0;0.0;2.53;20.42;20.42;;;;;;DPW - CGC;CGC;;BERÇO DPW 2;1;16:25;1;18:05;1;19:51;2;15:15;2;14:30;2;16:05
2SemDragagem2030;3552;36.0;225.0;0.0;0;0;0;1;14:36;0.0;0.0;0.42;0.42;24.33;3.42;27.75;3.93;68.58;40.83;;;;;;ELDORADO;CGNC;;BERÇO ARM 31;1;15:05;1;16:20;1;19:30;3;09:55;4;12:55;4;13:45
2SemDragagem2030;3553;23.0;175.0;0.0;0;0;0;1;15:44;0.0;0.0;2.25;2.25;0.0;0.0;0.0;9.85;36.92;36.92;;;;;;ELEVACOES;GSA - E;;BERÇO ARM 16/17;1;18:00;1;19:30;2;04:36;3;09:10;3;08:25;3;09:30
2SemDragagem2030;3554;23.0;225.0;0.0;0;0;0;1;15:44;5.67;33.92;2.25;41.83;0.42;0.0;0.42;3.35;57.08;56.67;;;;;;ELEVACOES;GSA - E;;BERÇO ARM 16/17;3;09:35;3;11:05;3;13:41;5;20:30;5;20:10;5;21:15
2SemDragagem2030;3555;32.2;205.0;0.0;0;0;0;1;14:39;0.0;0.0;3.58;3.58;0.0;0.0;0.0;2.99;42.17;42.17;;;;;;ELEVACOES;GSA - E;;BERÇO ARM 19;1;18:15;1;19:40;1;21:54;3;14:35;3;13:50;3;14:50
2SemDragagem2030;3556;32.2;205.0;0.0;0;0;0;1;15:44;2.83;41.83;2.5;47.17;0.0;0.0;0.0;6.22;45.42;45.42;;;;;;ELEVACOES;GSA - E;;BERÇO ARM 19;3;14:55;3;16:20;3;21:48;5;14:30;5;13:45;5;14:45
2SemDragagem2030;3557;23.0;255.0;11.75;0;0;0;1;13:37;0.0;0.0;4.83;4.83;0.0;1.08;1.08;2.07;18.83;17.75;;;;;;SANTOSBR;CGC;;BERÇO TECON 2;1;18:30;1;19:45;1;21:04;2;14:15;2;14:35;2;15:45
2SemDragagem2030;3558;43.0;339.0;14.0;0;0;0;1;13:37;67.83;0.0;0.25;68.08;21.0;0.25;21.25;2.7;49.92;28.67;;;;;;SANTOSBR;CGC;;BERÇO TECON 3;4;09:45;4;11:00;4;12:57;5;16:25;6;12:55;6;14:05
2SemDragagem2030;3559;23.0;185.0;10.75;0;0;0;1;13:39;0.0;0.0;0.58;0.58;0.25;4.67;4.92;17.95;82.0;77.08;;;;;;STOLTHAVEN;GL;;BERÇO AL 02;1;14:15;1;15:50;2;09:02;4;21:40;5;01:50;5;03:40
2SemDragagem2030;3560;23.0;195.0;9.25;0;0;1;1;13:41;0.0;0.0;5.42;5.42;0.0;0.08;0.08;1.44;22.5;22.42;;;;;;TEV;RORO;;BERÇO TEV;1;19:10;1;20:30;1;21:11;2;19:40;2;19:00;2;20:15
2SemDragagem2030;3561;23.0;195.0;9.25;0;0;1;1;13:40;1.33;24.08;5.5;30.92;0.0;2.33;2.33;2.89;26.25;23.92;;;;;;TEV;RORO;;BERÇO TEV;2;20:35;2;21:55;3;00:03;3;22:35;4;00:10;4;01:25
2SemDragagem2030;3562;23.0;225.0;0.0;0;0;0;1;15:40;0.0;0.0;4.17;4.17;5.75;0.92;6.67;4.32;73.25;66.58;;;;;;TIPLAM - GSA - E;GSA - E;;BERÇO TIPLAM 2;1;19:50;1;22:20;2;01:54;4;17:40;4;23:35;5;01:30
