berth_resource;TEMPO_OCUPADO;TEMPO_RESERVADO;VISITAS;SCENARIO_ID
BERÇO AL 01;1611,8900000000003;69,25999999999999;38;S2025
BERÇO AL 02;1848,4300000000007;66,33;37;S2025
BERÇO AL 03;1601,4500000000003;43,480000000000004;27;S2025
BERÇO AL 04;1151,7700000000004;30,150000000000002;19;S2025
BERÇO ARM 12A;1817,0;33,0;23;S2025
BERÇO ARM 13/14;1977,5;19,33;15;S2025
BERÇO ARM 16/17;2038,0300000000004;51,0;35;S2025
BERÇO ARM 19;1966,6600000000003;45,32;33;S2025
BERÇO ARM 20/21;1977,0699999999997;46,769999999999996;34;S2025
BERÇO ARM 22/23;1389,17;22,75;21;S2025
BERÇO ARM 23;60,08;0,0;1;S2025
BERÇO ARM 29;1712,6;19,64;16;S2025
BERÇO ARM 30;1241,5200000000002;9,24;9;S2025
BERÇO ARM 31;1758,1800000000003;28,31;25;S2025
BERÇO ARM 32;1592,25;15,19;15;S2025
BERÇO ARM 33;1108,2399999999998;6,76;8;S2025
BERÇO ARM 35P1;1865,48;17,02;17;S2025
BERÇO ARM 35P2;1959,5599999999995;17,43;16;S2025
BERÇO ARM 37;1971,5199999999995;34,63;33;S2025
BERÇO ARM 38;1830,8999999999996;26,040000000000003;24;S2025
BERÇO ARM 39;2068,17;27,080000000000002;26;S2025
BERÇO Ageo I;1556,4099999999999;39,19;26;S2025
BERÇO BTP 1;1881,4599999999991;46,09;69;S2025
BERÇO BTP 2;1864,8999999999996;53,480000000000004;63;S2025
BERÇO BTP 3;1869,1899999999998;48,51;63;S2025
BERÇO CORTE;426,16;13,33;8;S2025
BERÇO CS 01;1682,8999999999996;12,75;10;S2025
BERÇO CS 02;1085,7199999999998;11,68;8;S2025
BERÇO CS 03;691,0900000000001;8,51;6;S2025
BERÇO CS 04;856,5;28,84;19;S2025
BERÇO CUTRALE;1448,0099999999998;26,0;25;S2025
BERÇO DOW;502,74;14,58;19;S2025
BERÇO DPW 1;1751,329999999999;49,32;70;S2025
BERÇO DPW 2;1627,7800000000002;48,32;65;S2025
BERÇO DPW 3;1317,69;33,27;21;S2025
BERÇO DPW 4;1020,1499999999999;25,330000000000002;16;S2025
BERÇO IB BC;1017,07;34,94;23;S2025
BERÇO IB OE;1041,9099999999999;20,439999999999998;13;S2025
BERÇO IB SP;821,38;23,259999999999998;16;S2025
BERÇO OUT 2;1178,69;19,96;15;S2025
BERÇO OUT 3;571,09;8,0;6;S2025
BERÇO SAIPEM 1;896,6800000000005;14,68;16;S2025
BERÇO SAIPEM 2;399,76000000000005;11,01;12;S2025
BERÇO SAIPEM 3;255,0000000000002;5,5;6;S2025
BERÇO TEAG;1664,9799999999996;26,849999999999998;24;S2025
BERÇO TECON 1.1;1547,94;34,0;61;S2025
BERÇO TECON 1.2;1796,7000000000003;29,450000000000003;61;S2025
BERÇO TECON 2;1945,5900000000006;21,16;61;S2025
BERÇO TECON 3;1694,8899999999994;25,98;61;S2025
BERÇO TEG;1957,0700000000002;24,479999999999997;21;S2025
BERÇO TERMAG;1737,5899999999997;13,33;17;S2025
BERÇO TEV;1151,0699999999997;74,71000000000001;58;S2025
BERÇO TGG;1665,6599999999996;38,53;34;S2025
BERÇO TIPLAM 1;1575,7700000000004;41,980000000000004;18;S2025
BERÇO TIPLAM 2;1924,6699999999992;75,0;31;S2025
BERÇO TIPLAM 3;1791,7299999999996;72,37;28;S2025
BERÇO TIPLAM 4;1355,35;33,31;17;S2025
BERÇO USIMINAS 3;986,5100000000002;13,49;6;S2025
BERÇO VAL;100,98999999999978;3,17;2;S2025
