SCENARIO_ID;N_VESSELS;MONTH;HOURS
S2025;0;2025-08;95.67
S2025;1;2025-08;218.5
S2025;2;2025-08;213.33
S2025;3;2025-08;130.42
S2025;4;2025-08;57.25
S2025;5;2025-08;22.67
S2025;5+;2025-08;6.17
S2025;0;2025-09;108.42
S2025;1;2025-09;204.0
S2025;2;2025-09;209.92
S2025;3;2025-09;117.92
S2025;4;2025-09;53.75
S2025;5;2025-09;19.08
S2025;5+;2025-09;6.92
S2025;0;2025-10;85.0
S2025;1;2025-10;204.67
S2025;2;2025-10;203.67
S2025;3;2025-10;128.75
S2025;4;2025-10;52.75
S2025;5;2025-10;16.83
S2025;5+;2025-10;4.33
