PAR;ARRIVAL_DAY;ARRIVAL_MONTH_NUM;ARRIVAL_YEAR;ARRIVAL_WEEKDAY_NUM;ARRIVAL_HOUR;ARRIVAL_MINUTE;WAIT_FOR_OPERATION;PRODUCTIVE_OPERATION_DURATION;OPERATION_DURATION;TERMINAL;TERMINAL_ID;DIRECTION;DANGEROUS_FLAG;PASSENGER_FLAG;RORO_FLAG;VESSEL_BEAM;VESSEL_LOA;VESSEL_DRAFT;VESSEL_EXIT_DRAFT;ANTAQ_MARKET;ANTAQ_ID;DOCK_DAY;DOCK_MONTH_NUM;DOCK_YEAR;DOCK_HOUR;DOCK_MINUTE;UNDOCK_DAY;UNDOCK_MONTH_NUM;UNDOCK_YEAR;UNDOCK_HOUR;UNDOCK_MINUTE;ANTAQ_BERTH;ANTAQ_BERTH_ID;ANTAQ_DATA_ARRIVAL;ANTAQ_DATA_ENTER;TOTAL_QUEUE_TIME;ARRIVAL_ID;DEMAND_SCENARIO;VESSEL_MARKET_CATEGORY
2789;1;1;2025;2;3;4;0;65.08;65.08;Autoridade - Ponta;6;1.0;False;False;False;32.0;229.07;7.56;12.75;GSA - E;1537950.0;13;1;2025;11;10;16;1;2025;9;55;BERÇO ARM 37;28;1/1/2025 3:04;13/01/2025 10:30;295.43;1;D016;GSA - E
4837;1;1;2025;2;6;0;1.2;68.63;68.63;TUP - DPW - CGNC;52;1.0;False;False;False;34.0;201.9;7.99;13.1;CGNC;1524831.0;5;1;2025;13;36;8;1;2025;13;57;BERÇO DPW 4;45;1/1/2025 6:00;5/1/2025 12:00;102.0;2;D016;CGNC
637;1;1;2025;2;6;30;1.55;18.98;18.98;Santos Brasil;32;2.0;False;False;False;40.0;272.08;10.6;9.2;CGC;1535562.0;2;1;2025;2;50;3;1;2025;2;48;BERÇO TECON 1.2;53;1/1/2025 6:30;2/1/2025 1:45;19.25;3;D016;CGC
575;1;1;2025;2;8;0;2.08;24.25;24.25;TUP - Terminal Marítimo Dow;54;2.0;False;False;False;23.0;164.34;7.8;6.8;GL;1521573.0;1;1;2025;9;50;2;1;2025;17;30;BERÇO DOW;41;1/1/2025 8:00;1/1/2025 8:30;0.5;4;D016;GL
3798;1;1;2025;2;9;18;2.53;30.08;30.08;TUP - DPW - CGC;51;2.0;False;False;False;43.0;270.93;11.3;9.7;CGC;1539903.0;3;1;2025;6;6;4;1;2025;17;44;BERÇO DPW 2;43;1/1/2025 9:18;3/1/2025 5:00;43.7;5;D016;CGC
5083;1;1;2025;2;11;24;1.62;15.43;15.43;Santos Brasil;32;2.0;False;False;False;33.0;209.75;11.0;9.2;CGC;1536056.0;10;1;2025;21;0;11;1;2025;18;5;BERÇO TECON 1.2;53;1/1/2025 11:24;10/1/2025 20:00;224.6;6;D016;CGC
687;1;1;2025;2;15;53;2.7;15.17;15.17;Santos Brasil;32;2.0;False;False;False;42.0;334.07;12.0;10.8;CGC;1535796.0;1;1;2025;16;55;2;1;2025;13;38;BERÇO TECON 2;54;1/1/2025 15:53;1/1/2025 16:00;0.12;7;D016;CGC
1179;1;1;2025;2;16;45;1.03;19.93;19.93;Santos Brasil;32;2.0;False;False;False;25.0;182.47;8.2;9.5;CGC;1537803.0;2;1;2025;12;45;3;1;2025;12;10;BERÇO TECON 3;55;1/1/2025 16:45;2/1/2025 12:00;19.25;8;D016;CGC
1459;1;1;2025;2;18;5;0.08;70.42;70.42;TUP - Saipem;53;1.0;False;False;False;18.0;85.34;4.2;5.5;CGNC;1534947.0;1;1;2025;18;15;4;1;2025;16;55;BERÇO SAIPEM 2;49;1/1/2025 18:05;1/1/2025 17:30;0.0;9;D016;CGNC
335;1;1;2025;2;19;30;2.17;37.42;37.42;TUP - DPW - CGC;51;2.0;False;False;False;40.0;299.99;9.8;9.2;CGC;1539877.0;2;1;2025;13;50;4;1;2025;8;14;BERÇO DPW 1;42;1/1/2025 19:30;2/1/2025 12:45;17.25;10;D016;CGC
