VESSEL_BEAM;VESSEL_LOA;VESSEL_DRAFT;VESSEL_EXIT_DRAFT;DIRECTION;ARRIVAL_HOUR;ARRIVAL_MINUTE;ARRIVAL_WEEKDAY;ARRIVAL_WEEKDAY_NUM;ARRIVAL_DAY;DANGEROUS_FLAG;PASSENGER_FLAG;RORO_FLAG;TONNAGE;SERVICE_DURATION;WAIT_FOR_SERVICE;WAIT_FOR_UNDOCK;ARRIVAL_MONTH;ARRIVAL_MONTH_NUM;TERMINAL;TERMINAL_ID;VESSEL_SIZE_CATEGORY;VESSEL_MARKET_CATEGORY;ARRIVAL_ID;DEMAND_SCENARIO
32.0;229.07;7.56;12.75;1.0;3;4;;2;1;False;False;False;;65.08;0;;;1;Autoridade - Ponta;6;;GSA - E;1;D016
34.0;201.9;7.99;13.1;1.0;6;0;;2;1;False;False;False;;68.63;1.2;;;1;TUP - DPW - CGNC;52;;CGNC;2;D016
40.0;272.08;10.6;9.2;2.0;6;30;;2;1;False;False;False;;18.98;1.55;;;1;Santos Brasil;32;;CGC;3;D016
23.0;164.34;7.8;6.8;2.0;8;0;;2;1;False;False;False;;24.25;2.08;;;1;TUP - Terminal Marítimo Dow;54;;GL;4;D016
43.0;270.93;11.3;9.7;2.0;9;18;;2;1;False;False;False;;30.08;2.53;;;1;TUP - DPW - CGC;51;;CGC;5;D016
33.0;209.75;11.0;9.2;2.0;11;24;;2;1;False;False;False;;15.43;1.62;;;1;Santos Brasil;32;;CGC;6;D016
42.0;334.07;12.0;10.8;2.0;15;53;;2;1;False;False;False;;15.17;2.7;;;1;Santos Brasil;32;;CGC;7;D016
25.0;182.47;8.2;9.5;2.0;16;45;;2;1;False;False;False;;19.93;1.03;;;1;Santos Brasil;32;;CGC;8;D016
18.0;85.34;4.2;5.5;1.0;18;5;;2;1;False;False;False;;70.42;0.08;;;1;TUP - Saipem;53;;CGNC;9;D016
40.0;299.99;9.8;9.2;2.0;19;30;;2;1;False;False;False;;37.42;2.17;;;1;TUP - DPW - CGC;51;;CGC;10;D016
40.0;304.16;11.0;11.3;2.0;20;18;;2;1;False;False;False;;8.4;2.25;;;1;BTP;9;;CGC;11;D016
18.0;116.9;4.8;4.52;1.0;20;20;;2;1;False;False;False;;20.68;0.35;;;1;Ageo Terminais ;2;;GL;12;D016
34.0;201.9;8.15;10.2;1.0;21;30;;2;1;False;False;False;;48.2;1.7;;;1;TUP - DPW - CGNC;52;;CGNC;13;D016
25.0;156.53;8.7;9.3;1.0;0;35;;3;2;False;False;False;;50.57;0;;;1;Outros - Píer da Alamoa;30;;GL;14;D016
32.0;189.99;12.74;6.2;2.0;3;18;;3;2;False;False;False;;113.5;21.55;;;1;Terminal Marítimo do Guarujá (Termag);43;;GSM - I;15;D016
32.0;189.99;5.6;9.63;1.0;3;18;;3;2;False;False;False;;34.0;4.45;;;1;Autoridade - Out;5;;GSA - E;16;D016
44.0;323.0;8.6;8.6;3.0;7;0;;3;2;False;True;False;;10.67;0;;;1;Concais;11;;PASSAGEIROS;17;D016
31.0;198.0;9.7;7.35;2.0;8;6;;3;2;False;False;False;;135.33;0;;;1;Outros - Cais do Saboó;28;;GL;18;D016
28.0;179.99;7.5;7.2;2.0;9;0;;3;2;False;False;False;;55.53;2.83;;;1;Outros - Cais do Outeirinhos;26;;GSM - I;19;D016
17.0;75.2;4.5;5.0;1.0;10;30;;3;2;False;False;False;;6.33;0.17;;;1;TUP - Saipem;53;;CGNC;20;D016
32.0;201.8;8.0;11.9;1.0;12;0;;3;2;False;False;False;;71.2;0;;;1;Outros - Cais do Macuco;25;;CGNC;21;D016
43.0;272.0;12.1;14.2;2.0;12;0;;3;2;False;False;False;;16.72;3.18;;;1;BTP;9;;CGC;22;D016
32.0;294.09;10.0;13.1;2.0;14;0;;3;2;False;False;False;;14.75;2.8;;;1;BTP;9;;CGC;23;D016
32.0;199.9;6.6;12.97;1.0;14;0;;3;2;False;False;False;;42.45;0.92;;;1;Autoridade - Out;5;;GSA - E;24;D016
45.0;299.9;11.8;10.7;2.0;15;23;;3;2;False;False;False;;16.8;2.52;;;1;BTP;9;;CGC;25;D016
22.0;189.99;6.7;11.62;1.0;15;30;;3;2;False;False;False;;28.5;2.25;;;1;Autoridade - Out;5;;GSA - E;26;D016
26.0;170.0;7.55;9.8;1.0;2;0;;4;3;False;False;False;;56.07;12.55;;;1;TUP - Cutrale - GL;49;;GL;27;D016
30.0;222.14;9.7;9.6;2.0;2;0;;4;3;False;False;False;;5.18;2.92;;;1;Santos Brasil;32;;CGC;28;D016
32.0;225.0;8.0;9.0;1.0;3;0;;4;3;False;False;False;;14.47;4.08;;;1;Autoridade - Macuco;4;;CGNC;29;D016
32.0;225.0;9.0;14.3;1.0;3;0;;4;3;False;False;False;;145.22;18.67;;;1;TUP - DPW - CGNC;52;;CGNC;30;D016
38.0;255.4;13.0;11.5;1.0;4;35;;4;3;False;False;False;;18.88;1.3;;;1;TUP - DPW - CGC;51;;CGC;31;D016
48.0;299.18;13.1;10.7;2.0;5;0;;4;3;False;False;False;;18.65;2.28;;;1;Santos Brasil;32;;CGC;32;D016
38.0;333.33;8.6;8.6;3.0;6;25;;4;3;False;True;False;;11.33;0;;;1;Concais;11;;PASSAGEIROS;33;D016
45.0;299.9;11.5;13.4;1.0;7;0;;4;3;False;False;False;;13.97;2.18;;;1;BTP;9;;CGC;34;D016
25.0;195.92;6.3;6.8;1.0;7;29;;4;3;False;False;True;;4.5;13.75;;;1;TEV;45;;CGNC;35;D016
18.0;116.26;4.9;6.3;1.0;10;18;;4;3;False;False;False;;8.28;22.98;;;1;Autoridade - Saboo;7;;CGC;36;D016
40.0;276.2;8.3;9.5;1.0;11;3;;4;3;False;False;False;;6.42;1.6;;;1;BTP;9;;CGC;37;D016
33.0;224.96;7.0;13.58;1.0;11;36;;4;3;False;False;False;;96.17;0;;;1;T-Grão;46;;GSA - E;38;D016
37.0;227.92;11.7;11.4;2.0;12;30;;4;3;False;False;False;;24.18;1.38;;;1;Santos Brasil;32;;CGC;39;D016
32.0;182.88;8.0;10.4;1.0;14;30;;4;3;False;False;False;;34.4;3.73;;;1;Transpetro;47;;GL;40;D016
24.0;145.0;9.5;9.6;2.0;16;0;;4;3;False;False;False;;46.75;0;;;1;Ageo Terminais ;2;;GL;41;D016
48.0;330.0;14.1;11.9;2.0;16;30;;4;3;False;False;False;;26.75;3.13;;;1;BTP;9;;CGC;42;D016
27.0;158.98;8.7;7.3;2.0;21;12;;4;3;False;False;False;;32.33;12.5;;;1;Ultracargo;59;;GL;43;D016
32.0;183.1;7.85;8.8;1.0;22;0;;4;3;False;False;False;;28.87;0;;;1;Outros - Píer da Alamoa;30;;GL;44;D016
32.0;263.23;12.0;11.7;1.0;23;0;;4;3;False;False;False;;15.12;1.2;;;1;TUP - DPW - CGC;51;;CGC;45;D016
51.0;335.0;12.5;10.5;2.0;23;30;;4;3;False;False;False;;29.88;2.73;;;1;Santos Brasil;32;;CGC;46;D016
24.0;145.53;9.7;8.85;2.0;3;0;;5;4;False;False;False;;25.0;0.42;;;1;Ageo Terminais ;2;;GL;47;D016
48.0;299.89;11.5;14.1;1.0;3;0;;5;4;False;False;False;;25.35;1.55;;;1;BTP;9;;CGC;48;D016
52.0;331.43;8.7;8.6;3.0;5;0;;5;4;False;True;False;;11.75;0;;;1;Concais;11;;PASSAGEIROS;49;D016
50.0;305.0;8.5;8.5;3.0;6;0;;5;4;False;True;False;;10.92;0;;;1;Concais;11;;PASSAGEIROS;50;D016
30.0;179.99;6.4;8.9;1.0;6;0;;5;4;False;False;False;;64.6;0.08;;;1;Eldorado (Rishis);14;;GL;51;D016
40.0;304.16;13.4;11.9;2.0;6;1;;5;4;False;False;False;;17.23;2.1;;;1;Santos Brasil;32;;CGC;52;D016
37.0;255.36;10.5;11.25;2.0;7;30;;5;4;False;False;False;;10.73;1.47;;;1;Santos Brasil;32;;CGC;53;D016
30.0;210.56;8.1;11.4;1.0;8;30;;5;4;False;False;False;;73.33;0.17;;;1;Outros - Cais do Macuco;25;;GL;54;D016
32.0;199.9;7.1;10.45;1.0;10;36;;5;4;False;False;False;;55.42;2.08;;;1;Outros - Cais do Macuco;25;;CGNC;55;D016
22.0;119.9;7.2;6.7;1.0;12;30;;5;4;False;False;False;;42.17;0.1;;;1;Ageo Terminais ;2;;GL;56;D016
32.0;229.0;14.2;7.17;2.0;15;0;;5;4;False;False;False;;139.47;3.0;;;1;Terminal Marítimo do Guarujá (Termag);43;;GSM - I;57;D016
32.0;262.08;8.15;11.2;2.0;18;30;;5;4;False;False;False;;12.95;1.32;;;1;Santos Brasil;32;;CGC;58;D016
40.0;299.95;10.9;12.5;1.0;20;0;;5;4;False;False;False;;16.18;1.23;;;1;TUP - DPW - CGC;51;;CGC;59;D016
