Day;arrivals;attended;saldo_dia;queue;SCENARIO_ID
1;18;17,0;1,0;52,0;S2025
2;17;13,0;4,0;56,0;S2025
3;18;16,0;2,0;58,0;S2025
4;22;25,0;-3,0;55,0;S2025
5;14;15,0;-1,0;54,0;S2025
6;25;16,0;9,0;63,0;S2025
7;15;22,0;-7,0;56,0;S2025
8;20;16,0;4,0;60,0;S2025
9;18;21,0;-3,0;57,0;S2025
10;12;16,0;-4,0;53,0;S2025
11;20;18,0;2,0;55,0;S2025
12;16;21,0;-5,0;50,0;S2025
13;15;16,0;-1,0;49,0;S2025
14;20;16,0;4,0;53,0;S2025
15;25;27,0;-2,0;51,0;S2025
16;16;13,0;3,0;54,0;S2025
17;20;17,0;3,0;57,0;S2025
18;18;18,0;0,0;57,0;S2025
19;23;25,0;-2,0;55,0;S2025
20;20;17,0;3,0;58,0;S2025
21;14;15,0;-1,0;57,0;S2025
22;17;18,0;-1,0;56,0;S2025
23;16;14,0;2,0;58,0;S2025
24;8;15,0;-7,0;51,0;S2025
25;20;18,0;2,0;53,0;S2025
26;16;13,0;3,0;56,0;S2025
27;21;17,0;4,0;60,0;S2025
28;15;14,0;1,0;61,0;S2025
29;26;24,0;2,0;63,0;S2025
30;14;14,0;0,0;63,0;S2025
31;23;18,0;5,0;68,0;S2025
32;13;9,0;4,0;72,0;S2025
33;17;13,0;4,0;76,0;S2025
34;18;20,0;-2,0;74,0;S2025
35;9;22,0;-13,0;61,0;S2025
36;13;14,0;-1,0;60,0;S2025
37;16;14,0;2,0;62,0;S2025
38;12;14,0;-2,0;60,0;S2025
39;21;20,0;1,0;61,0;S2025
40;20;21,0;-1,0;60,0;S2025
41;12;16,0;-4,0;56,0;S2025
42;11;17,0;-6,0;50,0;S2025
43;17;16,0;1,0;51,0;S2025
44;12;15,0;-3,0;48,0;S2025
45;17;20,0;-3,0;45,0;S2025
46;13;11,0;2,0;47,0;S2025
47;22;8,0;14,0;61,0;S2025
48;18;2,0;16,0;77,0;S2025
49;19;29,0;-10,0;67,0;S2025
50;18;18,0;0,0;67,0;S2025
51;19;21,0;-2,0;65,0;S2025
52;17;16,0;1,0;66,0;S2025
53;20;22,0;-2,0;64,0;S2025
54;11;14,0;-3,0;61,0;S2025
55;19;27,0;-8,0;53,0;S2025
56;11;10,0;1,0;54,0;S2025
57;15;16,0;-1,0;53,0;S2025
58;16;15,0;1,0;54,0;S2025
59;24;19,0;5,0;59,0;S2025
60;21;18,0;3,0;62,0;S2025
61;20;21,0;-1,0;61,0;S2025
62;15;18,0;-3,0;58,0;S2025
63;12;16,0;-4,0;54,0;S2025
64;19;15,0;4,0;58,0;S2025
65;14;18,0;-4,0;54,0;S2025
66;21;17,0;4,0;58,0;S2025
67;20;20,0;0,0;58,0;S2025
68;14;18,0;-4,0;54,0;S2025
69;14;12,0;2,0;56,0;S2025
70;13;17,0;-4,0;52,0;S2025
71;9;13,0;-4,0;48,0;S2025
72;21;16,0;5,0;53,0;S2025
73;18;14,0;4,0;57,0;S2025
74;13;15,0;-2,0;55,0;S2025
75;17;19,0;-2,0;53,0;S2025
76;17;20,0;-3,0;50,0;S2025
77;23;19,0;4,0;54,0;S2025
78;17;20,0;-3,0;51,0;S2025
79;18;11,0;7,0;58,0;S2025
80;16;11,0;5,0;63,0;S2025
81;15;14,0;1,0;64,0;S2025
82;23;23,0;0,0;64,0;S2025
83;12;17,0;-5,0;59,0;S2025
84;15;19,0;-4,0;55,0;S2025
85;17;18,0;-1,0;54,0;S2025
86;19;14,0;5,0;59,0;S2025
87;21;18,0;3,0;62,0;S2025
88;16;20,0;-4,0;58,0;S2025
89;22;18,0;4,0;62,0;S2025
90;21;19,0;2,0;64,0;S2025
