Day;MARKET_CATEGORY;arrivals;attended;saldo_dia;queue;SCENARIO_ID
1;CGC;4,0;3,0;1,0;6,0;S2025
2;CGC;8,0;4,0;4,0;10,0;S2025
3;CGC;6,0;7,0;-1,0;9,0;S2025
4;CGC;6,0;5,0;1,0;10,0;S2025
5;CGC;4,0;5,0;-1,0;9,0;S2025
6;CGC;6,0;8,0;-2,0;7,0;S2025
7;CGC;5,0;7,0;-2,0;5,0;S2025
8;CGC;11,0;6,0;5,0;10,0;S2025
9;CGC;4,0;8,0;-4,0;6,0;S2025
10;CGC;2,0;5,0;-3,0;3,0;S2025
11;CGC;9,0;6,0;3,0;6,0;S2025
12;CGC;8,0;6,0;2,0;8,0;S2025
13;CGC;6,0;6,0;0,0;8,0;S2025
14;CGC;5,0;7,0;-2,0;6,0;S2025
15;CGC;8,0;7,0;1,0;7,0;S2025
16;CGC;6,0;5,0;1,0;8,0;S2025
17;CGC;8,0;6,0;2,0;10,0;S2025
18;CGC;5,0;6,0;-1,0;9,0;S2025
19;CGC;7,0;9,0;-2,0;7,0;S2025
20;CGC;7,0;7,0;0,0;7,0;S2025
21;CGC;5,0;4,0;1,0;8,0;S2025
22;CGC;7,0;7,0;0,0;8,0;S2025
23;CGC;6,0;3,0;3,0;11,0;S2025
24;CGC;3,0;7,0;-4,0;7,0;S2025
25;CGC;5,0;5,0;0,0;7,0;S2025
26;CGC;5,0;6,0;-1,0;6,0;S2025
27;CGC;9,0;9,0;0,0;6,0;S2025
28;CGC;4,0;6,0;-2,0;4,0;S2025
29;CGC;9,0;8,0;1,0;5,0;S2025
30;CGC;5,0;5,0;0,0;5,0;S2025
31;CGC;8,0;6,0;2,0;7,0;S2025
32;CGC;4,0;2,0;2,0;9,0;S2025
33;CGC;10,0;5,0;5,0;14,0;S2025
34;CGC;7,0;6,0;1,0;15,0;S2025
35;CGC;3,0;9,0;-6,0;9,0;S2025
36;CGC;5,0;6,0;-1,0;8,0;S2025
37;CGC;6,0;7,0;-1,0;7,0;S2025
38;CGC;8,0;6,0;2,0;9,0;S2025
39;CGC;7,0;5,0;2,0;11,0;S2025
40;CGC;7,0;9,0;-2,0;9,0;S2025
41;CGC;6,0;8,0;-2,0;7,0;S2025
42;CGC;3,0;6,0;-3,0;4,0;S2025
43;CGC;9,0;5,0;4,0;8,0;S2025
44;CGC;6,0;7,0;-1,0;7,0;S2025
45;CGC;4,0;6,0;-2,0;5,0;S2025
46;CGC;5,0;2,0;3,0;8,0;S2025
47;CGC;8,0;1,0;7,0;15,0;S2025
48;CGC;5,0;1,0;4,0;19,0;S2025
49;CGC;3,0;9,0;-6,0;13,0;S2025
50;CGC;6,0;7,0;-1,0;12,0;S2025
51;CGC;8,0;7,0;1,0;13,0;S2025
52;CGC;8,0;7,0;1,0;14,0;S2025
53;CGC;5,0;9,0;-4,0;10,0;S2025
54;CGC;3,0;8,0;-5,0;5,0;S2025
55;CGC;9,0;8,0;1,0;6,0;S2025
56;CGC;4,0;4,0;0,0;6,0;S2025
57;CGC;7,0;7,0;0,0;6,0;S2025
58;CGC;7,0;6,0;1,0;7,0;S2025
59;CGC;10,0;8,0;2,0;9,0;S2025
60;CGC;6,0;7,0;-1,0;8,0;S2025
61;CGC;8,0;8,0;0,0;8,0;S2025
62;CGC;5,0;6,0;-1,0;7,0;S2025
63;CGC;5,0;8,0;-3,0;4,0;S2025
64;CGC;7,0;5,0;2,0;6,0;S2025
65;CGC;7,0;8,0;-1,0;5,0;S2025
66;CGC;7,0;5,0;2,0;7,0;S2025
67;CGC;5,0;6,0;-1,0;6,0;S2025
68;CGC;5,0;6,0;-1,0;5,0;S2025
69;CGC;8,0;8,0;0,0;5,0;S2025
70;CGC;5,0;7,0;-2,0;3,0;S2025
71;CGC;4,0;6,0;-2,0;1,0;S2025
72;CGC;7,0;6,0;1,0;2,0;S2025
73;CGC;10,0;7,0;3,0;5,0;S2025
74;CGC;4,0;5,0;-1,0;4,0;S2025
75;CGC;9,0;7,0;2,0;6,0;S2025
76;CGC;6,0;7,0;-1,0;5,0;S2025
77;CGC;5,0;7,0;-2,0;3,0;S2025
78;CGC;6,0;7,0;-1,0;2,0;S2025
79;CGC;7,0;6,0;1,0;3,0;S2025
80;CGC;4,0;5,0;-1,0;2,0;S2025
81;CGC;3,0;1,0;2,0;4,0;S2025
82;CGC;9,0;6,0;3,0;7,0;S2025
83;CGC;6,0;9,0;-3,0;4,0;S2025
84;CGC;6,0;6,0;0,0;4,0;S2025
85;CGC;5,0;6,0;-1,0;3,0;S2025
86;CGC;5,0;5,0;0,0;3,0;S2025
87;CGC;12,0;8,0;4,0;7,0;S2025
88;CGC;4,0;9,0;-5,0;2,0;S2025
89;CGC;10,0;6,0;4,0;6,0;S2025
90;CGC;6,0;6,0;0,0;6,0;S2025
1;CGNC;5,0;5,0;0,0;2,0;S2025
2;CGNC;3,0;1,0;2,0;4,0;S2025
3;CGNC;4,0;2,0;2,0;6,0;S2025
4;CGNC;6,0;8,0;-2,0;4,0;S2025
5;CGNC;1,0;1,0;0,0;4,0;S2025
6;CGNC;6,0;5,0;1,0;5,0;S2025
7;CGNC;2,0;4,0;-2,0;3,0;S2025
8;CGNC;0,0;1,0;-1,0;2,0;S2025
9;CGNC;3,0;5,0;-2,0;0,0;S2025
10;CGNC;3,0;2,0;1,0;1,0;S2025
11;CGNC;3,0;3,0;0,0;1,0;S2025
12;CGNC;3,0;4,0;-1,0;0,0;S2025
13;CGNC;2,0;1,0;1,0;1,0;S2025
14;CGNC;4,0;2,0;2,0;3,0;S2025
15;CGNC;4,0;6,0;-2,0;1,0;S2025
16;CGNC;1,0;0,0;1,0;2,0;S2025
17;CGNC;2,0;3,0;-1,0;1,0;S2025
18;CGNC;3,0;4,0;-1,0;0,0;S2025
19;CGNC;4,0;2,0;2,0;2,0;S2025
20;CGNC;1,0;1,0;0,0;2,0;S2025
21;CGNC;2,0;4,0;-2,0;0,0;S2025
22;CGNC;1,0;1,0;0,0;0,0;S2025
23;CGNC;0,0;0,0;0,0;0,0;S2025
24;CGNC;2,0;1,0;1,0;1,0;S2025
25;CGNC;4,0;5,0;-1,0;0,0;S2025
26;CGNC;2,0;2,0;0,0;0,0;S2025
27;CGNC;5,0;3,0;2,0;2,0;S2025
28;CGNC;2,0;0,0;2,0;4,0;S2025
29;CGNC;2,0;3,0;-1,0;3,0;S2025
30;CGNC;4,0;3,0;1,0;4,0;S2025
31;CGNC;2,0;1,0;1,0;5,0;S2025
32;CGNC;0,0;0,0;0,0;5,0;S2025
33;CGNC;3,0;1,0;2,0;7,0;S2025
34;CGNC;2,0;4,0;-2,0;5,0;S2025
35;CGNC;0,0;1,0;-1,0;4,0;S2025
36;CGNC;1,0;0,0;1,0;5,0;S2025
37;CGNC;3,0;1,0;2,0;7,0;S2025
38;CGNC;1,0;1,0;0,0;7,0;S2025
39;CGNC;5,0;5,0;0,0;7,0;S2025
40;CGNC;4,0;3,0;1,0;8,0;S2025
41;CGNC;1,0;3,0;-2,0;6,0;S2025
42;CGNC;2,0;3,0;-1,0;5,0;S2025
43;CGNC;2,0;2,0;0,0;5,0;S2025
44;CGNC;2,0;1,0;1,0;6,0;S2025
45;CGNC;4,0;3,0;1,0;7,0;S2025
46;CGNC;0,0;2,0;-2,0;5,0;S2025
47;CGNC;1,0;0,0;1,0;6,0;S2025
48;CGNC;3,0;0,0;3,0;9,0;S2025
49;CGNC;8,0;6,0;2,0;11,0;S2025
50;CGNC;1,0;4,0;-3,0;8,0;S2025
51;CGNC;4,0;4,0;0,0;8,0;S2025
52;CGNC;1,0;4,0;-3,0;5,0;S2025
53;CGNC;2,0;2,0;0,0;5,0;S2025
54;CGNC;1,0;1,0;0,0;5,0;S2025
55;CGNC;3,0;4,0;-1,0;4,0;S2025
56;CGNC;2,0;1,0;1,0;5,0;S2025
57;CGNC;2,0;1,0;1,0;6,0;S2025
58;CGNC;2,0;1,0;1,0;7,0;S2025
59;CGNC;1,0;1,0;0,0;7,0;S2025
60;CGNC;4,0;2,0;2,0;9,0;S2025
61;CGNC;3,0;3,0;0,0;9,0;S2025
62;CGNC;3,0;1,0;2,0;11,0;S2025
63;CGNC;2,0;2,0;0,0;11,0;S2025
64;CGNC;2,0;2,0;0,0;11,0;S2025
65;CGNC;3,0;5,0;-2,0;9,0;S2025
66;CGNC;1,0;3,0;-2,0;7,0;S2025
67;CGNC;3,0;5,0;-2,0;5,0;S2025
68;CGNC;2,0;2,0;0,0;5,0;S2025
69;CGNC;2,0;0,0;2,0;7,0;S2025
70;CGNC;0,0;1,0;-1,0;6,0;S2025
71;CGNC;1,0;0,0;1,0;7,0;S2025
72;CGNC;5,0;3,0;2,0;9,0;S2025
73;CGNC;1,0;1,0;0,0;9,0;S2025
74;CGNC;2,0;2,0;0,0;9,0;S2025
75;CGNC;3,0;3,0;0,0;9,0;S2025
76;CGNC;5,0;4,0;1,0;10,0;S2025
77;CGNC;3,0;4,0;-1,0;9,0;S2025
78;CGNC;5,0;4,0;1,0;10,0;S2025
79;CGNC;0,0;0,0;0,0;10,0;S2025
80;CGNC;0,0;1,0;-1,0;9,0;S2025
81;CGNC;5,0;3,0;2,0;11,0;S2025
82;CGNC;2,0;4,0;-2,0;9,0;S2025
83;CGNC;1,0;2,0;-1,0;8,0;S2025
84;CGNC;3,0;4,0;-1,0;7,0;S2025
85;CGNC;1,0;2,0;-1,0;6,0;S2025
86;CGNC;2,0;3,0;-1,0;5,0;S2025
87;CGNC;1,0;1,0;0,0;5,0;S2025
88;CGNC;2,0;2,0;0,0;5,0;S2025
89;CGNC;6,0;5,0;1,0;6,0;S2025
90;CGNC;5,0;0,0;5,0;11,0;S2025
1;GL;1,0;3,0;-2,0;3,0;S2025
2;GL;3,0;3,0;0,0;3,0;S2025
3;GL;1,0;2,0;-1,0;2,0;S2025
4;GL;3,0;3,0;0,0;2,0;S2025
5;GL;3,0;4,0;-1,0;1,0;S2025
6;GL;1,0;1,0;0,0;1,0;S2025
7;GL;2,0;2,0;0,0;1,0;S2025
8;GL;4,0;4,0;0,0;1,0;S2025
9;GL;4,0;2,0;2,0;3,0;S2025
10;GL;3,0;3,0;0,0;3,0;S2025
11;GL;3,0;2,0;1,0;4,0;S2025
12;GL;2,0;3,0;-1,0;3,0;S2025
13;GL;1,0;2,0;-1,0;2,0;S2025
14;GL;4,0;3,0;1,0;3,0;S2025
15;GL;5,0;5,0;0,0;3,0;S2025
16;GL;5,0;4,0;1,0;4,0;S2025
17;GL;3,0;3,0;0,0;4,0;S2025
18;GL;1,0;1,0;0,0;4,0;S2025
19;GL;6,0;5,0;1,0;5,0;S2025
20;GL;5,0;3,0;2,0;7,0;S2025
21;GL;1,0;0,0;1,0;8,0;S2025
22;GL;3,0;0,0;3,0;11,0;S2025
23;GL;2,0;5,0;-3,0;8,0;S2025
24;GL;0,0;2,0;-2,0;6,0;S2025
25;GL;6,0;5,0;1,0;7,0;S2025
26;GL;3,0;2,0;1,0;8,0;S2025
27;GL;5,0;3,0;2,0;10,0;S2025
28;GL;4,0;3,0;1,0;11,0;S2025
29;GL;6,0;3,0;3,0;14,0;S2025
30;GL;2,0;4,0;-2,0;12,0;S2025
31;GL;3,0;5,0;-2,0;10,0;S2025
32;GL;3,0;2,0;1,0;11,0;S2025
33;GL;1,0;3,0;-2,0;9,0;S2025
34;GL;2,0;3,0;-1,0;8,0;S2025
35;GL;1,0;3,0;-2,0;6,0;S2025
36;GL;4,0;4,0;0,0;6,0;S2025
37;GL;2,0;2,0;0,0;6,0;S2025
38;GL;2,0;4,0;-2,0;4,0;S2025
39;GL;1,0;1,0;0,0;4,0;S2025
40;GL;5,0;4,0;1,0;5,0;S2025
41;GL;2,0;1,0;1,0;6,0;S2025
42;GL;3,0;1,0;2,0;8,0;S2025
43;GL;0,0;5,0;-5,0;3,0;S2025
44;GL;2,0;1,0;1,0;4,0;S2025
45;GL;3,0;4,0;-1,0;3,0;S2025
46;GL;4,0;3,0;1,0;4,0;S2025
47;GL;5,0;1,0;4,0;8,0;S2025
48;GL;3,0;1,0;2,0;10,0;S2025
49;GL;3,0;6,0;-3,0;7,0;S2025
50;GL;3,0;3,0;0,0;7,0;S2025
51;GL;2,0;3,0;-1,0;6,0;S2025
52;GL;2,0;1,0;1,0;7,0;S2025
53;GL;4,0;3,0;1,0;8,0;S2025
54;GL;2,0;2,0;0,0;8,0;S2025
55;GL;2,0;6,0;-4,0;4,0;S2025
56;GL;2,0;2,0;0,0;4,0;S2025
57;GL;3,0;2,0;1,0;5,0;S2025
58;GL;3,0;3,0;0,0;5,0;S2025
59;GL;4,0;3,0;1,0;6,0;S2025
60;GL;7,0;3,0;4,0;10,0;S2025
61;GL;0,0;4,0;-4,0;6,0;S2025
62;GL;3,0;2,0;1,0;7,0;S2025
63;GL;3,0;2,0;1,0;8,0;S2025
64;GL;2,0;2,0;0,0;8,0;S2025
65;GL;1,0;0,0;1,0;9,0;S2025
66;GL;2,0;6,0;-4,0;5,0;S2025
67;GL;2,0;2,0;0,0;5,0;S2025
68;GL;2,0;4,0;-2,0;3,0;S2025
69;GL;2,0;2,0;0,0;3,0;S2025
70;GL;3,0;3,0;0,0;3,0;S2025
71;GL;0,0;2,0;-2,0;1,0;S2025
72;GL;3,0;1,0;2,0;3,0;S2025
73;GL;1,0;2,0;-1,0;2,0;S2025
74;GL;1,0;0,0;1,0;3,0;S2025
75;GL;2,0;2,0;0,0;3,0;S2025
76;GL;0,0;0,0;0,0;3,0;S2025
77;GL;2,0;2,0;0,0;3,0;S2025
78;GL;4,0;3,0;1,0;4,0;S2025
79;GL;5,0;3,0;2,0;6,0;S2025
80;GL;3,0;1,0;2,0;8,0;S2025
81;GL;4,0;5,0;-1,0;7,0;S2025
82;GL;6,0;5,0;1,0;8,0;S2025
83;GL;1,0;1,0;0,0;8,0;S2025
84;GL;0,0;2,0;-2,0;6,0;S2025
85;GL;6,0;4,0;2,0;8,0;S2025
86;GL;3,0;1,0;2,0;10,0;S2025
87;GL;1,0;1,0;0,0;10,0;S2025
88;GL;3,0;3,0;0,0;10,0;S2025
89;GL;2,0;3,0;-1,0;9,0;S2025
90;GL;4,0;5,0;-1,0;8,0;S2025
1;GSA - E;7,0;5,0;2,0;37,0;S2025
2;GSA - E;3,0;3,0;0,0;37,0;S2025
3;GSA - E;5,0;3,0;2,0;39,0;S2025
4;GSA - E;6,0;8,0;-2,0;37,0;S2025
5;GSA - E;5,0;4,0;1,0;38,0;S2025
6;GSA - E;7,0;0,0;7,0;45,0;S2025
7;GSA - E;3,0;8,0;-5,0;40,0;S2025
8;GSA - E;4,0;4,0;0,0;40,0;S2025
9;GSA - E;3,0;5,0;-2,0;38,0;S2025
10;GSA - E;4,0;3,0;1,0;39,0;S2025
11;GSA - E;3,0;5,0;-2,0;37,0;S2025
12;GSA - E;1,0;8,0;-7,0;30,0;S2025
13;GSA - E;3,0;4,0;-1,0;29,0;S2025
14;GSA - E;5,0;4,0;1,0;30,0;S2025
15;GSA - E;8,0;6,0;2,0;32,0;S2025
16;GSA - E;4,0;2,0;2,0;34,0;S2025
17;GSA - E;5,0;4,0;1,0;35,0;S2025
18;GSA - E;4,0;4,0;0,0;35,0;S2025
19;GSA - E;6,0;6,0;0,0;35,0;S2025
20;GSA - E;5,0;5,0;0,0;35,0;S2025
21;GSA - E;4,0;5,0;-1,0;34,0;S2025
22;GSA - E;4,0;6,0;-2,0;32,0;S2025
23;GSA - E;6,0;5,0;1,0;33,0;S2025
24;GSA - E;2,0;4,0;-2,0;31,0;S2025
25;GSA - E;1,0;2,0;-1,0;30,0;S2025
26;GSA - E;4,0;2,0;2,0;32,0;S2025
27;GSA - E;2,0;2,0;0,0;32,0;S2025
28;GSA - E;2,0;3,0;-1,0;31,0;S2025
29;GSA - E;8,0;7,0;1,0;32,0;S2025
30;GSA - E;3,0;2,0;1,0;33,0;S2025
31;GSA - E;9,0;5,0;4,0;37,0;S2025
32;GSA - E;6,0;2,0;4,0;41,0;S2025
33;GSA - E;2,0;2,0;0,0;41,0;S2025
34;GSA - E;5,0;5,0;0,0;41,0;S2025
35;GSA - E;3,0;8,0;-5,0;36,0;S2025
36;GSA - E;3,0;4,0;-1,0;35,0;S2025
37;GSA - E;4,0;3,0;1,0;36,0;S2025
38;GSA - E;1,0;3,0;-2,0;34,0;S2025
39;GSA - E;6,0;5,0;1,0;35,0;S2025
40;GSA - E;2,0;4,0;-2,0;33,0;S2025
41;GSA - E;3,0;4,0;-1,0;32,0;S2025
42;GSA - E;3,0;5,0;-2,0;30,0;S2025
43;GSA - E;5,0;4,0;1,0;31,0;S2025
44;GSA - E;2,0;5,0;-3,0;28,0;S2025
45;GSA - E;4,0;6,0;-2,0;26,0;S2025
46;GSA - E;2,0;2,0;0,0;26,0;S2025
47;GSA - E;7,0;5,0;2,0;28,0;S2025
48;GSA - E;5,0;0,0;5,0;33,0;S2025
49;GSA - E;3,0;7,0;-4,0;29,0;S2025
50;GSA - E;8,0;2,0;6,0;35,0;S2025
51;GSA - E;2,0;4,0;-2,0;33,0;S2025
52;GSA - E;3,0;4,0;-1,0;32,0;S2025
53;GSA - E;6,0;5,0;1,0;33,0;S2025
54;GSA - E;3,0;1,0;2,0;35,0;S2025
55;GSA - E;2,0;8,0;-6,0;29,0;S2025
56;GSA - E;0,0;1,0;-1,0;28,0;S2025
57;GSA - E;2,0;5,0;-3,0;25,0;S2025
58;GSA - E;4,0;3,0;1,0;26,0;S2025
59;GSA - E;7,0;4,0;3,0;29,0;S2025
60;GSA - E;4,0;4,0;0,0;29,0;S2025
61;GSA - E;7,0;4,0;3,0;32,0;S2025
62;GSA - E;3,0;8,0;-5,0;27,0;S2025
63;GSA - E;2,0;4,0;-2,0;25,0;S2025
64;GSA - E;7,0;4,0;3,0;28,0;S2025
65;GSA - E;3,0;5,0;-2,0;26,0;S2025
66;GSA - E;10,0;3,0;7,0;33,0;S2025
67;GSA - E;7,0;6,0;1,0;34,0;S2025
68;GSA - E;4,0;4,0;0,0;34,0;S2025
69;GSA - E;1,0;1,0;0,0;34,0;S2025
70;GSA - E;1,0;3,0;-2,0;32,0;S2025
71;GSA - E;3,0;4,0;-1,0;31,0;S2025
72;GSA - E;5,0;4,0;1,0;32,0;S2025
73;GSA - E;4,0;2,0;2,0;34,0;S2025
74;GSA - E;6,0;7,0;-1,0;33,0;S2025
75;GSA - E;2,0;7,0;-5,0;28,0;S2025
76;GSA - E;3,0;4,0;-1,0;27,0;S2025
77;GSA - E;8,0;4,0;4,0;31,0;S2025
78;GSA - E;1,0;5,0;-4,0;27,0;S2025
79;GSA - E;5,0;2,0;3,0;30,0;S2025
80;GSA - E;6,0;3,0;3,0;33,0;S2025
81;GSA - E;2,0;4,0;-2,0;31,0;S2025
82;GSA - E;5,0;4,0;1,0;32,0;S2025
83;GSA - E;2,0;5,0;-3,0;29,0;S2025
84;GSA - E;6,0;5,0;1,0;30,0;S2025
85;GSA - E;3,0;4,0;-1,0;29,0;S2025
86;GSA - E;7,0;3,0;4,0;33,0;S2025
87;GSA - E;3,0;4,0;-1,0;32,0;S2025
88;GSA - E;5,0;5,0;0,0;32,0;S2025
89;GSA - E;4,0;2,0;2,0;34,0;S2025
90;GSA - E;4,0;5,0;-1,0;33,0;S2025
1;GSA - I;0,0;0,0;0,0;0,0;S2025
2;GSA - I;0,0;0,0;0,0;0,0;S2025
3;GSA - I;0,0;0,0;0,0;0,0;S2025
4;GSA - I;0,0;0,0;0,0;0,0;S2025
5;GSA - I;0,0;0,0;0,0;0,0;S2025
6;GSA - I;0,0;0,0;0,0;0,0;S2025
7;GSA - I;1,0;0,0;1,0;1,0;S2025
8;GSA - I;0,0;0,0;0,0;1,0;S2025
9;GSA - I;0,0;0,0;0,0;1,0;S2025
10;GSA - I;0,0;0,0;0,0;1,0;S2025
11;GSA - I;0,0;0,0;0,0;1,0;S2025
12;GSA - I;0,0;0,0;0,0;1,0;S2025
13;GSA - I;0,0;0,0;0,0;1,0;S2025
14;GSA - I;1,0;0,0;1,0;2,0;S2025
15;GSA - I;0,0;0,0;0,0;2,0;S2025
16;GSA - I;0,0;1,0;-1,0;1,0;S2025
17;GSA - I;0,0;0,0;0,0;1,0;S2025
18;GSA - I;0,0;0,0;0,0;1,0;S2025
19;GSA - I;0,0;1,0;-1,0;0,0;S2025
20;GSA - I;0,0;0,0;0,0;0,0;S2025
21;GSA - I;0,0;0,0;0,0;0,0;S2025
22;GSA - I;1,0;1,0;0,0;0,0;S2025
23;GSA - I;0,0;0,0;0,0;0,0;S2025
24;GSA - I;0,0;0,0;0,0;0,0;S2025
25;GSA - I;1,0;0,0;1,0;1,0;S2025
