SCENARIO_ID;ARRIVAL_ID;METOCEAN_QUEUE_TIME;BERTH_QUEUE_TIME;CHANNEL_QUEUE_TIME;TOTAL_QUEUE_TIME;MARKET_CATEGORY
S2025;3220;529.0;41.42;25.33;595.75;GSA - E
S2025;3246;479.75;22.92;114.25;616.92;GSA - E
S2025;3269;452.42;0.0;58.5;510.92;GSA - E
S2025;3288;428.25;335.17;43.33;806.75;GSA - E
S2025;3303;382.83;0.0;44.42;427.25;GSA - E
S2025;3332;335.17;0.0;12.0;347.17;GL
S2025;3336;333.17;0.0;42.83;376.0;GSM - I
S2025;3345;352.0;0.0;49.42;401.42;GSA - E
S2025;3354;310.33;63.75;18.67;392.75;GSA - E
S2025;3403;334.67;35.33;95.33;465.33;GSA - E
S2025;3404;250.17;0.0;23.83;274.0;GSA - E
S2025;3409;236.17;0.0;33.08;269.25;GSA - E
S2025;3414;267.5;0.0;109.92;377.42;GSA - E
S2025;3416;257.92;98.58;139.92;496.42;GSA - E
S2025;3421;278.08;56.5;97.33;431.92;GSA - E
S2025;3427;210.08;0.0;19.25;229.33;GL
S2025;3446;245.67;0.0;94.25;339.92;GSA - E
S2025;3450;184.0;0.0;0.0;184.0;GSA - E
S2025;3461;184.42;64.42;80.58;329.42;GSA - E
S2025;3464;246.0;84.92;118.42;449.33;GSA - E
S2025;3466;287.17;0.0;166.75;453.92;GSA - E
S2025;3468;249.42;125.67;99.42;474.5;GSA - E
S2025;3475;174.25;128.17;69.67;372.08;CGC
S2025;3490;133.92;16.5;20.83;171.25;GL
S2025;3491;144.0;61.5;108.0;313.5;GSA - E
S2025;3504;122.67;87.0;80.58;290.25;GSA - E
S2025;3509;101.92;23.42;21.0;146.33;GL
S2025;3513;117.33;166.42;146.75;430.5;GSA - E
S2025;3523;64.42;0.0;22.92;87.33;GSM - I
S2025;3525;251.17;196.5;107.42;555.08;GSA - E
S2025;3526;59.0;0.0;12.92;71.92;CGC
S2025;3527;64.75;0.0;70.08;134.83;GL
S2025;3528;57.33;0.0;0.25;57.58;CGNC
S2025;3529;88.42;121.0;63.08;272.5;GSA - E
S2025;3532;54.5;0.0;8.58;63.08;RORO
S2025;3534;52.83;0.0;12.92;65.75;GSA - E
S2025;3537;72.5;320.92;132.67;526.08;GSM - I
S2025;3540;35.92;0.0;27.58;63.5;GSA - E
S2025;3542;47.25;123.33;18.67;189.25;GSA - E
S2025;3543;77.25;226.33;71.58;375.17;GSA - E
S2025;3546;212.08;396.17;136.5;744.75;GSA - E
S2025;3548;115.58;152.08;125.33;393.0;GSA - E
S2025;3549;103.42;106.42;118.0;327.83;GSA - E
S2025;3551;16.92;0.0;1.0;17.92;GSA - E
S2025;3555;10.0;0.0;0.75;10.75;CGNC
S2025;3556;10.58;0.0;29.42;40.0;CGC
S2025;3557;137.25;111.67;27.25;276.17;GSA - E
S2025;3559;176.67;126.92;50.67;354.25;GSA - E
S2025;3560;186.25;0.0;296.33;482.58;GSA - E
S2025;3561;1.92;0.0;23.33;25.25;CGC
S2025;3562;0.5;0.0;0.5;1.0;CGC
S2025;3563;156.92;296.08;132.67;585.67;GSA - E
S2025;3564;1.5;0.0;28.75;30.25;CGC
S2025;3565;0.0;0.0;0.08;0.08;GSA - E
S2025;3566;5.17;20.0;28.17;53.33;GSA - E
S2025;3567;0.0;0.0;0.0;0.0;CGNC
S2025;3568;23.33;180.08;31.58;235.0;GSA - E
S2025;3569;0.0;0.0;1.67;1.67;CGNC
S2025;3570;1.25;0.0;17.42;18.67;CGNC
S2025;3571;1.33;14.42;1.83;17.58;RORO
S2025;3572;0.0;0.0;11.08;11.08;CGC
S2025;3573;0.0;0.0;10.08;10.08;CGNC
S2025;3574;0.0;0.0;0.0;0.0;GL
S2025;3575;0.0;0.0;0.75;0.75;GSA - E
S2025;3576;26.0;44.5;5.25;75.75;GSA - E
S2025;3577;2.67;28.0;8.0;38.67;CGC
S2025;3578;13.0;0.0;97.92;110.92;CGNC
S2025;3579;36.42;61.33;0.0;97.75;GSA - E
S2025;3580;0.92;4.08;14.08;19.08;CGC
S2025;3581;5.0;0.0;33.0;38.0;CGC
S2025;3582;0.0;0.0;0.0;0.0;GL
S2025;3583;1.33;37.17;0.25;38.75;CGC
S2025;3584;1.25;21.92;3.17;26.33;CGC
S2025;3585;97.67;120.58;3.08;221.33;GSA - E
S2025;3586;1.5;0.0;34.75;36.25;CGC
S2025;3587;0.0;0.0;0.0;0.0;GL
S2025;3588;177.75;26.33;2.92;207.0;CGC
S2025;3589;7.0;66.17;5.5;78.67;GL
S2025;3590;5.17;25.25;4.58;35.0;GSA - E
S2025;3591;4.25;3.75;47.58;55.58;CGC
S2025;3592;13.0;39.58;31.17;83.75;CGNC
S2025;3593;3.67;0.0;43.75;47.42;CGC
S2025;3594;0.92;23.5;0.58;25.0;CGC
S2025;3595;2.5;0.0;35.08;37.58;CGNC
S2025;3596;19.25;80.75;10.5;110.5;GSA - E
S2025;3597;2.83;0.0;25.0;27.83;CGNC
S2025;3598;9.75;0.0;26.67;36.42;GSA - E
S2025;3599;0.0;0.0;4.58;4.58;RORO
S2025;3600;110.42;84.75;39.33;234.5;GSA - E
S2025;3601;0.0;0.0;2.83;2.83;CGNC
S2025;3602;76.0;78.67;2.25;156.92;GSA - E
S2025;3603;0.0;0.0;1.75;1.75;CGNC
S2025;3604;1.5;0.0;32.08;33.58;CGNC
S2025;3605;1.33;32.42;0.0;33.75;CGC
S2025;3606;0.0;6.58;0.0;6.58;GSA - E
S2025;3607;0.0;0.0;0.0;0.0;CGC
S2025;3608;0.92;19.83;0.0;20.75;CGC
S2025;3609;11.5;0.0;74.75;86.25;CGNC
S2025;3610;25.67;224.5;25.25;275.42;GSA - E
S2025;3611;13.75;41.42;27.08;82.25;CGC
S2025;3612;4.17;0.0;29.58;33.75;GSM - I
S2025;3613;3.0;18.17;20.75;41.92;CGC
S2025;3614;21.83;14.17;19.33;55.33;CGC
S2025;3615;0.0;0.0;0.58;0.58;GL
S2025;3616;17.08;21.75;17.33;56.17;CGC
S2025;3617;0.0;0.0;0.0;0.0;GL
S2025;3618;22.58;23.42;17.25;63.25;CGC
S2025;3619;5.42;0.0;4.0;9.42;CGNC
S2025;3620;27.5;66.67;0.75;94.92;GSA - E
S2025;3621;0.0;0.0;0.0;0.0;GSA - E
S2025;3622;0.0;0.0;0.58;0.58;CGNC
S2025;3623;0.0;0.0;4.42;4.42;CGNC
S2025;3624;0.0;5.92;0.0;5.92;CGC
S2025;3625;0.0;0.0;5.92;5.92;CGNC
S2025;3626;0.0;0.0;1.67;1.67;GL
S2025;3627;0.0;0.0;7.75;7.75;CGNC
S2025;3628;55.92;22.17;16.08;94.17;CGNC
S2025;3629;81.33;172.75;55.67;309.75;GSA - E
S2025;3630;0.92;7.75;1.92;10.58;CGC
S2025;3631;74.08;368.08;52.75;494.92;GSA - E
S2025;3632;0.0;4.25;0.0;4.25;RORO
S2025;3633;10.25;42.08;0.0;52.33;GL
S2025;3634;0.92;4.58;0.0;5.5;CGC
S2025;3635;0.0;0.0;3.17;3.17;GSA - E
S2025;3636;49.75;60.92;0.5;111.17;GSA - E
S2025;3637;0.08;0.08;3.08;3.25;CGC
S2025;3638;0.0;0.0;0.0;0.0;CGC
S2025;3639;8.08;10.83;7.0;25.92;CGC
S2025;3640;22.67;203.25;7.08;233.0;GSA - E
S2025;3641;0.0;0.0;3.17;3.17;GL
S2025;3642;0.0;0.0;2.17;2.17;GL
S2025;3643;0.0;0.0;0.67;0.67;CGNC
S2025;3644;22.17;45.83;2.0;70.0;GSA - E
S2025;3645;9.17;32.17;1.75;43.08;GSA - E
S2025;3646;0.0;0.0;0.17;0.17;GL
S2025;3647;2.0;0.0;1.83;3.83;GSA - E
S2025;3648;18.08;25.92;37.92;81.92;GSM - I
S2025;3649;1.42;0.0;0.0;1.42;GSA - E
S2025;3650;88.92;33.67;8.33;130.92;CGC
S2025;3651;4.83;0.0;1.83;6.67;CGC
S2025;3652;0.0;0.0;1.0;1.0;CGC
S2025;3653;0.0;0.08;0.67;0.75;CGC
S2025;3654;11.42;141.5;0.0;152.92;GSA - E
S2025;3655;30.5;4.5;0.0;35.0;CGC
S2025;3656;0.0;0.0;0.25;0.25;CGNC
S2025;3657;0.0;0.0;0.0;0.0;CGNC
S2025;3658;10.75;139.92;6.75;157.42;GSM - I
S2025;3659;11.5;30.5;41.0;83.0;GSM - I
S2025;3660;24.83;86.75;124.0;235.58;GSM - I
S2025;3661;0.0;0.0;0.0;0.0;GSM - I
S2025;3662;7.17;9.92;42.5;59.58;CGNC
S2025;3663;0.0;0.0;0.0;0.0;RORO
S2025;3664;1.25;13.67;1.92;16.83;CGNC
S2025;3665;9.25;90.5;0.0;99.75;GSA - E
S2025;3666;0.0;0.83;0.0;0.83;CGC
S2025;3667;1.58;7.5;2.42;11.5;GL
S2025;3668;19.0;97.5;28.42;144.92;GSA - E
S2025;3669;103.5;286.42;16.75;406.67;GSA - E
S2025;3670;56.58;571.83;41.5;669.92;GSA - E
S2025;3671;39.67;242.75;43.0;325.42;GSA - E
S2025;3672;0.0;0.0;0.0;0.0;CGNC
