SCENARIO_ID;SEGMENT_ID;MONTH;HOURS_0_VESSELS;HOURS_1_VESSEL;HOURS_2_VESSELS;HOURS_3_VESSELS;HOURS_4_VESSELS;HOURS_5_VESSELS;HOURS_5PLUS_VESSELS
S2025;1;2025-08;412.0;304.0;28.0;0.0;0.0;0.0;0.0
S2025;1;2025-09;412.58;283.33;24.08;0.0;0.0;0.0;0.0
S2025;1;2025-10;391.83;280.42;23.75;0.0;0.0;0.0;0.0
S2025;2;2025-08;644.08;97.0;2.92;0.0;0.0;0.0;0.0
S2025;2;2025-09;634.67;81.92;3.42;0.0;0.0;0.0;0.0
S2025;2;2025-10;614.17;79.33;2.5;0.0;0.0;0.0;0.0
S2025;3;2025-08;657.42;86.58;0.0;0.0;0.0;0.0;0.0
S2025;3;2025-09;638.67;81.33;0.0;0.0;0.0;0.0;0.0
S2025;3;2025-10;614.83;81.17;0.0;0.0;0.0;0.0;0.0
S2025;4;2025-08;631.17;112.83;0.0;0.0;0.0;0.0;0.0
S2025;4;2025-09;615.25;104.75;0.0;0.0;0.0;0.0;0.0
S2025;4;2025-10;592.17;103.83;0.0;0.0;0.0;0.0;0.0
S2025;5;2025-08;639.0;105.0;0.0;0.0;0.0;0.0;0.0
S2025;5;2025-09;625.25;94.75;0.0;0.0;0.0;0.0;0.0
S2025;5;2025-10;603.33;92.67;0.0;0.0;0.0;0.0;0.0
S2025;6;2025-08;617.75;120.08;6.17;0.0;0.0;0.0;0.0
S2025;6;2025-09;601.33;110.08;8.58;0.0;0.0;0.0;0.0
S2025;6;2025-10;574.5;112.25;9.25;0.0;0.0;0.0;0.0
S2025;7;2025-08;671.75;70.92;1.33;0.0;0.0;0.0;0.0
S2025;7;2025-09;650.08;68.58;1.33;0.0;0.0;0.0;0.0
S2025;7;2025-10;628.67;65.75;1.58;0.0;0.0;0.0;0.0
S2025;8;2025-08;679.17;63.92;0.92;0.0;0.0;0.0;0.0
S2025;8;2025-09;658.75;60.67;0.58;0.0;0.0;0.0;0.0
S2025;8;2025-10;631.08;64.58;0.33;0.0;0.0;0.0;0.0
S2025;9;2025-08;687.17;56.25;0.58;0.0;0.0;0.0;0.0
S2025;9;2025-09;665.42;53.42;1.17;0.0;0.0;0.0;0.0
S2025;9;2025-10;640.5;54.83;0.67;0.0;0.0;0.0;0.0
S2025;10;2025-08;695.25;48.75;0.0;0.0;0.0;0.0;0.0
S2025;10;2025-09;673.83;46.17;0.0;0.0;0.0;0.0;0.0
S2025;10;2025-10;652.25;43.75;0.0;0.0;0.0;0.0;0.0
S2025;11;2025-08;682.17;58.33;3.5;0.0;0.0;0.0;0.0
S2025;11;2025-09;662.0;53.33;4.67;0.0;0.0;0.0;0.0
S2025;11;2025-10;637.42;55.33;3.25;0.0;0.0;0.0;0.0
S2025;12;2025-08;686.75;57.25;0.0;0.0;0.0;0.0;0.0
S2025;12;2025-09;667.83;52.17;0.0;0.0;0.0;0.0;0.0
S2025;12;2025-10;642.83;53.17;0.0;0.0;0.0;0.0;0.0
S2025;13;2025-08;689.42;50.25;4.33;0.0;0.0;0.0;0.0
S2025;13;2025-09;666.58;47.0;6.42;0.0;0.0;0.0;0.0
S2025;13;2025-10;640.33;50.25;5.42;0.0;0.0;0.0;0.0
S2025;14;2025-08;707.42;36.58;0.0;0.0;0.0;0.0;0.0
S2025;14;2025-09;683.33;36.67;0.0;0.0;0.0;0.0;0.0
S2025;14;2025-10;665.67;30.33;0.0;0.0;0.0;0.0;0.0
S2025;15;2025-08;739.0;4.92;0.08;0.0;0.0;0.0;0.0
S2025;15;2025-09;714.5;5.5;0.0;0.0;0.0;0.0;0.0
S2025;15;2025-10;690.42;5.58;0.0;0.0;0.0;0.0;0.0
S2025;16;2025-08;723.67;20.33;0.0;0.0;0.0;0.0;0.0
S2025;16;2025-09;698.42;21.17;0.42;0.0;0.0;0.0;0.0
S2025;16;2025-10;673.92;21.83;0.25;0.0;0.0;0.0;0.0
S2025;17;2025-08;716.5;27.0;0.5;0.0;0.0;0.0;0.0
S2025;17;2025-09;690.25;29.17;0.58;0.0;0.0;0.0;0.0
S2025;17;2025-10;665.33;30.67;0.0;0.0;0.0;0.0;0.0
