N_VESSELS;MONTH;HOURS
0;2025-01;3.92
1;2025-01;0.08
2;2025-01;0.17
3;2025-01;0.33
4;2025-01;0.25
5;2025-01;1.0
5+;2025-01;522.25
0;2025-02;0.0
1;2025-02;0.0
2;2025-02;0.0
3;2025-02;0.0
4;2025-02;0.0
5;2025-02;0.0
5+;2025-02;672.0
0;2025-03;0.0
1;2025-03;0.0
2;2025-03;0.0
3;2025-03;0.0
4;2025-03;0.0
5;2025-03;0.0
5+;2025-03;744.0
0;2025-04;0.0
1;2025-04;0.0
2;2025-04;0.0
3;2025-04;0.0
4;2025-04;0.0
5;2025-04;0.0
5+;2025-04;720.0
0;2025-05;0.0
1;2025-05;0.0
2;2025-05;0.0
3;2025-05;0.0
4;2025-05;0.0
5;2025-05;0.0
5+;2025-05;744.0
0;2025-06;0.0
1;2025-06;0.0
2;2025-06;0.0
3;2025-06;0.0
4;2025-06;0.0
5;2025-06;0.0
5+;2025-06;720.0
0;2025-07;0.0
1;2025-07;0.0
2;2025-07;0.0
3;2025-07;0.0
4;2025-07;0.0
5;2025-07;0.0
5+;2025-07;744.0
0;2025-08;0.0
1;2025-08;0.0
2;2025-08;0.0
3;2025-08;0.0
4;2025-08;0.0
5;2025-08;0.0
5+;2025-08;744.0
0;2025-09;0.0
1;2025-09;0.0
2;2025-09;0.0
3;2025-09;0.0
4;2025-09;0.0
5;2025-09;0.0
5+;2025-09;720.0
0;2025-10;0.0
1;2025-10;0.0
2;2025-10;0.0
3;2025-10;0.0
4;2025-10;0.0
5;2025-10;0.0
5+;2025-10;744.0
0;2025-11;0.08
1;2025-11;1.5
2;2025-11;1.25
3;2025-11;1.5
4;2025-11;0.58
5;2025-11;4.25
5+;2025-11;710.83
