SCENARIO_ID;ARRIVAL_ID;BEAM;LENGTH;DRAFT;IS_NEW_PANAMAX;IS_PASSENGER;IS_RORO;ARRIVAL_D;ARRIVAL_H;METOCEAN_QUEUE_TIME;BERTH_QUEUE_TIME;CHANNEL_QUEUE_TIME;TOTAL_QUEUE_TIME;TERMINAL;BERTH_ID;BERTH;IN_SEG1_ARR_D;IN_SEG1_ARR_H;IN_SEG1_DP_D;IN_SEG1_DP_H;IN_SEG2_ARR_D;IN_SEG2_ARR_H;IN_SEG2_DP_D;IN_SEG2_DP_H;IN_SEG3_ARR_D;IN_SEG3_ARR_H;IN_SEG3_DP_D;IN_SEG3_DP_H;IN_SEG4_ARR_D;IN_SEG4_ARR_H;IN_SEG4_DP_D;IN_SEG4_DP_H;IN_SEG5_ARR_D;IN_SEG5_ARR_H;IN_SEG5_DP_D;IN_SEG5_DP_H;IN_SEG6_ARR_D;IN_SEG6_ARR_H;IN_SEG6_DP_D;IN_SEG6_DP_H;IN_SEG7_ARR_D;IN_SEG7_ARR_H;IN_SEG7_DP_D;IN_SEG7_DP_H;IN_SEG8_ARR_D;IN_SEG8_ARR_H;IN_SEG8_DP_D;IN_SEG8_DP_H;IN_SEG9_ARR_D;IN_SEG9_ARR_H;IN_SEG9_DP_D;IN_SEG9_DP_H;IN_SEG10_ARR_D;IN_SEG10_ARR_H;IN_SEG10_DP_D;IN_SEG10_DP_H;IN_SEG11_ARR_D;IN_SEG11_ARR_H;IN_SEG11_DP_D;IN_SEG11_DP_H;IN_SEG12_ARR_D;IN_SEG12_ARR_H;IN_SEG12_DP_D;IN_SEG12_DP_H;IN_SEG13_ARR_D;IN_SEG13_ARR_H;IN_SEG13_DP_D;IN_SEG13_DP_H;IN_SEG14_ARR_D;IN_SEG14_ARR_H;IN_SEG14_DP_D;IN_SEG14_DP_H;IN_SEG15_ARR_D;IN_SEG15_ARR_H;IN_SEG15_DP_D;IN_SEG15_DP_H;IN_SEG16_ARR_D;IN_SEG16_ARR_H;IN_SEG16_DP_D;IN_SEG16_DP_H;IN_SEG17_ARR_D;IN_SEG17_ARR_H;IN_SEG17_DP_D;IN_SEG17_DP_H;BERTH_ARR_D;BERTH_ARR_H;OPERATION_START_D;OPERATION_START_H;OPERATION_END_D;OPERATION_END_H;BERTH_DP_D;BERTH_DP_H;OUT_SEG17_ARR_D;OUT_SEG17_ARR_H;OUT_SEG17_DP_D;OUT_SEG17_DP_H;OUT_SEG16_ARR_D;OUT_SEG16_ARR_H;OUT_SEG16_DP_D;OUT_SEG16_DP_H;OUT_SEG15_ARR_D;OUT_SEG15_ARR_H;OUT_SEG15_DP_D;OUT_SEG15_DP_H;OUT_SEG14_ARR_D;OUT_SEG14_ARR_H;OUT_SEG14_DP_D;OUT_SEG14_DP_H;OUT_SEG13_ARR_D;OUT_SEG13_ARR_H;OUT_SEG13_DP_D;OUT_SEG13_DP_H;OUT_SEG12_ARR_D;OUT_SEG12_ARR_H;OUT_SEG12_DP_D;OUT_SEG12_DP_H;OUT_SEG11_ARR_D;OUT_SEG11_ARR_H;OUT_SEG11_DP_D;OUT_SEG11_DP_H;OUT_SEG10_ARR_D;OUT_SEG10_ARR_H;OUT_SEG10_DP_D;OUT_SEG10_DP_H;OUT_SEG9_ARR_D;OUT_SEG9_ARR_H;OUT_SEG9_DP_D;OUT_SEG9_DP_H;OUT_SEG8_ARR_D;OUT_SEG8_ARR_H;OUT_SEG8_DP_D;OUT_SEG8_DP_H;OUT_SEG7_ARR_D;OUT_SEG7_ARR_H;OUT_SEG7_DP_D;OUT_SEG7_DP_H;OUT_SEG6_ARR_D;OUT_SEG6_ARR_H;OUT_SEG6_DP_D;OUT_SEG6_DP_H;OUT_SEG5_ARR_D;OUT_SEG5_ARR_H;OUT_SEG5_DP_D;OUT_SEG5_DP_H;OUT_SEG4_ARR_D;OUT_SEG4_ARR_H;OUT_SEG4_DP_D;OUT_SEG4_DP_H;OUT_SEG3_ARR_D;OUT_SEG3_ARR_H;OUT_SEG3_DP_D;OUT_SEG3_DP_H;OUT_SEG2_ARR_D;OUT_SEG2_ARR_H;OUT_SEG2_DP_D;OUT_SEG2_DP_H;OUT_SEG1_ARR_D;OUT_SEG1_ARR_H;OUT_SEG1_DP_D;OUT_SEG1_DP_H;NON_PRODUCTIVE_TIME_SPENT
S014;6;33.0;209.75;11.0;0;0;0;-8;11:24;208.5;0.25;0.0;208.75;SANTOSBR;52;BERÇO TECON 1.1;1;04:10;1;04:30;1;04:30;1;04:35;1;04:35;1;04:40;1;04:40;1;04:45;1;04:45;1;04:50;1;04:50;1;05:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;05:00;1;05:00;1;22:05;1;22:05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;22:05;1;22:35;1;22:35;1;22:40;1;22:40;1;22:45;1;22:45;1;22:50;1;22:50;1;22:55;1;22:55;1;23:15;
S014;29;32.0;225.0;9.0;0;0;0;-6;03:00;169.17;9.42;3.75;182.33;DPW - CGNC;45;BERÇO DPW 4;1;17:20;1;17:40;1;17:40;1;17:45;1;17:45;1;17:50;1;17:50;1;17:55;1;17:55;1;18:00;1;18:00;1;18:05;1;18:05;1;18:10;1;18:10;1;18:15;1;18:15;1;18:20;1;18:20;1;18:50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;18:50;1;18:50;8;14:45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S014;73;32.3;189.99;6.19;0;0;0;-3;07:00;92.92;0.0;2.33;95.25;TIPLAM - GSA - E;62;BERÇO TIPLAM 3;1;06:15;1;06:35;1;06:35;1;06:40;1;06:40;1;06:45;1;06:45;1;06:50;1;06:50;1;06:55;1;06:55;1;07:00;1;07:00;1;07:05;1;07:05;1;07:10;1;07:10;1;07:15;1;07:15;1;07:20;1;07:20;1;07:25;1;07:25;1;07:30;1;07:30;1;07:35;1;07:35;1;07:40;1;07:40;1;07:45;1;07:45;1;08:00;1;08:00;1;08:40;1;08:40;1;08:40;4;01:15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S014;81;33.0;180.4;10.28;0;0;0;-3;13:00;86.92;0.0;0.08;87.0;BRACELL;73;BERÇO ARM 35P1;1;04:00;1;04:20;1;04:20;1;04:25;1;04:25;1;04:30;1;04:30;1;04:35;1;04:35;1;04:45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;04:45;1;04:45;7;20:25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S014;85;33.0;199.9;7.5;0;0;0;-3;16:30;83.42;0.0;3.58;87.0;AUTORIDADE_SABOO;39;BERÇO CS 04;1;07:30;1;07:50;1;07:50;1;07:55;1;07:55;1;08:00;1;08:00;1;08:05;1;08:05;1;08:10;1;08:10;1;08:15;1;08:15;1;08:20;1;08:20;1;08:25;1;08:25;1;08:30;1;08:30;1;08:35;1;08:35;1;08:40;1;08:40;1;09:10;;;;;;;;;;;;;;;;;;;;;1;09:10;1;09:10;5;14:50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S014;90;28.0;179.99;8.0;0;0;0;-3;22:48;77.33;13.0;0.0;90.33;AGEO_TERMINAIS;1;BERÇO Ageo I;1;17:10;1;17:30;1;17:30;1;17:35;1;17:35;1;17:40;1;17:40;1;17:45;1;17:45;1;17:50;1;17:50;1;17:55;1;17:55;1;18:00;1;18:00;1;18:05;1;18:05;1;18:10;1;18:10;1;18:15;1;18:15;1;18:20;1;18:20;1;18:50;;;;;;;;;;;;;;;;;;;;;1;18:50;1;18:50;4;19:45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S014;96;37.0;227.92;9.9;0;0;0;-2;12:30;63.42;3.83;0.0;67.25;SANTOSBR;55;BERÇO TECON 3;1;07:45;1;08:05;1;08:05;1;08:10;1;08:10;1;08:15;1;08:15;1;08:20;1;08:20;1;08:25;1;08:25;1;08:55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;08:55;1;08:55;1;15:15;1;15:15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;15:15;1;15:25;1;15:25;1;15:30;1;15:30;1;15:35;1;15:35;1;15:40;1;15:40;1;15:45;1;15:45;1;16:05;
S014;100;43.0;346.98;9.8;1;0;0;-2;23:06;59.08;2.0;0.0;61.08;SANTOSBR;54;BERÇO TECON 2;1;12:15;1;12:40;1;12:40;1;12:45;1;12:45;1;12:50;1;12:50;1;12:55;1;12:55;1;13:00;1;13:00;1;13:10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;13:10;1;13:10;1;23:45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S014;103;48.0;328.46;14.5;0;0;0;-1;05:06;53.17;0.0;1.0;54.17;BTP;32;BERÇO BTP 1;1;11:20;1;11:40;1;11:40;1;11:45;1;11:45;1;11:50;1;11:50;1;11:55;1;11:55;1;12:00;1;12:00;1;12:05;1;12:05;1;12:10;1;12:10;1;12:15;1;12:15;1;12:20;1;12:20;1;12:25;1;12:25;1;12:30;1;12:30;1;12:35;1;12:35;1;12:45;;;;;;;;;;;;;;;;;1;12:45;1;12:45;2;18:25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S014;107;28.0;179.99;9.33;0;0;0;-1;09:00;42.92;0.0;2.5;45.42;OUTROS_SABOO;36;BERÇO CS 01;1;06:25;1;06:45;1;06:45;1;06:50;1;06:50;1;06:55;1;06:55;1;07:00;1;07:00;1;07:05;1;07:05;1;07:10;1;07:10;1;07:15;1;07:15;1;07:20;1;07:20;1;07:25;1;07:25;1;07:30;1;07:30;1;07:35;1;07:35;1;07:45;;;;;;;;;;;;;;;;;;;;;1;07:45;1;07:45;8;07:15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
