SEGMENT_ID;MONTH;HOURS_0_VESSELS;HOURS_1_VESSEL;HOURS_2_VESSELS;HOURS_3_VESSELS;HOURS_4_VESSELS;HOURS_5_VESSELS;HOURS_5PLUS_VESSELS
1;2025-01;354.58;144.42;25.25;3.58;0.17;0.0;0.0
1;2025-02;421.58;188.75;48.0;12.08;1.58;0.0;0.0
1;2025-03;455.17;220.25;57.33;10.92;0.33;0.0;0.0
1;2025-04;469.92;192.42;47.33;9.42;0.92;0.0;0.0
1;2025-05;482.83;192.92;54.83;12.08;1.33;0.0;0.0
1;2025-06;460.83;186.17;58.33;13.0;1.25;0.33;0.08
1;2025-07;493.08;176.33;56.67;16.08;1.75;0.08;0.0
1;2025-08;455.25;210.5;61.67;14.83;1.75;0.0;0.0
1;2025-09;488.75;152.25;57.08;17.08;4.17;0.5;0.17
1;2025-10;497.67;173.75;54.42;16.25;1.92;0.0;0.0
1;2025-11;452.42;197.42;57.0;12.08;1.08;0.0;0.0
2;2025-01;471.83;55.08;1.08;0.0;0.0;0.0;0.0
2;2025-02;587.08;83.17;1.67;0.08;0.0;0.0;0.0
2;2025-03;646.92;94.83;2.25;0.0;0.0;0.0;0.0
2;2025-04;638.5;80.25;1.25;0.0;0.0;0.0;0.0
2;2025-05;653.67;89.17;1.17;0.0;0.0;0.0;0.0
2;2025-06;630.25;88.08;1.58;0.0;0.08;0.0;0.0
2;2025-07;649.92;92.33;1.75;0.0;0.0;0.0;0.0
2;2025-08;639.25;101.92;2.83;0.0;0.0;0.0;0.0
2;2025-09;632.42;85.67;1.83;0.08;0.0;0.0;0.0
2;2025-10;659.33;82.58;2.08;0.0;0.0;0.0;0.0
2;2025-11;629.83;88.67;1.5;0.0;0.0;0.0;0.0
3;2025-01;478.33;49.67;0.0;0.0;0.0;0.0;0.0
3;2025-02;592.42;79.25;0.25;0.08;0.0;0.0;0.0
3;2025-03;654.08;89.75;0.17;0.0;0.0;0.0;0.0
3;2025-04;641.33;78.58;0.08;0.0;0.0;0.0;0.0
3;2025-05;659.83;84.17;0.0;0.0;0.0;0.0;0.0
3;2025-06;634.33;85.58;0.0;0.0;0.08;0.0;0.0
3;2025-07;661.25;82.58;0.17;0.0;0.0;0.0;0.0
3;2025-08;651.17;92.67;0.17;0.0;0.0;0.0;0.0
3;2025-09;637.58;82.0;0.33;0.08;0.0;0.0;0.0
3;2025-10;660.25;83.58;0.17;0.0;0.0;0.0;0.0
3;2025-11;633.17;86.83;0.0;0.0;0.0;0.0;0.0
4;2025-01;468.58;59.42;0.0;0.0;0.0;0.0;0.0
4;2025-02;575.08;96.75;0.08;0.08;0.0;0.0;0.0
4;2025-03;628.92;114.92;0.17;0.0;0.0;0.0;0.0
4;2025-04;622.42;97.5;0.08;0.0;0.0;0.0;0.0
4;2025-05;637.83;106.08;0.08;0.0;0.0;0.0;0.0
4;2025-06;612.42;107.5;0.0;0.0;0.08;0.0;0.0
4;2025-07;640.0;103.75;0.25;0.0;0.0;0.0;0.0
4;2025-08;627.42;116.42;0.17;0.0;0.0;0.0;0.0
4;2025-09;616.92;102.83;0.17;0.08;0.0;0.0;0.0
4;2025-10;640.25;103.58;0.17;0.0;0.0;0.0;0.0
4;2025-11;615.0;105.0;0.0;0.0;0.0;0.0;0.0
5;2025-01;475.83;52.17;0.0;0.0;0.0;0.0;0.0
5;2025-02;582.58;89.0;0.33;0.08;0.0;0.0;0.0
5;2025-03;644.5;99.25;0.25;0.0;0.0;0.0;0.0
5;2025-04;631.58;88.33;0.08;0.0;0.0;0.0;0.0
5;2025-05;652.67;91.33;0.0;0.0;0.0;0.0;0.0
5;2025-06;623.42;96.5;0.0;0.0;0.08;0.0;0.0
5;2025-07;649.25;94.58;0.17;0.0;0.0;0.0;0.0
5;2025-08;634.08;109.83;0.08;0.0;0.0;0.0;0.0
5;2025-09;626.33;93.33;0.25;0.08;0.0;0.0;0.0
5;2025-10;650.83;93.0;0.17;0.0;0.0;0.0;0.0
5;2025-11;619.92;100.08;0.0;0.0;0.0;0.0;0.0
6;2025-01;445.17;77.25;5.58;0.0;0.0;0.0;0.0
6;2025-02;556.25;109.0;6.5;0.25;0.0;0.0;0.0
6;2025-03;621.42;116.42;6.17;0.0;0.0;0.0;0.0
6;2025-04;610.0;104.42;5.58;0.0;0.0;0.0;0.0
