SCENARIO_ID;ARRIVAL_ID;LOA;BEAM;DRAFT;TERMINAL_ID;TERMINAL_MARKET_CATEGORY;BERTH;CATEGORY;DETAILED_CATEGORY;PROCESS_TIME
S014;1;229.07;32.0;7.56;6;CGNC;BERÇO ARM 37;CARGO;N/A;3905
S014;6;209.75;33.0;11.0;32;CGC;BERÇO TECON 1.1;CARGO;N/A;1025
S014;15;189.99;32.0;5.6;5;CGNC;BERÇO ARM 20/21;CARGO;N/A;2310
S014;16;189.99;32.0;12.74;43;GSM - I;BERÇO TERMAG;CARGO;N/A;8105
S014;19;179.99;28.0;7.5;26;CGNC;BERÇO ARM 23;CARGO;N/A;3505
S014;29;225.0;32.0;9.0;52;CGNC;BERÇO DPW 4;CARGO;N/A;9835
S014;57;229.0;32.0;14.2;43;GSM - I;BERÇO TERMAG;CARGO;N/A;8550
S014;73;189.99;32.3;6.19;56;GSA - E;BERÇO TIPLAM 3;CARGO;N/A;3875
S014;81;180.4;33.0;10.28;8;CGNC;BERÇO ARM 35P1;CARGO;N/A;9580
S014;83;263.23;32.0;10.1;51;CGC;BERÇO DPW 1;CARGO;N/A;635
S014;85;199.9;33.0;7.5;7;CGNC;BERÇO CS 04;CARGO;N/A;6100
S014;90;179.99;28.0;8.0;2;GL;BERÇO Ageo I;CARGO;N/A;4375
S014;91;175.53;29.0;9.94;57;GSM - I;BERÇO TIPLAM 2;CARGO;N/A;9670
S014;96;227.92;37.0;9.9;32;CGC;BERÇO TECON 3;CARGO;N/A;380
S014;100;346.98;43.0;9.8;32;CGC;BERÇO TECON 2;CARGO;N/A;635
S014;103;328.46;48.0;14.5;9;CGC;BERÇO BTP 1;CARGO;N/A;1780
S014;107;179.99;28.0;9.33;28;CGNC;BERÇO CS 01;CARGO;N/A;10050
S014;109;189.99;32.0;6.25;5;CGNC;BERÇO ARM 20/21;CARGO;N/A;2265
S014;110;199.08;30.0;7.5;26;CGNC;BERÇO ARM 25;CARGO;N/A;5505
S014;114;146.6;24.0;5.8;33;GL;BERÇO AL 03;CARGO;N/A;1355
S014;115;228.95;35.0;7.3;6;CGNC;BERÇO ARM 37;CARGO;N/A;2870
S014;116;334.8;45.86;13.9;51;CGC;BERÇO DPW 2;CARGO;N/A;2115
S014;118;284.71;40.0;10.1;51;CGC;BERÇO DPW 2;CARGO;N/A;1185
S014;122;183.98;27.4;7.4;47;GL;BERÇO AL 02;CARGO;N/A;2095
S014;125;336.0;51.0;10.8;32;CGC;BERÇO TECON 3;CARGO;N/A;2050
S014;126;189.99;32.0;12.24;43;GSM - I;BERÇO TERMAG;CARGO;N/A;12150
S014;128;334.8;46.0;10.1;51;CGC;BERÇO DPW 2;CARGO;N/A;1870
S014;129;299.9;45.0;10.1;9;CGC;BERÇO BTP 3;CARGO;N/A;1045
S014;130;299.99;48.0;11.3;9;CGC;BERÇO BTP 2;CARGO;N/A;990
S014;131;225.0;32.0;9.25;52;CGNC;BERÇO DPW 3;CARGO;N/A;3650
S014;132;258.89;32.0;9.0;32;CGC;BERÇO TECON 1.2;CARGO;N/A;170
S014;133;199.9;32.0;7.6;37;GSA - E;BERÇO TEAG;CARGO;N/A;5915
S014;134;186.36;28.0;9.0;32;CGC;BERÇO TECON 1.2;CARGO;N/A;800
