SCENARIO_ID;ARRIVAL_ID;ROUTE_ID;START_TIME;END_TIME;FORWARD
S2025;463;39;73345;73355;0
S2025;463;6;73355;73360;0
S2025;463;5;73360;73365;0
S2025;463;4;73365;73370;0
S2025;463;3;73370;73375;0
S2025;463;2;73375;73380;0
S2025;463;1;73380;73400;0
S2025;499;74;75060;75070;0
S2025;499;16;75070;75085;0
S2025;499;15;75085;75090;0
S2025;499;14;75090;75095;0
S2025;499;13;75095;75100;0
S2025;499;12;75100;75105;0
S2025;499;11;75105;75110;0
S2025;499;10;75110;75115;0
S2025;499;9;75115;75120;0
S2025;499;8;75120;75125;0
S2025;499;7;75125;75130;0
S2025;499;6;75130;75135;0
S2025;499;5;75135;75140;0
S2025;499;4;75140;75145;0
S2025;499;3;75145;75150;0
S2025;499;2;75150;75155;0
S2025;499;1;75155;75175;0
S2025;509;24;77230;77240;0
S2025;509;4;77240;77245;0
S2025;509;3;77245;77250;0
S2025;509;2;77250;77255;0
S2025;509;1;77255;77275;0
S2025;549;1;76570;76590;1
S2025;549;2;76590;76595;1
S2025;549;3;76595;76600;1
S2025;549;4;76600;76605;1
S2025;549;23;76605;76640;1
S2025;549;23;82125;82135;0
S2025;549;4;82135;82140;0
S2025;549;3;82140;82145;0
S2025;549;2;82145;82150;0
S2025;549;1;82150;82170;0
S2025;575;1;91515;91535;1
S2025;575;2;91535;91540;1
S2025;575;3;91540;91545;1
S2025;575;4;91545;91550;1
S2025;575;5;91550;91555;1
S2025;575;6;91555;91560;1
S2025;575;39;91560;91595;1
S2025;575;39;94330;94340;0
S2025;575;6;94340;94345;0
S2025;575;5;94345;94350;0
S2025;575;4;94350;94355;0
S2025;575;3;94355;94360;0
S2025;575;2;94360;94365;0
S2025;575;1;94365;94385;0
S2025;585;1;88135;88155;1
S2025;585;2;88155;88160;1
S2025;585;3;88160;88165;1
S2025;585;4;88165;88170;1
S2025;585;5;88170;88175;1
S2025;585;6;88175;88180;1
S2025;585;40;88180;88215;1
S2025;585;40;94220;94230;0
S2025;585;6;94230;94235;0
S2025;585;5;94235;94240;0
S2025;585;4;94240;94245;0
S2025;585;3;94245;94250;0
S2025;585;2;94250;94255;0
S2025;585;1;94255;94275;0
S2025;661;26;73340;73350;0
S2025;661;4;73350;73355;0
S2025;661;3;73355;73360;0
S2025;661;2;73360;73365;0
S2025;661;1;73365;73385;0
S2025;668;1;75220;75240;1
S2025;668;2;75240;75245;1
S2025;668;3;75245;75250;1
S2025;668;4;75250;75255;1
S2025;668;5;75255;75260;1
S2025;668;6;75260;75265;1
S2025;668;7;75265;75270;1
S2025;668;8;75270;75275;1
S2025;668;9;75275;75280;1
S2025;668;10;75280;75285;1
S2025;668;11;75285;75290;1
S2025;668;12;75290;75295;1
S2025;668;13;75295;75300;1
S2025;668;14;75300;75305;1
S2025;668;15;75305;75310;1
S2025;668;16;75310;75325;1
S2025;668;74;75325;75370;1
S2025;668;74;79420;79430;0
S2025;668;16;79430;79445;0
S2025;668;15;79445;79450;0
S2025;668;14;79450;79455;0
S2025;668;13;79455;79460;0
S2025;668;12;79460;79465;0
S2025;668;11;79465;79470;0
S2025;668;10;79470;79475;0
S2025;668;9;79475;79480;0
S2025;668;8;79480;79485;0
S2025;668;7;79485;79490;0
S2025;668;6;79490;79495;0
S2025;668;5;79495;79500;0
S2025;668;4;79500;79505;0
S2025;668;3;79505;79510;0
S2025;668;2;79510;79515;0
S2025;668;1;79515;79535;0
S2025;680;1;74855;74875;1
S2025;680;2;74875;74880;1
S2025;680;3;74880;74885;1
S2025;680;4;74885;74890;1
S2025;680;5;74890;74895;1
S2025;680;6;74895;74900;1
S2025;680;39;74900;74935;1
S2025;680;39;79135;79145;0
S2025;680;6;79145;79150;0
S2025;680;5;79150;79155;0
S2025;680;4;79155;79160;0
S2025;680;3;79160;79165;0
S2025;680;2;79165;79170;0
S2025;680;1;79170;79190;0
S2025;681;1;75975;75995;1
S2025;681;2;75995;76000;1
S2025;681;3;76000;76005;1
S2025;681;4;76005;76010;1
S2025;681;5;76010;76015;1
S2025;681;6;76015;76020;1
S2025;681;7;76020;76025;1
S2025;681;45;76025;76060;1
S2025;681;45;80070;80080;0
S2025;681;7;80080;80085;0
S2025;681;6;80085;80090;0
S2025;681;5;80090;80095;0
S2025;681;4;80095;80100;0
S2025;681;3;80100;80105;0
S2025;681;2;80105;80110;0
S2025;681;1;80110;80130;0
S2025;684;23;76490;76500;0
S2025;684;4;76500;76505;0
S2025;684;3;76505;76510;0
S2025;684;2;76510;76515;0
S2025;684;1;76515;76535;0
S2025;691;1;79840;79860;1
S2025;691;2;79860;79865;1
S2025;691;3;79865;79870;1
S2025;691;18;79870;79905;1
S2025;691;18;82515;82525;0
S2025;691;3;82525;82530;0
S2025;691;2;82530;82535;0
S2025;691;1;82535;82555;0
S2025;698;18;75640;75650;0
S2025;698;3;75650;75655;0
S2025;698;2;75655;75660;0
S2025;698;1;75660;75680;0
S2025;700;62;73000;73010;0
S2025;700;11;73010;73015;0
S2025;700;10;73015;73020;0
S2025;700;9;73020;73025;0
S2025;700;8;73025;73030;0
S2025;700;7;73030;73035;0
S2025;700;6;73035;73040;0
S2025;700;5;73040;73045;0
S2025;700;4;73045;73050;0
S2025;700;3;73050;73055;0
S2025;700;2;73055;73060;0
S2025;700;1;73060;73080;0
S2025;716;48;73490;73520;0
S2025;716;8;73520;73525;0
S2025;716;7;73525;73530;0
S2025;716;6;73530;73535;0
S2025;716;5;73535;73540;0
S2025;716;4;73540;73545;0
S2025;716;3;73545;73550;0
S2025;716;2;73550;73555;0
S2025;716;1;73555;73575;0
S2025;717;75;72740;72750;0
S2025;717;16;72750;72765;0
S2025;717;15;72765;72770;0
S2025;717;14;72770;72775;0
S2025;717;13;72775;72780;0
S2025;717;12;72780;72785;0
S2025;717;11;72785;72790;0
S2025;717;10;72790;72795;0
S2025;717;9;72795;72800;0
S2025;717;8;72800;72805;0
S2025;717;7;72805;72810;0
S2025;717;6;72810;72815;0
S2025;717;5;72815;72820;0
