SCENARIO_ID;ARRIVAL_ID;BEAM;LENGTH;DRAFT;IS_NEW_PANAMAX;IS_PASSENGER;IS_RORO;ARRIVAL_D;ARRIVAL_H;METOCEAN_QUEUE_TIME;BERTH_QUEUE_TIME;CHANNEL_QUEUE_TIME;TOTAL_QUEUE_TIME;TERMINAL;MARKET_CATEGORY;BERTH_ID;BERTH;IN_SEG1_ARR_D;IN_SEG1_ARR_H;IN_SEG1_DP_D;IN_SEG1_DP_H;IN_SEG2_ARR_D;IN_SEG2_ARR_H;IN_SEG2_DP_D;IN_SEG2_DP_H;IN_SEG3_ARR_D;IN_SEG3_ARR_H;IN_SEG3_DP_D;IN_SEG3_DP_H;IN_SEG4_ARR_D;IN_SEG4_ARR_H;IN_SEG4_DP_D;IN_SEG4_DP_H;IN_SEG5_ARR_D;IN_SEG5_ARR_H;IN_SEG5_DP_D;IN_SEG5_DP_H;IN_SEG6_ARR_D;IN_SEG6_ARR_H;IN_SEG6_DP_D;IN_SEG6_DP_H;IN_SEG7_ARR_D;IN_SEG7_ARR_H;IN_SEG7_DP_D;IN_SEG7_DP_H;IN_SEG8_ARR_D;IN_SEG8_ARR_H;IN_SEG8_DP_D;IN_SEG8_DP_H;IN_SEG9_ARR_D;IN_SEG9_ARR_H;IN_SEG9_DP_D;IN_SEG9_DP_H;IN_SEG10_ARR_D;IN_SEG10_ARR_H;IN_SEG10_DP_D;IN_SEG10_DP_H;IN_SEG11_ARR_D;IN_SEG11_ARR_H;IN_SEG11_DP_D;IN_SEG11_DP_H;IN_SEG12_ARR_D;IN_SEG12_ARR_H;IN_SEG12_DP_D;IN_SEG12_DP_H;IN_SEG13_ARR_D;IN_SEG13_ARR_H;IN_SEG13_DP_D;IN_SEG13_DP_H;IN_SEG14_ARR_D;IN_SEG14_ARR_H;IN_SEG14_DP_D;IN_SEG14_DP_H;IN_SEG15_ARR_D;IN_SEG15_ARR_H;IN_SEG15_DP_D;IN_SEG15_DP_H;IN_SEG16_ARR_D;IN_SEG16_ARR_H;IN_SEG16_DP_D;IN_SEG16_DP_H;IN_SEG17_ARR_D;IN_SEG17_ARR_H;IN_SEG17_DP_D;IN_SEG17_DP_H;BERTH_ARR_D;BERTH_ARR_H;OPERATION_START_D;OPERATION_START_H;OPERATION_END_D;OPERATION_END_H;BERTH_DP_D;BERTH_DP_H;OUT_SEG17_ARR_D;OUT_SEG17_ARR_H;OUT_SEG17_DP_D;OUT_SEG17_DP_H;OUT_SEG16_ARR_D;OUT_SEG16_ARR_H;OUT_SEG16_DP_D;OUT_SEG16_DP_H;OUT_SEG15_ARR_D;OUT_SEG15_ARR_H;OUT_SEG15_DP_D;OUT_SEG15_DP_H;OUT_SEG14_ARR_D;OUT_SEG14_ARR_H;OUT_SEG14_DP_D;OUT_SEG14_DP_H;OUT_SEG13_ARR_D;OUT_SEG13_ARR_H;OUT_SEG13_DP_D;OUT_SEG13_DP_H;OUT_SEG12_ARR_D;OUT_SEG12_ARR_H;OUT_SEG12_DP_D;OUT_SEG12_DP_H;OUT_SEG11_ARR_D;OUT_SEG11_ARR_H;OUT_SEG11_DP_D;OUT_SEG11_DP_H;OUT_SEG10_ARR_D;OUT_SEG10_ARR_H;OUT_SEG10_DP_D;OUT_SEG10_DP_H;OUT_SEG9_ARR_D;OUT_SEG9_ARR_H;OUT_SEG9_DP_D;OUT_SEG9_DP_H;OUT_SEG8_ARR_D;OUT_SEG8_ARR_H;OUT_SEG8_DP_D;OUT_SEG8_DP_H;OUT_SEG7_ARR_D;OUT_SEG7_ARR_H;OUT_SEG7_DP_D;OUT_SEG7_DP_H;OUT_SEG6_ARR_D;OUT_SEG6_ARR_H;OUT_SEG6_DP_D;OUT_SEG6_DP_H;OUT_SEG5_ARR_D;OUT_SEG5_ARR_H;OUT_SEG5_DP_D;OUT_SEG5_DP_H;OUT_SEG4_ARR_D;OUT_SEG4_ARR_H;OUT_SEG4_DP_D;OUT_SEG4_DP_H;OUT_SEG3_ARR_D;OUT_SEG3_ARR_H;OUT_SEG3_DP_D;OUT_SEG3_DP_H;OUT_SEG2_ARR_D;OUT_SEG2_ARR_H;OUT_SEG2_DP_D;OUT_SEG2_DP_H;OUT_SEG1_ARR_D;OUT_SEG1_ARR_H;OUT_SEG1_DP_D;OUT_SEG1_DP_H;NON_PRODUCTIVE_TIME_SPENT
2SemDragagem2030;3544;23.0;225.0;0.0;0;0;0;1;16:40;0.0;0.0;0.0;0.0;ADM;GSA - E;30;BERÇO ARM 39;1;16:40;1;17:00;1;17:00;1;17:05;1;17:05;1;17:10;1;17:10;1;17:45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;17:45;1;19:19;3;22:30;3;23:15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;23:15;3;23:25;3;23:25;3;23:30;3;23:30;3;23:35;3;23:35;3;23:55;
2SemDragagem2030;3545;23.0;155.0;10.25;0;0;0;1;15:46;0.0;0.0;1.5;1.5;ADONAI;GL;77;BERÇO IB OE;1;17:20;1;17:40;1;17:40;1;17:45;1;17:45;1;17:50;1;17:50;1;17:55;1;17:55;1;18:00;1;18:00;1;18:05;1;18:05;1;18:10;1;18:10;1;18:15;1;18:15;1;18:20;1;18:20;1;18:25;1;18:25;1;18:30;1;18:30;1;18:45;;;;;;;;;;;;;;;;;;;;;1;18:45;2;04:45;3;13:05;3;13:50;;;;;;;;;;;;;;;;;;;;;3;13:50;3;14:20;3;14:20;3;14:25;3;14:25;3;14:30;3;14:30;3;14:35;3;14:35;3;14:40;3;14:40;3;14:45;3;14:45;3;14:50;3;14:50;3;14:55;3;14:55;3;15:00;3;15:00;3;15:05;3;15:05;3;15:10;3;15:10;3;15:30;
2SemDragagem2030;3546;36.0;225.0;0.0;0;0;0;1;13:35;0.0;0.58;0.0;0.58;BRACELL;CGNC;27;BERÇO ARM 35P2;1;14:10;1;14:30;1;14:30;1;14:35;1;14:35;1;14:40;1;14:40;1;14:45;1;14:45;1;14:50;1;14:50;1;15:25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;15:25;1;18:50;5;22:30;5;23:25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;23:25;5;23:35;5;23:35;5;23:40;5;23:40;5;23:45;5;23:45;5;23:50;5;23:50;5;23:55;5;23:55;6;00:15;
2SemDragagem2030;3547;23.0;225.0;0.0;0;0;0;1;16:44;0.08;0.08;0.67;0.83;COFCO;GSA - E;10;BERÇO ARM 13/14;1;17:35;1;17:55;1;17:55;1;18:00;1;18:00;1;18:05;1;18:05;1;18:10;1;18:10;1;18:15;1;18:15;1;18:20;1;18:20;1;18:25;1;18:25;1;18:30;1;18:30;1;19:05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;19:05;4;22:32;7;19:35;8;01:10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;01:10;8;01:20;8;01:20;8;01:25;8;01:25;8;01:30;8;01:30;8;01:35;8;01:35;8;01:40;8;01:40;8;01:45;8;01:45;8;01:50;8;01:50;8;01:55;8;01:55;8;02:15;
2SemDragagem2030;3548;23.0;225.0;0.0;0;0;0;1;16:46;0.17;0.08;3.75;4.0;COFCO;GSA - E;9;BERÇO ARM 12A;1;20:50;1;21:10;1;21:10;1;21:15;1;21:15;1;21:20;1;21:20;1;21:25;1;21:25;1;21:30;1;21:30;1;21:35;1;21:35;1;21:40;1;21:40;1;21:45;1;21:45;1;22:20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;22:20;1;23:30;4;20:30;4;22:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;22:40;4;22:50;4;22:50;4;22:55;4;22:55;4;23:00;4;23:00;4;23:05;4;23:05;4;23:10;4;23:10;4;23:15;4;23:15;4;23:20;4;23:20;4;23:25;4;23:25;4;23:45;
2SemDragagem2030;3549;23.0;195.0;0.0;0;0;0;1;14:48;0.0;0.25;0.0;0.25;COPESUCAR;GSA - E;14;BERÇO ARM 20/21;1;15:05;1;15:25;1;15:25;1;15:30;1;15:30;1;15:35;1;15:35;1;15:40;1;15:40;1;15:45;1;15:45;1;15:50;1;15:50;1;15:55;1;15:55;1;16:30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;16:30;1;20:06;3;11:35;4;12:35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;12:35;4;12:45;4;12:45;4;12:50;4;12:50;4;12:55;4;12:55;4;13:00;4;13:00;4;13:05;4;13:05;4;13:10;4;13:10;4;13:15;4;13:15;4;13:35;
2SemDragagem2030;3550;23.0;215.0;10.25;0;0;0;1;15:41;0.0;2.5;0.0;2.5;DPW - CGC;CGC;42;BERÇO DPW 1;1;18:15;1;18:35;1;18:35;1;18:40;1;18:40;1;18:45;1;18:45;1;18:50;1;18:50;1;18:55;1;18:55;1;19:00;1;19:00;1;19:05;1;19:05;1;19:10;1;19:10;1;19:15;1;19:15;1;19:20;1;19:20;1;19:35;;;;;;;;;;;;;;;;;;;;;;;;;1;19:35;1;20:36;2;10:00;2;11:05;;;;;;;;;;;;;;;;;;;;;;;;;2;11:05;2;11:35;2;11:35;2;11:40;2;11:40;2;11:45;2;11:45;2;11:50;2;11:50;2;11:55;2;11:55;2;12:00;2;12:00;2;12:05;2;12:05;2;12:10;2;12:10;2;12:15;2;12:15;2;12:20;2;12:20;2;12:40;
2SemDragagem2030;3551;23.0;255.0;11.75;0;0;0;1;15:41;0.0;2.83;0.0;2.83;DPW - CGC;CGC;43;BERÇO DPW 2;1;18:35;1;18:55;1;18:55;1;19:00;1;19:00;1;19:05;1;19:05;1;19:10;1;19:10;1;19:15;1;19:15;1;19:20;1;19:20;1;19:25;1;19:25;1;19:30;1;19:30;1;19:35;1;19:35;1;19:40;1;19:40;1;20:15;;;;;;;;;;;;;;;;;;;;;;;;;1;20:15;1;22:01;2;15:55;2;18:15;;;;;;;;;;;;;;;;;;;;;;;;;2;18:15;2;18:45;2;18:45;2;18:50;2;18:50;2;18:55;2;18:55;2;19:00;2;19:00;2;19:05;2;19:05;2;19:10;2;19:10;2;19:15;2;19:15;2;19:20;2;19:20;2;19:25;2;19:25;2;19:30;2;19:30;2;19:50;
2SemDragagem2030;3552;36.0;225.0;0.0;0;0;0;1;14:36;0.0;0.0;0.67;0.67;ELDORADO;CGNC;21;BERÇO ARM 31;1;15:20;1;15:40;1;15:40;1;15:45;1;15:45;1;15:50;1;15:50;1;15:55;1;15:55;1;16:00;1;16:00;1;16:35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;16:35;1;19:45;3;08:40;4;12:25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;12:25;4;12:35;4;12:35;4;12:40;4;12:40;4;12:45;4;12:45;4;12:50;4;12:50;4;12:55;4;12:55;4;13:15;
2SemDragagem2030;3553;23.0;175.0;0.0;0;0;0;1;15:44;0.0;3.08;0.0;3.08;ELEVACOES;GSA - E;13;BERÇO ARM 19;1;18:50;1;19:10;1;19:10;1;19:15;1;19:15;1;19:20;1;19:20;1;19:25;1;19:25;1;19:30;1;19:30;1;19:35;1;19:35;1;19:40;1;19:40;1;20:15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;20:15;2;05:21;3;08:25;3;09:10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;09:10;3;09:20;3;09:20;3;09:25;3;09:25;3;09:30;3;09:30;3;09:35;3;09:35;3;09:40;3;09:40;3;09:45;3;09:45;3;09:50;3;09:50;3;10:10;
