SCENARIO_ID;ARRIVAL_ID;BEAM;LENGTH;DRAFT;IS_NEW_PANAMAX;IS_PASSENGER;IS_RORO;ARRIVAL_D;ARRIVAL_H;METOCEAN_QUEUE_TIME;BERTH_QUEUE_TIME;CHANNEL_QUEUE_TIME;TOTAL_QUEUE_TIME;METOCEAN_UNDOCK_QUEUE_TIME;CHANNEL_UNDOCK_QUEUE_TIME;TOTAL_UNDOCK_QUEUE_TIME;NON_P_DOCKED_DURATION;P_DOCKED_DURATION;DOCKED_DURATION;REAL_DOCK_D;REAL_DOCK_H;REAL_UNDOCK_D;REAL_UNDOCK_H;REAL_BERTH;TERMINAL;MARKET_CATEGORY;SIZE_CATEGORY;BERTH;TRANSIT_IN_START_D;TRANSIT_IN_START_H;BERTH_ARRIVAL_D;BERTH_ARRIVAL_H;OPERATION_START_D;OPERATION_START_H;OPERATION_END_D;OPERATION_END_H;BERTH_DEPARTURE_D;BERTH_DEPARTURE_H;TRANSIT_OUT_END_D;TRANSIT_OUT_END_H
2SemDragagem2030;3544;23.0;225.0;0.0;0;0;0;1;16:40;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.33;53.5;53.5;;;;;;ADM;GSA - E;;BERÇO ARM 39;1;16:40;1;17:45;1;19:19;4;00:00;3;23:15;3;23:55
2SemDragagem2030;3545;23.0;155.0;10.25;0;0;0;1;15:46;0.0;0.0;1.5;1.5;0.0;0.0;0.0;10.76;43.08;43.08;;;;;;ADONAI;GL;;BERÇO IB OE;1;17:20;1;18:45;2;04:45;3;14:35;3;13:50;3;15:30
2SemDragagem2030;3546;36.0;225.0;0.0;0;0;0;1;13:35;0.0;0.58;0.0;0.58;0.0;0.17;0.17;4.17;104.0;103.83;;;;;;BRACELL;CGNC;;BERÇO ARM 35P2;1;14:10;1;15:25;1;18:50;6;00:00;5;23:25;6;00:15
2SemDragagem2030;3547;23.0;225.0;0.0;0;0;0;1;16:44;0.08;0.08;0.67;0.83;3.83;1.0;4.83;76.21;150.08;145.25;;;;;;COFCO;GSA - E;;BERÇO ARM 13/14;1;17:35;1;19:05;4;22:32;7;21:05;8;01:10;8;02:15
2SemDragagem2030;3548;23.0;225.0;0.0;0;0;0;1;16:46;0.17;0.08;3.75;4.0;1.42;0.0;1.42;1.93;72.33;70.92;;;;;;COFCO;GSA - E;;BERÇO ARM 12A;1;20:50;1;22:20;1;23:30;4;22:00;4;22:40;4;23:45
2SemDragagem2030;3549;23.0;195.0;0.0;0;0;0;1;14:48;0.0;0.25;0.0;0.25;21.17;3.08;24.25;4.35;68.08;43.83;;;;;;COPESUCAR;GSA - E;;BERÇO ARM 20/21;1;15:05;1;16:30;1;20:06;3;13:05;4;12:35;4;13:35
2SemDragagem2030;3550;23.0;215.0;10.25;0;0;0;1;15:41;0.0;2.5;0.0;2.5;0.0;0.33;0.33;1.78;15.5;15.17;;;;;;DPW - CGC;CGC;;BERÇO DPW 1;1;18:15;1;19:35;1;20:36;2;11:30;2;11:05;2;12:40
2SemDragagem2030;3551;23.0;255.0;11.75;0;0;0;1;15:41;0.0;2.83;0.0;2.83;0.0;1.58;1.58;2.53;22.0;20.42;;;;;;DPW - CGC;CGC;;BERÇO DPW 2;1;18:35;1;20:15;1;22:01;2;17:25;2;18:15;2;19:50
2SemDragagem2030;3552;36.0;225.0;0.0;0;0;0;1;14:36;0.0;0.0;0.67;0.67;24.08;2.92;27.0;3.93;67.83;40.83;;;;;;ELDORADO;CGNC;;BERÇO ARM 31;1;15:20;1;16:35;1;19:45;3;10:10;4;12:25;4;13:15
2SemDragagem2030;3553;23.0;175.0;0.0;0;0;0;1;15:44;0.0;3.08;0.0;3.08;0.0;0.0;0.0;9.85;36.92;36.92;;;;;;ELEVACOES;GSA - E;;BERÇO ARM 19;1;18:50;1;20:15;2;05:21;3;09:55;3;09:10;3;10:10
