SCENARIO_ID;ARRIVAL_ID;BEAM;LENGTH;DRAFT;IS_NEW_PANAMAX;IS_PASSENGER;IS_RORO;ARRIVAL_D;ARRIVAL_H;METOCEAN_QUEUE_TIME;BERTH_QUEUE_TIME;CHANNEL_QUEUE_TIME;TOTAL_QUEUE_TIME;TERMINAL;BERTH_ID;BERTH;IN_SEG1_ARR_D;IN_SEG1_ARR_H;IN_SEG1_DP_D;IN_SEG1_DP_H;IN_SEG2_ARR_D;IN_SEG2_ARR_H;IN_SEG2_DP_D;IN_SEG2_DP_H;IN_SEG3_ARR_D;IN_SEG3_ARR_H;IN_SEG3_DP_D;IN_SEG3_DP_H;IN_SEG4_ARR_D;IN_SEG4_ARR_H;IN_SEG4_DP_D;IN_SEG4_DP_H;IN_SEG5_ARR_D;IN_SEG5_ARR_H;IN_SEG5_DP_D;IN_SEG5_DP_H;IN_SEG6_ARR_D;IN_SEG6_ARR_H;IN_SEG6_DP_D;IN_SEG6_DP_H;IN_SEG7_ARR_D;IN_SEG7_ARR_H;IN_SEG7_DP_D;IN_SEG7_DP_H;IN_SEG8_ARR_D;IN_SEG8_ARR_H;IN_SEG8_DP_D;IN_SEG8_DP_H;IN_SEG9_ARR_D;IN_SEG9_ARR_H;IN_SEG9_DP_D;IN_SEG9_DP_H;IN_SEG10_ARR_D;IN_SEG10_ARR_H;IN_SEG10_DP_D;IN_SEG10_DP_H;IN_SEG11_ARR_D;IN_SEG11_ARR_H;IN_SEG11_DP_D;IN_SEG11_DP_H;IN_SEG12_ARR_D;IN_SEG12_ARR_H;IN_SEG12_DP_D;IN_SEG12_DP_H;IN_SEG13_ARR_D;IN_SEG13_ARR_H;IN_SEG13_DP_D;IN_SEG13_DP_H;IN_SEG14_ARR_D;IN_SEG14_ARR_H;IN_SEG14_DP_D;IN_SEG14_DP_H;IN_SEG15_ARR_D;IN_SEG15_ARR_H;IN_SEG15_DP_D;IN_SEG15_DP_H;IN_SEG16_ARR_D;IN_SEG16_ARR_H;IN_SEG16_DP_D;IN_SEG16_DP_H;IN_SEG17_ARR_D;IN_SEG17_ARR_H;IN_SEG17_DP_D;IN_SEG17_DP_H;BERTH_ARR_D;BERTH_ARR_H;OPERATION_START_D;OPERATION_START_H;OPERATION_END_D;OPERATION_END_H;BERTH_DP_D;BERTH_DP_H;OUT_SEG17_ARR_D;OUT_SEG17_ARR_H;OUT_SEG17_DP_D;OUT_SEG17_DP_H;OUT_SEG16_ARR_D;OUT_SEG16_ARR_H;OUT_SEG16_DP_D;OUT_SEG16_DP_H;OUT_SEG15_ARR_D;OUT_SEG15_ARR_H;OUT_SEG15_DP_D;OUT_SEG15_DP_H;OUT_SEG14_ARR_D;OUT_SEG14_ARR_H;OUT_SEG14_DP_D;OUT_SEG14_DP_H;OUT_SEG13_ARR_D;OUT_SEG13_ARR_H;OUT_SEG13_DP_D;OUT_SEG13_DP_H;OUT_SEG12_ARR_D;OUT_SEG12_ARR_H;OUT_SEG12_DP_D;OUT_SEG12_DP_H;OUT_SEG11_ARR_D;OUT_SEG11_ARR_H;OUT_SEG11_DP_D;OUT_SEG11_DP_H;OUT_SEG10_ARR_D;OUT_SEG10_ARR_H;OUT_SEG10_DP_D;OUT_SEG10_DP_H;OUT_SEG9_ARR_D;OUT_SEG9_ARR_H;OUT_SEG9_DP_D;OUT_SEG9_DP_H;OUT_SEG8_ARR_D;OUT_SEG8_ARR_H;OUT_SEG8_DP_D;OUT_SEG8_DP_H;OUT_SEG7_ARR_D;OUT_SEG7_ARR_H;OUT_SEG7_DP_D;OUT_SEG7_DP_H;OUT_SEG6_ARR_D;OUT_SEG6_ARR_H;OUT_SEG6_DP_D;OUT_SEG6_DP_H;OUT_SEG5_ARR_D;OUT_SEG5_ARR_H;OUT_SEG5_DP_D;OUT_SEG5_DP_H;OUT_SEG4_ARR_D;OUT_SEG4_ARR_H;OUT_SEG4_DP_D;OUT_SEG4_DP_H;OUT_SEG3_ARR_D;OUT_SEG3_ARR_H;OUT_SEG3_DP_D;OUT_SEG3_DP_H;OUT_SEG2_ARR_D;OUT_SEG2_ARR_H;OUT_SEG2_DP_D;OUT_SEG2_DP_H;OUT_SEG1_ARR_D;OUT_SEG1_ARR_H;OUT_SEG1_DP_D;OUT_SEG1_DP_H;NON_PRODUCTIVE_TIME_SPENT
11032026_CPLEX_S013;6;33.0;209.75;11.0;0;0;0;-8;11:24;204.58;10.75;0.0;215.33;SANTOSBR;53;BERÇO TECON 1.2;1.0;10:45;1.0;11:05;1.0;11:05;1.0;11:10;1.0;11:10;1.0;11:15;1.0;11:15;1.0;11:20;1.0;11:20;1.0;11:25;1.0;11:25;1.0;11:35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;11:35;1.0;11:35;2.0;04:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11032026_CPLEX_S013;29;32.0;225.0;9.0;0;0;0;-6;03:00;165.0;0.0;0.5;165.5;DPW - CGNC;44;BERÇO DPW 3;1.0;00:30;1.0;00:50;1.0;00:50;1.0;00:55;1.0;00:55;1.0;01:00;1.0;01:00;1.0;01:05;1.0;01:05;1.0;01:10;1.0;01:10;1.0;01:15;1.0;01:15;1.0;01:20;1.0;01:20;1.0;01:25;1.0;01:25;1.0;01:30;1.0;01:30;1.0;02:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;02:00;1.0;02:00;7.0;21:55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11032026_CPLEX_S013;73;32.3;189.99;6.19;0;0;0;-3;07:00;89.0;0.0;-89.0;0.0;TIPLAM - GSA - E;61;BERÇO TIPLAM 2;1.0;00:00;1.0;00:20;1.0;00:20;1.0;00:25;1.0;00:25;1.0;00:30;1.0;00:30;1.0;00:35;1.0;00:35;1.0;00:40;1.0;00:40;1.0;00:45;1.0;00:45;1.0;00:50;1.0;00:50;1.0;00:55;1.0;00:55;1.0;01:00;1.0;01:00;1.0;01:05;1.0;01:05;1.0;01:10;1.0;01:10;1.0;01:15;1.0;01:15;1.0;01:20;1.0;01:20;1.0;01:25;1.0;01:25;1.0;01:30;1.0;01:30;1.0;01:45;1.0;01:45;1.0;02:25;1.0;02:25;1.0;02:25;3.0;19:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11032026_CPLEX_S013;81;33.0;180.4;10.28;0;0;0;-3;13:00;83.0;0.0;0.25;83.25;BRACELL;27;BERÇO ARM 35P2;1.0;00:15;1.0;00:35;1.0;00:35;1.0;00:40;1.0;00:40;1.0;00:45;1.0;00:45;1.0;00:50;1.0;00:50;1.0;00:55;1.0;00:55;1.0;01:05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;01:05;1.0;01:05;7.0;16:45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11032026_CPLEX_S013;85;33.0;199.9;7.5;0;0;0;-3;16:30;79.5;0.0;4.25;83.75;AUTORIDADE_SABOO;39;BERÇO CS 04;1.0;04:15;1.0;04:35;1.0;04:35;1.0;04:40;1.0;04:40;1.0;04:45;1.0;04:45;1.0;04:50;1.0;04:50;1.0;04:55;1.0;04:55;1.0;05:00;1.0;05:00;1.0;05:05;1.0;05:05;1.0;05:10;1.0;05:10;1.0;05:15;1.0;05:15;1.0;05:20;1.0;05:20;1.0;05:25;1.0;05:25;1.0;05:55;;;;;;;;;;;;;;;;;;;;;1.0;05:55;1.0;05:55;5.0;11:35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11032026_CPLEX_S013;90;28.0;179.99;8.0;0;0;0;-3;22:48;74.83;15.67;0.0;90.5;AGEO_TERMINAIS;1;BERÇO Ageo I;1.0;17:20;1.0;17:40;1.0;17:40;1.0;17:45;1.0;17:45;1.0;17:50;1.0;17:50;1.0;17:55;1.0;17:55;1.0;18:00;1.0;18:00;1.0;18:05;1.0;18:05;1.0;18:10;1.0;18:10;1.0;18:15;1.0;18:15;1.0;18:20;1.0;18:20;1.0;18:25;1.0;18:25;1.0;18:30;1.0;18:30;1.0;19:00;;;;;;;;;;;;;;;;;;;;;1.0;19:00;1.0;19:00;4.0;19:55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11032026_CPLEX_S013;96;37.0;227.92;9.9;0;0;0;-2;12:30;59.5;0.58;0.0;60.08;SANTOSBR;53;BERÇO TECON 1.2;1.0;00:35;1.0;00:55;1.0;00:55;1.0;01:00;1.0;01:00;1.0;01:05;1.0;01:05;1.0;01:10;1.0;01:10;1.0;01:15;1.0;01:15;1.0;01:45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;01:45;1.0;01:45;1.0;08:05;1.0;08:20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;08:20;1.0;08:30;1.0;08:30;1.0;08:35;1.0;08:35;1.0;08:40;1.0;08:40;1.0;08:45;1.0;08:45;1.0;08:50;1.0;08:50;1.0;09:10;
11032026_CPLEX_S013;100;43.0;346.98;9.8;1;0;0;-2;23:06;56.83;3.17;0.0;60.0;SANTOSBR;54;BERÇO TECON 2;1.0;11:10;1.0;11:35;1.0;11:35;1.0;11:40;1.0;11:40;1.0;11:45;1.0;11:45;1.0;11:50;1.0;11:50;1.0;11:55;1.0;11:55;1.0;12:05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;12:05;1.0;12:05;1.0;22:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11032026_CPLEX_S013;103;48.0;328.46;14.5;0;0;0;-1;05:06;42.83;0.0;0.42;43.25;BTP;34;BERÇO BTP 3;1.0;00:25;1.0;00:45;1.0;00:45;1.0;00:50;1.0;00:50;1.0;00:55;1.0;00:55;1.0;01:00;1.0;01:00;1.0;01:05;1.0;01:05;1.0;01:10;1.0;01:10;1.0;01:15;1.0;01:15;1.0;01:20;1.0;01:20;1.0;01:25;1.0;01:25;1.0;01:30;1.0;01:30;1.0;01:35;1.0;01:35;1.0;01:40;1.0;01:40;1.0;01:50;;;;;;;;;;;;;;;;;1.0;01:50;1.0;01:50;2.0;07:30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11032026_CPLEX_S013;107;28.0;179.99;9.33;0;0;0;-1;09:00;39.0;0.0;0.17;39.17;OUTROS_SABOO;36;BERÇO CS 01;1.0;00:10;1.0;00:30;1.0;00:30;1.0;00:35;1.0;00:35;1.0;00:40;1.0;00:40;1.0;00:45;1.0;00:45;1.0;00:50;1.0;00:50;1.0;00:55;1.0;00:55;1.0;01:00;1.0;01:00;1.0;01:05;1.0;01:05;1.0;01:10;1.0;01:10;1.0;01:15;1.0;01:15;1.0;01:20;1.0;01:20;1.0;01:30;;;;;;;;;;;;;;;;;;;;;1.0;01:30;1.0;01:30;8.0;01:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
