SCENARIO_ID;ARRIVAL_ID;BEAM;LENGTH;DRAFT;IS_NEW_PANAMAX;IS_PASSENGER;IS_RORO;ARRIVAL_D;ARRIVAL_H;METOCEAN_QUEUE_TIME;BERTH_QUEUE_TIME;CHANNEL_QUEUE_TIME;TOTAL_QUEUE_TIME;TERMINAL;BERTH_ID;BERTH;IN_SEG1_ARR_D;IN_SEG1_ARR_H;IN_SEG1_DP_D;IN_SEG1_DP_H;IN_SEG2_ARR_D;IN_SEG2_ARR_H;IN_SEG2_DP_D;IN_SEG2_DP_H;IN_SEG3_ARR_D;IN_SEG3_ARR_H;IN_SEG3_DP_D;IN_SEG3_DP_H;IN_SEG4_ARR_D;IN_SEG4_ARR_H;IN_SEG4_DP_D;IN_SEG4_DP_H;IN_SEG5_ARR_D;IN_SEG5_ARR_H;IN_SEG5_DP_D;IN_SEG5_DP_H;IN_SEG6_ARR_D;IN_SEG6_ARR_H;IN_SEG6_DP_D;IN_SEG6_DP_H;IN_SEG7_ARR_D;IN_SEG7_ARR_H;IN_SEG7_DP_D;IN_SEG7_DP_H;IN_SEG8_ARR_D;IN_SEG8_ARR_H;IN_SEG8_DP_D;IN_SEG8_DP_H;IN_SEG9_ARR_D;IN_SEG9_ARR_H;IN_SEG9_DP_D;IN_SEG9_DP_H;IN_SEG10_ARR_D;IN_SEG10_ARR_H;IN_SEG10_DP_D;IN_SEG10_DP_H;IN_SEG11_ARR_D;IN_SEG11_ARR_H;IN_SEG11_DP_D;IN_SEG11_DP_H;IN_SEG12_ARR_D;IN_SEG12_ARR_H;IN_SEG12_DP_D;IN_SEG12_DP_H;IN_SEG13_ARR_D;IN_SEG13_ARR_H;IN_SEG13_DP_D;IN_SEG13_DP_H;IN_SEG14_ARR_D;IN_SEG14_ARR_H;IN_SEG14_DP_D;IN_SEG14_DP_H;IN_SEG15_ARR_D;IN_SEG15_ARR_H;IN_SEG15_DP_D;IN_SEG15_DP_H;IN_SEG16_ARR_D;IN_SEG16_ARR_H;IN_SEG16_DP_D;IN_SEG16_DP_H;IN_SEG17_ARR_D;IN_SEG17_ARR_H;IN_SEG17_DP_D;IN_SEG17_DP_H;BERTH_ARR_D;BERTH_ARR_H;OPERATION_START_D;OPERATION_START_H;OPERATION_END_D;OPERATION_END_H;BERTH_DP_D;BERTH_DP_H;OUT_SEG17_ARR_D;OUT_SEG17_ARR_H;OUT_SEG17_DP_D;OUT_SEG17_DP_H;OUT_SEG16_ARR_D;OUT_SEG16_ARR_H;OUT_SEG16_DP_D;OUT_SEG16_DP_H;OUT_SEG15_ARR_D;OUT_SEG15_ARR_H;OUT_SEG15_DP_D;OUT_SEG15_DP_H;OUT_SEG14_ARR_D;OUT_SEG14_ARR_H;OUT_SEG14_DP_D;OUT_SEG14_DP_H;OUT_SEG13_ARR_D;OUT_SEG13_ARR_H;OUT_SEG13_DP_D;OUT_SEG13_DP_H;OUT_SEG12_ARR_D;OUT_SEG12_ARR_H;OUT_SEG12_DP_D;OUT_SEG12_DP_H;OUT_SEG11_ARR_D;OUT_SEG11_ARR_H;OUT_SEG11_DP_D;OUT_SEG11_DP_H;OUT_SEG10_ARR_D;OUT_SEG10_ARR_H;OUT_SEG10_DP_D;OUT_SEG10_DP_H;OUT_SEG9_ARR_D;OUT_SEG9_ARR_H;OUT_SEG9_DP_D;OUT_SEG9_DP_H;OUT_SEG8_ARR_D;OUT_SEG8_ARR_H;OUT_SEG8_DP_D;OUT_SEG8_DP_H;OUT_SEG7_ARR_D;OUT_SEG7_ARR_H;OUT_SEG7_DP_D;OUT_SEG7_DP_H;OUT_SEG6_ARR_D;OUT_SEG6_ARR_H;OUT_SEG6_DP_D;OUT_SEG6_DP_H;OUT_SEG5_ARR_D;OUT_SEG5_ARR_H;OUT_SEG5_DP_D;OUT_SEG5_DP_H;OUT_SEG4_ARR_D;OUT_SEG4_ARR_H;OUT_SEG4_DP_D;OUT_SEG4_DP_H;OUT_SEG3_ARR_D;OUT_SEG3_ARR_H;OUT_SEG3_DP_D;OUT_SEG3_DP_H;OUT_SEG2_ARR_D;OUT_SEG2_ARR_H;OUT_SEG2_DP_D;OUT_SEG2_DP_H;OUT_SEG1_ARR_D;OUT_SEG1_ARR_H;OUT_SEG1_DP_D;OUT_SEG1_DP_H;NON_PRODUCTIVE_TIME_SPENT
11032026_CPLEX_S012;1;32.0;229.07;7.56;0;0;0;-8;03:04;261.17;0.0;0.83;262.0;AUTORIDADE_PONTA;28;BERÇO ARM 37;3.0;01:05;3.0;01:25;3.0;01:25;3.0;01:30;3.0;01:30;3.0;01:35;3.0;01:35;3.0;02:05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.0;02:05;3.0;02:05;5.0;19:10;5.0;19:10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.0;19:10;5.0;19:20;5.0;19:20;5.0;19:25;5.0;19:25;5.0;19:30;5.0;19:30;5.0;19:50;
11032026_CPLEX_S012;6;33.0;209.75;11.0;0;0;0;-8;11:24;204.58;0.83;0.0;205.42;SANTOSBR;53;BERÇO TECON 1.2;1.0;00:50;1.0;01:10;1.0;01:10;1.0;01:15;1.0;01:15;1.0;01:20;1.0;01:20;1.0;01:25;1.0;01:25;1.0;01:30;1.0;01:30;1.0;01:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;01:40;1.0;01:40;1.0;18:45;1.0;18:45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;18:45;1.0;19:15;1.0;19:15;1.0;19:20;1.0;19:20;1.0;19:25;1.0;19:25;1.0;19:30;1.0;19:30;1.0;19:35;1.0;19:35;1.0;19:55;
11032026_CPLEX_S012;16;32.0;189.99;12.74;0;0;0;-7;03:18;380.67;0.0;0.17;380.83;TERMAG;57;BERÇO TERMAG;9.0;00:10;9.0;00:30;9.0;00:30;9.0;00:35;9.0;00:35;9.0;00:40;9.0;00:40;9.0;00:45;9.0;00:45;9.0;00:55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.0;00:55;9.0;00:55;14.0;16:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11032026_CPLEX_S012;29;32.0;225.0;9.0;0;0;0;-6;03:00;165.0;0.0;0.5;165.5;DPW - CGNC;44;BERÇO DPW 3;1.0;00:30;1.0;00:50;1.0;00:50;1.0;00:55;1.0;00:55;1.0;01:00;1.0;01:00;1.0;01:05;1.0;01:05;1.0;01:10;1.0;01:10;1.0;01:15;1.0;01:15;1.0;01:20;1.0;01:20;1.0;01:25;1.0;01:25;1.0;01:30;1.0;01:30;1.0;02:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;02:00;1.0;02:00;7.0;21:55;8.0;03:10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.0;03:10;8.0;03:20;8.0;03:20;8.0;03:25;8.0;03:25;8.0;03:30;8.0;03:30;8.0;03:35;8.0;03:35;8.0;03:40;8.0;03:40;8.0;03:45;8.0;03:45;8.0;03:50;8.0;03:50;8.0;03:55;8.0;03:55;8.0;04:00;8.0;04:00;8.0;04:20;
11032026_CPLEX_S012;73;32.3;189.99;6.19;0;0;0;-3;07:00;89.0;0.0;-89.0;0.0;TIPLAM - GSA - E;61;BERÇO TIPLAM 2;1.0;00:00;1.0;00:20;1.0;00:20;1.0;00:25;1.0;00:25;1.0;00:30;1.0;00:30;1.0;00:35;1.0;00:35;1.0;00:40;1.0;00:40;1.0;00:45;1.0;00:45;1.0;00:50;1.0;00:50;1.0;00:55;1.0;00:55;1.0;01:00;1.0;01:00;1.0;01:05;1.0;01:05;1.0;01:10;1.0;01:10;1.0;01:15;1.0;01:15;1.0;01:20;1.0;01:20;1.0;01:25;1.0;01:25;1.0;01:30;1.0;01:30;1.0;01:45;1.0;01:45;1.0;02:25;1.0;02:25;1.0;02:25;3.0;19:00;3.0;20:10;3.0;20:10;3.0;20:20;3.0;20:20;3.0;20:35;3.0;20:35;3.0;20:40;3.0;20:40;3.0;20:45;3.0;20:45;3.0;20:50;3.0;20:50;3.0;20:55;3.0;20:55;3.0;21:00;3.0;21:00;3.0;21:05;3.0;21:05;3.0;21:10;3.0;21:10;3.0;21:15;3.0;21:15;3.0;21:20;3.0;21:20;3.0;21:25;3.0;21:25;3.0;21:30;3.0;21:30;3.0;21:35;3.0;21:35;3.0;21:40;3.0;21:40;3.0;21:45;3.0;21:45;3.0;22:05;
11032026_CPLEX_S012;81;33.0;180.4;10.28;0;0;0;-3;13:00;83.0;0.0;0.25;83.25;BRACELL;73;BERÇO ARM 35P1;1.0;00:15;1.0;00:35;1.0;00:35;1.0;00:40;1.0;00:40;1.0;00:45;1.0;00:45;1.0;00:50;1.0;00:50;1.0;01:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;01:00;1.0;01:00;7.0;16:40;7.0;16:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.0;16:40;7.0;17:10;7.0;17:10;7.0;17:15;7.0;17:15;7.0;17:20;7.0;17:20;7.0;17:25;7.0;17:25;7.0;17:45;
11032026_CPLEX_S012;83;32.0;263.23;10.1;0;0;0;-3;13:30;105.17;1.33;11.42;117.92;DPW - CGC;42;BERÇO DPW 1;2.0;11:25;2.0;11:45;2.0;11:45;2.0;11:50;2.0;11:50;2.0;11:55;2.0;11:55;2.0;12:00;2.0;12:00;2.0;12:05;2.0;12:05;2.0;12:10;2.0;12:10;2.0;12:15;2.0;12:15;2.0;12:20;2.0;12:20;2.0;12:25;2.0;12:25;2.0;12:30;2.0;12:30;2.0;13:00;;;;;;;;;;;;;;;;;;;;;;;;;2.0;13:00;2.0;13:00;2.0;23:35;2.0;23:35;;;;;;;;;;;;;;;;;;;;;;;;;2.0;23:35;2.0;23:45;2.0;23:45;2.0;23:50;2.0;23:50;2.0;23:55;2.0;23:55;3.0;00:00;3.0;00:00;3.0;00:05;3.0;00:05;3.0;00:10;3.0;00:10;3.0;00:15;3.0;00:15;3.0;00:20;3.0;00:20;3.0;00:25;3.0;00:25;3.0;00:30;3.0;00:30;3.0;00:50;
11032026_CPLEX_S012;85;33.0;199.9;7.5;0;0;0;-3;16:30;79.5;0.0;4.25;83.75;AUTORIDADE_SABOO;39;BERÇO CS 04;1.0;04:15;1.0;04:35;1.0;04:35;1.0;04:40;1.0;04:40;1.0;04:45;1.0;04:45;1.0;04:50;1.0;04:50;1.0;04:55;1.0;04:55;1.0;05:00;1.0;05:00;1.0;05:05;1.0;05:05;1.0;05:10;1.0;05:10;1.0;05:15;1.0;05:15;1.0;05:20;1.0;05:20;1.0;05:25;1.0;05:25;1.0;05:55;;;;;;;;;;;;;;;;;;;;;1.0;05:55;1.0;05:55;5.0;11:35;5.0;11:40;;;;;;;;;;;;;;;;;;;;;5.0;11:40;5.0;11:50;5.0;11:50;5.0;11:55;5.0;11:55;5.0;12:00;5.0;12:00;5.0;12:05;5.0;12:05;5.0;12:10;5.0;12:10;5.0;12:15;5.0;12:15;5.0;12:20;5.0;12:20;5.0;12:25;5.0;12:25;5.0;12:30;5.0;12:30;5.0;12:35;5.0;12:35;5.0;12:40;5.0;12:40;5.0;13:00;
11032026_CPLEX_S012;90;28.0;179.99;8.0;0;0;0;-3;22:48;74.83;15.42;0.0;90.25;AGEO_TERMINAIS;1;BERÇO Ageo I;1.0;17:05;1.0;17:25;1.0;17:25;1.0;17:30;1.0;17:30;1.0;17:35;1.0;17:35;1.0;17:40;1.0;17:40;1.0;17:45;1.0;17:45;1.0;17:50;1.0;17:50;1.0;17:55;1.0;17:55;1.0;18:00;1.0;18:00;1.0;18:05;1.0;18:05;1.0;18:10;1.0;18:10;1.0;18:15;1.0;18:15;1.0;18:45;;;;;;;;;;;;;;;;;;;;;1.0;18:45;1.0;18:45;4.0;19:40;4.0;19:40;;;;;;;;;;;;;;;;;;;;;4.0;19:40;4.0;19:50;4.0;19:50;4.0;19:55;4.0;19:55;4.0;20:00;4.0;20:00;4.0;20:05;4.0;20:05;4.0;20:10;4.0;20:10;4.0;20:15;4.0;20:15;4.0;20:20;4.0;20:20;4.0;20:25;4.0;20:25;4.0;20:30;4.0;20:30;4.0;20:35;4.0;20:35;4.0;20:40;4.0;20:40;4.0;21:00;
11032026_CPLEX_S012;91;29.0;175.53;9.94;0;0;0;-2;01:00;191.0;0.0;0.0;191.0;TIPLAM - GSM - I;60;BERÇO TIPLAM 1;6.0;00:00;6.0;00:20;6.0;00:20;6.0;00:25;6.0;00:25;6.0;00:30;6.0;00:30;6.0;00:35;6.0;00:35;6.0;00:40;6.0;00:40;6.0;00:45;6.0;00:45;6.0;00:50;6.0;00:50;6.0;00:55;6.0;00:55;6.0;01:00;6.0;01:00;6.0;01:05;6.0;01:05;6.0;01:10;6.0;01:10;6.0;01:15;6.0;01:15;6.0;01:20;6.0;01:20;6.0;01:25;6.0;01:25;6.0;01:30;6.0;01:30;6.0;01:45;6.0;01:45;6.0;01:55;6.0;01:55;6.0;01:55;12.0;19:05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
