SCENARIO_ID;ARRIVAL_ID;BEAM;LENGTH;DRAFT;IS_NEW_PANAMAX;IS_PASSENGER;IS_RORO;ARRIVAL_D;ARRIVAL_H;METOCEAN_QUEUE_TIME;BERTH_QUEUE_TIME;CHANNEL_QUEUE_TIME;TOTAL_QUEUE_TIME;TERMINAL;MARKET_CATEGORY;BERTH_ID;BERTH;IN_SEG1_ARR_D;IN_SEG1_ARR_H;IN_SEG1_DP_D;IN_SEG1_DP_H;IN_SEG2_ARR_D;IN_SEG2_ARR_H;IN_SEG2_DP_D;IN_SEG2_DP_H;IN_SEG3_ARR_D;IN_SEG3_ARR_H;IN_SEG3_DP_D;IN_SEG3_DP_H;IN_SEG4_ARR_D;IN_SEG4_ARR_H;IN_SEG4_DP_D;IN_SEG4_DP_H;IN_SEG5_ARR_D;IN_SEG5_ARR_H;IN_SEG5_DP_D;IN_SEG5_DP_H;IN_SEG6_ARR_D;IN_SEG6_ARR_H;IN_SEG6_DP_D;IN_SEG6_DP_H;IN_SEG7_ARR_D;IN_SEG7_ARR_H;IN_SEG7_DP_D;IN_SEG7_DP_H;IN_SEG8_ARR_D;IN_SEG8_ARR_H;IN_SEG8_DP_D;IN_SEG8_DP_H;IN_SEG9_ARR_D;IN_SEG9_ARR_H;IN_SEG9_DP_D;IN_SEG9_DP_H;IN_SEG10_ARR_D;IN_SEG10_ARR_H;IN_SEG10_DP_D;IN_SEG10_DP_H;IN_SEG11_ARR_D;IN_SEG11_ARR_H;IN_SEG11_DP_D;IN_SEG11_DP_H;IN_SEG12_ARR_D;IN_SEG12_ARR_H;IN_SEG12_DP_D;IN_SEG12_DP_H;IN_SEG13_ARR_D;IN_SEG13_ARR_H;IN_SEG13_DP_D;IN_SEG13_DP_H;IN_SEG14_ARR_D;IN_SEG14_ARR_H;IN_SEG14_DP_D;IN_SEG14_DP_H;IN_SEG15_ARR_D;IN_SEG15_ARR_H;IN_SEG15_DP_D;IN_SEG15_DP_H;IN_SEG16_ARR_D;IN_SEG16_ARR_H;IN_SEG16_DP_D;IN_SEG16_DP_H;IN_SEG17_ARR_D;IN_SEG17_ARR_H;IN_SEG17_DP_D;IN_SEG17_DP_H;BERTH_ARR_D;BERTH_ARR_H;OPERATION_START_D;OPERATION_START_H;OPERATION_END_D;OPERATION_END_H;BERTH_DP_D;BERTH_DP_H;OUT_SEG17_ARR_D;OUT_SEG17_ARR_H;OUT_SEG17_DP_D;OUT_SEG17_DP_H;OUT_SEG16_ARR_D;OUT_SEG16_ARR_H;OUT_SEG16_DP_D;OUT_SEG16_DP_H;OUT_SEG15_ARR_D;OUT_SEG15_ARR_H;OUT_SEG15_DP_D;OUT_SEG15_DP_H;OUT_SEG14_ARR_D;OUT_SEG14_ARR_H;OUT_SEG14_DP_D;OUT_SEG14_DP_H;OUT_SEG13_ARR_D;OUT_SEG13_ARR_H;OUT_SEG13_DP_D;OUT_SEG13_DP_H;OUT_SEG12_ARR_D;OUT_SEG12_ARR_H;OUT_SEG12_DP_D;OUT_SEG12_DP_H;OUT_SEG11_ARR_D;OUT_SEG11_ARR_H;OUT_SEG11_DP_D;OUT_SEG11_DP_H;OUT_SEG10_ARR_D;OUT_SEG10_ARR_H;OUT_SEG10_DP_D;OUT_SEG10_DP_H;OUT_SEG9_ARR_D;OUT_SEG9_ARR_H;OUT_SEG9_DP_D;OUT_SEG9_DP_H;OUT_SEG8_ARR_D;OUT_SEG8_ARR_H;OUT_SEG8_DP_D;OUT_SEG8_DP_H;OUT_SEG7_ARR_D;OUT_SEG7_ARR_H;OUT_SEG7_DP_D;OUT_SEG7_DP_H;OUT_SEG6_ARR_D;OUT_SEG6_ARR_H;OUT_SEG6_DP_D;OUT_SEG6_DP_H;OUT_SEG5_ARR_D;OUT_SEG5_ARR_H;OUT_SEG5_DP_D;OUT_SEG5_DP_H;OUT_SEG4_ARR_D;OUT_SEG4_ARR_H;OUT_SEG4_DP_D;OUT_SEG4_DP_H;OUT_SEG3_ARR_D;OUT_SEG3_ARR_H;OUT_SEG3_DP_D;OUT_SEG3_DP_H;OUT_SEG2_ARR_D;OUT_SEG2_ARR_H;OUT_SEG2_DP_D;OUT_SEG2_DP_H;OUT_SEG1_ARR_D;OUT_SEG1_ARR_H;OUT_SEG1_DP_D;OUT_SEG1_DP_H;NON_PRODUCTIVE_TIME_SPENT
S20254;1;32.0;229.07;7.56;0;0;0;-8;03:04;260.17;0.0;1.58;261.75;AUTORIDADE_PONTA;CGNC;28;BERÇO ARM 37;3;00:50;3;01:10;3;01:10;3;01:15;3;01:15;3;01:20;3;01:20;3;01:55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;01:55;3;01:55;5;19:45;5;19:45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;19:45;5;19:55;5;19:55;5;20:00;5;20:00;5;20:05;5;20:05;5;20:25;
S20254;6;33.0;209.75;11.0;0;0;0;-8;11:24;204.58;12.08;0.0;216.67;SANTOSBR;CGC;53;BERÇO TECON 1.2;1;12:05;1;12:25;1;12:25;1;12:30;1;12:30;1;12:35;1;12:35;1;12:40;1;12:40;1;12:45;1;12:45;1;13:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;13:00;1;13:00;2;06:50;2;08:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;08:00;2;08:30;2;08:30;2;08:35;2;08:35;2;08:40;2;08:40;2;08:45;2;08:45;2;08:50;2;08:50;2;09:10;
S20254;15;32.0;189.99;12.74;0;0;0;-7;03:18;380.67;0.0;0.5;381.17;TERMAG;GSM - I;57;BERÇO TERMAG;9;00:30;9;00:50;9;00:50;9;00:55;9;00:55;9;01:00;9;01:00;9;01:05;9;01:05;9;01:20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;01:20;9;01:20;14;17:10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S20254;30;32.0;225.0;9.0;0;0;0;-6;03:00;165.0;16.75;1.33;183.08;DPW - CGNC;CGNC;45;BERÇO DPW 4;1;18:05;1;18:25;1;18:25;1;18:30;1;18:30;1;18:35;1;18:35;1;18:40;1;18:40;1;18:45;1;18:45;1;18:50;1;18:50;1;18:55;1;18:55;1;19:00;1;19:00;1;19:05;1;19:05;1;19:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;19:40;1;19:40;8;16:20;8;18:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;18:00;8;18:10;8;18:10;8;18:15;8;18:15;8;18:20;8;18:20;8;18:25;8;18:25;8;18:30;8;18:30;8;18:35;8;18:35;8;18:40;8;18:40;8;18:45;8;18:45;8;18:50;8;18:50;8;19:10;
S20254;73;32.3;189.99;6.19;0;0;0;-3;07:00;89.0;0.0;0.0;89.0;TIPLAM - GSA - E;GSA - E;61;BERÇO TIPLAM 2;1;00:00;1;00:20;1;00:20;1;00:25;1;00:25;1;00:30;1;00:30;1;00:35;1;00:35;1;00:40;1;00:40;1;00:45;1;00:45;1;00:50;1;00:50;1;00:55;1;00:55;1;01:00;1;01:00;1;01:05;1;01:05;1;01:10;1;01:10;1;01:15;1;01:15;1;01:20;1;01:20;1;01:25;1;01:25;1;01:30;1;01:30;1;01:45;1;01:45;1;02:30;1;02:30;1;02:30;3;19:50;3;20:20;3;20:20;3;20:30;3;20:30;3;20:45;3;20:45;3;20:50;3;20:50;3;20:55;3;20:55;3;21:00;3;21:00;3;21:05;3;21:05;3;21:10;3;21:10;3;21:15;3;21:15;3;21:20;3;21:20;3;21:25;3;21:25;3;21:30;3;21:30;3;21:35;3;21:35;3;21:40;3;21:40;3;21:45;3;21:45;3;21:50;3;21:50;3;21:55;3;21:55;3;22:15;
S20254;81;33.0;180.4;10.28;0;0;0;-3;13:00;83.0;0.0;0.75;83.75;BRACELL;CGNC;27;BERÇO ARM 35P2;1;00:45;1;01:05;1;01:05;1;01:10;1;01:10;1;01:15;1;01:15;1;01:20;1;01:20;1;01:25;1;01:25;1;01:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;01:40;1;01:40;7;18:05;7;18:05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;18:05;7;18:35;7;18:35;7;18:40;7;18:40;7;18:45;7;18:45;7;18:50;7;18:50;7;18:55;7;18:55;7;19:15;
S20254;83;32.0;263.23;10.1;0;0;0;-3;13:30;106.5;9.25;0.0;115.75;DPW - CGC;CGC;42;BERÇO DPW 1;2;09:15;2;09:35;2;09:35;2;09:40;2;09:40;2;09:45;2;09:45;2;09:50;2;09:50;2;09:55;2;09:55;2;10:00;2;10:00;2;10:05;2;10:05;2;10:10;2;10:10;2;10:15;2;10:15;2;10:20;2;10:20;2;10:35;;;;;;;;;;;;;;;;;;;;;;;;;2;10:35;2;10:35;2;21:55;2;22:05;;;;;;;;;;;;;;;;;;;;;;;;;2;22:05;2;22:35;2;22:35;2;22:40;2;22:40;2;22:45;2;22:45;2;22:50;2;22:50;2;22:55;2;22:55;2;23:00;2;23:00;2;23:05;2;23:05;2;23:10;2;23:10;2;23:15;2;23:15;2;23:20;2;23:20;2;23:40;
S20254;85;33.0;199.9;7.5;0;0;0;-3;16:30;79.5;0.0;5.0;84.5;AUTORIDADE_SABOO;CGNC;39;BERÇO CS 04;1;05:00;1;05:20;1;05:20;1;05:25;1;05:25;1;05:30;1;05:30;1;05:35;1;05:35;1;05:40;1;05:40;1;05:45;1;05:45;1;05:50;1;05:50;1;05:55;1;05:55;1;06:00;1;06:00;1;06:05;1;06:05;1;06:10;1;06:10;1;06:45;;;;;;;;;;;;;;;;;;;;;1;06:45;1;06:45;5;13:10;5;13:10;;;;;;;;;;;;;;;;;;;;;5;13:10;5;13:20;5;13:20;5;13:25;5;13:25;5;13:30;5;13:30;5;13:35;5;13:35;5;13:40;5;13:40;5;13:45;5;13:45;5;13:50;5;13:50;5;13:55;5;13:55;5;14:00;5;14:00;5;14:05;5;14:05;5;14:10;5;14:10;5;14:30;
S20254;90;28.0;179.99;8.0;0;0;0;-3;22:48;73.17;17.83;0.0;91.0;AGEO_TERMINAIS;GL;1;BERÇO Ageo I;1;17:50;1;18:10;1;18:10;1;18:15;1;18:15;1;18:20;1;18:20;1;18:25;1;18:25;1;18:30;1;18:30;1;18:35;1;18:35;1;18:40;1;18:40;1;18:45;1;18:45;1;18:50;1;18:50;1;18:55;1;18:55;1;19:00;1;19:00;1;19:35;;;;;;;;;;;;;;;;;;;;;1;19:35;1;19:35;4;21:15;4;21:15;;;;;;;;;;;;;;;;;;;;;4;21:15;4;21:25;4;21:25;4;21:30;4;21:30;4;21:35;4;21:35;4;21:40;4;21:40;4;21:45;4;21:45;4;21:50;4;21:50;4;21:55;4;21:55;4;22:00;4;22:00;4;22:05;4;22:05;4;22:10;4;22:10;4;22:15;4;22:15;4;22:35;
S20254;91;29.0;175.53;9.94;0;0;0;-2;01:00;191.0;0.0;0.0;191.0;TIPLAM - GSM - I;GSM - I;61;BERÇO TIPLAM 2;6;00:00;6;00:20;6;00:20;6;00:25;6;00:25;6;00:30;6;00:30;6;00:35;6;00:35;6;00:40;6;00:40;6;00:45;6;00:45;6;00:50;6;00:50;6;00:55;6;00:55;6;01:00;6;01:00;6;01:05;6;01:05;6;01:10;6;01:10;6;01:15;6;01:15;6;01:20;6;01:20;6;01:25;6;01:25;6;01:30;6;01:30;6;01:45;6;01:45;6;02:00;6;02:00;6;02:00;12;19:55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
